# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2021-12-30 17:16:27,lo,5.92,5.92,2.48,2.48,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:16:27,enp6s0,688.50,1197.20,370.48,1560.63,0.00,0.00,0.40,0.51
plotter1,60,2021-12-30 17:17:27,lo,8.10,8.10,5.30,5.30,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:17:27,enp6s0,563.23,1010.08,216.10,1305.21,0.00,0.00,0.42,0.43
plotter1,60,2021-12-30 17:18:27,lo,0.93,0.93,1.01,1.01,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:18:27,enp6s0,677.28,1199.03,330.97,1538.71,0.00,0.00,0.42,0.50
plotter1,60,2021-12-30 17:19:27,lo,1.60,1.60,2.44,2.44,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:19:27,enp6s0,624.68,1034.03,312.04,1321.28,0.00,0.00,0.42,0.43
plotter1,60,2021-12-30 17:20:27,lo,0.90,0.90,1.41,1.41,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:20:27,enp6s0,670.43,1118.45,339.52,1460.97,0.00,0.00,0.42,0.48
plotter1,60,2021-12-30 17:21:27,lo,0.60,0.60,0.96,0.96,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:21:27,enp6s0,553.72,1039.57,190.80,1372.12,0.00,0.00,0.42,0.45
plotter1,60,2021-12-30 17:22:27,lo,0.93,0.93,1.62,1.62,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:22:27,enp6s0,639.28,1052.60,294.96,1370.78,0.00,0.00,0.42,0.45
plotter1,60,2021-12-30 17:23:27,lo,0.83,0.83,1.37,1.37,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:23:27,enp6s0,534.33,1086.33,136.03,1454.62,0.00,0.00,0.40,0.48
plotter1,60,2021-12-30 17:24:27,lo,1.40,1.40,2.07,2.07,0.00,0.00,0.00,0.00
plotter1,60,2021-12-30 17:24:27,enp6s0,632.75,1046.98,338.52,1365.07,0.00,0.00,0.42,0.45
