HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
plotter1,DUSTSTORM1,AUTOTEST1,2021-12-30T11:51:30,2021-12-30T11:51:42,2021-12-30T11:54:39,2021-12-30T11:55:05,2021-12-30T12:34:32,27698135040,"No Changes from branch"
plotter1,DUSTSTORM1,AUTOTEST2,2021-12-30T12:34:53,2021-12-30T12:35:12,2021-12-30T12:37:47,2021-12-30T12:38:13,2021-12-30T13:18:05,27579121664,"From Block Store, only use fullblocks height and peak index"
plotter1,DUSTSTORM1,AUTOTEST3,2021-12-30T13:18:27,2021-12-30T13:18:46,2021-12-30T13:20:24,2021-12-30T13:20:51,2021-12-30T13:59:53,22398107648,"From Block Store, only use fullblocks height and peak index, Drop all coin store indexes"
plotter1,DUSTSTORM1,AUTOTEST4,2021-12-30T14:00:24,2021-12-30T14:00:43,2021-12-30T14:02:12,2021-12-30T14:03:33,2021-12-30T15:11:06,22383951872,"Drop all indexes"
plotter1,DUSTSTORM1,AUTOTEST5,2021-12-30T15:11:25,2021-12-30T15:11:44,2021-12-30T15:13:29,2021-12-30T15:13:57,2021-12-30T15:53:14,22397583360,"Only full blocks height + peak index, plus max num workers for block chain consensus"
plotter1,DUSTSTORM1,AUTOTEST6,2021-12-30T15:53:34,2021-12-30T15:53:53,2021-12-30T15:55:20,2021-12-30T15:55:47,2021-12-30T16:34:57,22398107648,"Only full blocks height + peak index, plus max num workers for mempool"
plotter1,DUSTSTORM1,AUTOTEST7,2021-12-30T16:35:17,2021-12-30T16:35:36,2021-12-30T16:37:50,2021-12-30T16:37:50,2021-12-30T17:14:59,22397583360,"Only full blocks height + peak index, increase coin_records lru cache"
plotter1,DUSTSTORM1,AUTOTEST8,2021-12-30T17:15:27,2021-12-30T17:15:45,2021-12-30T17:17:22,2021-12-30T17:17:29,2021-12-30T17:56:21,22397583360,"Only full blocks height + peak index, increase block lru cache"
plotter1,DUSTSTORM1,AUTOTEST9,2021-12-30T17:56:41,2021-12-30T17:57:00,2021-12-30T17:59:13,2021-12-30T17:59:13,2021-12-30T18:38:11,22398107648,"Only full blocks height + peak index, use journal_mode=persistent"
plotter1,DUSTSTORM1,AUTOTEST10,2021-12-30T18:38:30,2021-12-30T18:38:49,2021-12-30T18:40:17,2021-12-30T18:40:48,2021-12-30T19:20:40,22398631936,"Only full blocks height + peak index, use journal_mode=truncate"
plotter1,DUSTSTORM1,AUTOTEST11,2021-12-30T19:20:59,2021-12-30T19:21:18,2021-12-30T19:22:56,2021-12-30T19:23:32,2021-12-30T20:03:05,22398631936,"Only full blocks height + peak index, use synchronous=normal"
