# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2021-12-30 19:22:00,-1,1.43,0.00,1.51,9.41,0.00,87.64
plotter1,60,2021-12-30 19:23:00,-1,6.44,0.00,0.29,8.18,0.00,85.09
plotter1,60,2021-12-30 19:24:00,-1,12.21,0.00,0.44,8.22,0.00,79.13
plotter1,60,2021-12-30 19:25:00,-1,11.55,0.00,0.41,8.26,0.00,79.77
plotter1,60,2021-12-30 19:26:00,-1,9.72,0.00,0.40,8.39,0.00,81.49
plotter1,60,2021-12-30 19:27:00,-1,9.98,0.00,0.46,7.89,0.00,81.68
plotter1,60,2021-12-30 19:28:00,-1,9.07,0.00,0.47,7.40,0.00,83.06
plotter1,60,2021-12-30 19:29:00,-1,8.99,0.00,0.44,7.55,0.00,83.02
plotter1,60,2021-12-30 19:30:00,-1,8.96,0.00,0.43,6.35,0.00,84.26
plotter1,60,2021-12-30 19:31:00,-1,11.68,0.00,0.49,9.99,0.00,77.84
plotter1,60,2021-12-30 19:32:00,-1,9.02,0.00,0.43,7.84,0.00,82.70
plotter1,60,2021-12-30 19:33:00,-1,9.63,0.00,0.44,9.10,0.00,80.84
plotter1,60,2021-12-30 19:34:00,-1,8.53,0.00,0.43,7.75,0.00,83.29
plotter1,60,2021-12-30 19:35:00,-1,9.46,0.00,0.41,8.31,0.00,81.82
plotter1,60,2021-12-30 19:36:00,-1,9.39,0.00,0.47,8.81,0.00,81.33
plotter1,60,2021-12-30 19:37:00,-1,11.08,0.00,0.39,6.98,0.00,81.55
plotter1,60,2021-12-30 19:38:00,-1,12.52,0.00,0.41,8.06,0.00,79.01
plotter1,60,2021-12-30 19:39:00,-1,8.86,0.00,0.43,8.46,0.00,82.25
plotter1,60,2021-12-30 19:40:00,-1,8.89,0.00,0.40,7.35,0.00,83.36
plotter1,60,2021-12-30 19:41:00,-1,9.33,0.00,0.50,8.02,0.00,82.16
plotter1,60,2021-12-30 19:42:00,-1,9.33,0.00,0.62,8.26,0.00,81.80
