# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2021-12-30 14:01:24;-1;1.83;0.00;1.74;9.43;0.00;87.00
plotter1;60;2021-12-30 14:02:24;-1;7.22;0.00;2.00;7.44;0.00;83.34
plotter1;60;2021-12-30 14:03:24;-1;5.59;0.00;2.96;8.63;0.00;82.81
plotter1;60;2021-12-30 14:04:24;-1;5.91;0.00;3.08;8.56;0.00;82.45
plotter1;60;2021-12-30 14:05:24;-1;6.03;0.00;3.25;8.84;0.00;81.89
plotter1;60;2021-12-30 14:06:24;-1;5.92;0.00;3.13;7.43;0.00;83.51
plotter1;60;2021-12-30 14:07:24;-1;6.00;0.00;2.91;9.12;0.00;81.98
plotter1;60;2021-12-30 14:08:24;-1;5.84;0.00;3.04;8.21;0.00;82.90
plotter1;60;2021-12-30 14:09:24;-1;6.21;0.00;3.16;9.34;0.00;81.29
plotter1;60;2021-12-30 14:10:24;-1;6.12;0.00;3.29;9.48;0.00;81.12
plotter1;60;2021-12-30 14:11:24;-1;6.37;0.00;2.75;7.26;0.00;83.62
plotter1;60;2021-12-30 14:12:24;-1;6.56;0.00;1.59;6.96;0.00;84.88
plotter1;60;2021-12-30 14:13:24;-1;7.30;0.00;1.57;7.93;0.00;83.20
plotter1;60;2021-12-30 14:14:24;-1;6.56;0.00;1.71;8.35;0.00;83.38
plotter1;60;2021-12-30 14:15:24;-1;7.63;0.00;1.62;8.76;0.00;81.99
plotter1;60;2021-12-30 14:16:24;-1;6.69;0.00;1.59;7.90;0.00;83.83
plotter1;60;2021-12-30 14:17:24;-1;6.15;0.00;2.78;8.70;0.00;82.38
plotter1;60;2021-12-30 14:18:24;-1;6.27;0.00;2.68;9.48;0.00;81.57
plotter1;60;2021-12-30 14:19:24;-1;7.22;0.00;1.62;8.20;0.00;82.96
plotter1;60;2021-12-30 14:20:24;-1;7.11;0.00;1.59;9.00;0.00;82.29
plotter1;60;2021-12-30 14:21:24;-1;6.67;0.00;1.67;8.02;0.00;83.63
plotter1;60;2021-12-30 14:22:24;-1;8.07;0.00;1.77;8.87;0.00;81.29
plotter1;60;2021-12-30 14:23:24;-1;6.62;0.00;1.58;6.42;0.00;85.37
plotter1;60;2021-12-30 14:24:24;-1;7.28;0.00;1.63;6.63;0.00;84.46
plotter1;60;2021-12-30 14:25:24;-1;6.97;0.00;1.68;8.89;0.00;82.46
plotter1;60;2021-12-30 14:26:24;-1;7.17;0.00;1.55;6.94;0.00;84.34
plotter1;60;2021-12-30 14:27:24;-1;5.91;0.00;2.42;8.32;0.00;83.35
plotter1;60;2021-12-30 14:28:24;-1;6.39;0.00;2.96;8.29;0.00;82.35
plotter1;60;2021-12-30 14:29:24;-1;5.96;0.00;3.20;7.93;0.00;82.92
plotter1;60;2021-12-30 14:30:24;-1;6.80;0.00;2.85;7.82;0.00;82.53
plotter1;60;2021-12-30 14:31:24;-1;6.64;0.00;1.67;7.10;0.00;84.59
plotter1;60;2021-12-30 14:32:24;-1;7.23;0.00;1.58;7.38;0.00;83.80
plotter1;60;2021-12-30 14:33:24;-1;6.43;0.00;1.72;8.48;0.00;83.38
plotter1;60;2021-12-30 14:34:24;-1;7.11;0.00;1.60;6.61;0.00;84.68
plotter1;60;2021-12-30 14:35:24;-1;7.10;0.00;1.68;9.70;0.00;81.52
plotter1;60;2021-12-30 14:36:24;-1;7.04;0.00;1.66;7.80;0.00;83.50
plotter1;60;2021-12-30 14:37:24;-1;6.65;0.00;1.60;7.70;0.00;84.05
plotter1;60;2021-12-30 14:38:24;-1;7.11;0.00;1.58;7.63;0.00;83.69
plotter1;60;2021-12-30 14:39:24;-1;6.96;0.00;1.81;8.10;0.00;83.13
plotter1;60;2021-12-30 14:40:24;-1;7.35;0.00;1.56;8.52;0.00;82.57
plotter1;60;2021-12-30 14:41:24;-1;7.30;0.00;1.45;5.82;0.00;85.42
plotter1;60;2021-12-30 14:42:24;-1;6.74;0.00;1.57;7.91;0.00;83.77
plotter1;60;2021-12-30 14:43:24;-1;6.59;0.00;1.63;9.51;0.00;82.26
plotter1;60;2021-12-30 14:44:24;-1;6.99;0.00;1.46;7.06;0.00;84.49
plotter1;60;2021-12-30 14:45:24;-1;7.35;0.00;1.65;8.33;0.00;82.67
plotter1;60;2021-12-30 14:46:24;-1;6.62;0.00;1.62;7.97;0.00;83.79
plotter1;60;2021-12-30 14:47:24;-1;7.14;0.00;1.54;6.95;0.00;84.36
plotter1;60;2021-12-30 14:48:24;-1;6.74;0.00;1.50;8.19;0.00;83.58
plotter1;60;2021-12-30 14:49:24;-1;6.58;0.00;1.57;7.71;0.00;84.14
plotter1;60;2021-12-30 14:50:24;-1;7.33;0.00;1.67;8.07;0.00;82.93
plotter1;60;2021-12-30 14:51:24;-1;6.86;0.00;1.67;7.67;0.00;83.81
plotter1;60;2021-12-30 14:52:24;-1;6.96;0.00;1.43;6.48;0.00;85.13
plotter1;60;2021-12-30 14:53:24;-1;7.05;0.00;1.49;6.68;0.00;84.78
plotter1;60;2021-12-30 14:54:24;-1;6.83;0.00;1.50;6.94;0.00;84.72
plotter1;60;2021-12-30 14:55:24;-1;7.00;0.00;1.57;7.74;0.00;83.70
plotter1;60;2021-12-30 14:56:24;-1;7.24;0.00;1.57;7.97;0.00;83.22
plotter1;60;2021-12-30 14:57:24;-1;6.35;0.00;1.78;9.65;0.00;82.23
plotter1;60;2021-12-30 14:58:24;-1;7.07;0.00;1.64;8.48;0.00;82.81
plotter1;60;2021-12-30 14:59:24;-1;7.05;0.00;1.63;7.22;0.00;84.09
plotter1;60;2021-12-30 15:00:24;-1;7.23;0.00;1.75;8.58;0.00;82.43
plotter1;60;2021-12-30 15:01:24;-1;6.65;0.00;1.64;7.51;0.00;84.21
plotter1;60;2021-12-30 15:02:24;-1;7.05;0.00;1.60;6.57;0.00;84.79
plotter1;60;2021-12-30 15:03:24;-1;6.42;0.00;1.53;6.72;0.00;85.34
plotter1;60;2021-12-30 15:04:24;-1;6.38;0.00;1.54;8.51;0.00;83.57
plotter1;60;2021-12-30 15:05:24;-1;7.29;0.00;3.02;7.66;0.00;82.03
plotter1;60;2021-12-30 15:06:24;-1;5.91;0.00;2.98;7.34;0.00;83.77
plotter1;60;2021-12-30 15:07:24;-1;6.27;0.00;3.00;7.22;0.00;83.51
plotter1;60;2021-12-30 15:08:24;-1;5.96;0.00;3.31;6.72;0.00;84.01
plotter1;60;2021-12-30 15:09:24;-1;6.19;0.00;2.94;8.29;0.00;82.58
plotter1;60;2021-12-30 15:10:24;-1;6.35;0.00;3.20;7.97;0.00;82.48
# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
plotter1;60;2021-12-30 14:01:24;4740.97;4452.30;288.07;0.60;1058042.27;689072.27;730130.80
plotter1;60;2021-12-30 14:02:24;1063.72;707.93;355.68;0.10;34080.13;9420.80;8.80
plotter1;60;2021-12-30 14:03:24;1521.42;941.02;580.40;0.00;39194.00;15579.33;0.00
plotter1;60;2021-12-30 14:04:24;1061.55;629.63;431.87;0.05;31356.13;11170.13;4.40
plotter1;60;2021-12-30 14:05:24;1201.78;622.68;579.10;0.00;30818.52;15720.13;0.00
plotter1;60;2021-12-30 14:06:24;888.52;432.50;456.02;0.00;24288.22;11643.07;0.00
plotter1;60;2021-12-30 14:07:24;889.08;441.17;447.92;0.00;25675.98;10388.40;0.00
plotter1;60;2021-12-30 14:08:24;892.63;359.13;533.50;0.00;21436.53;13064.80;0.00
plotter1;60;2021-12-30 14:09:24;958.75;324.93;633.82;0.00;24306.00;15990.93;0.00
plotter1;60;2021-12-30 14:10:24;894.27;292.98;601.28;0.00;21422.40;14589.20;0.00
plotter1;60;2021-12-30 14:11:24;979.62;299.85;679.77;0.00;19269.73;15861.60;0.00
plotter1;60;2021-12-30 14:12:24;1692.50;366.33;1326.17;0.00;19639.60;28749.60;0.00
plotter1;60;2021-12-30 14:13:24;1478.52;285.63;1192.88;0.00;20546.53;24902.53;0.00
