# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
plotter1;60;2021-12-31 01:39:44;116530716;127899712;2241200;1.70;170512;11287344;5117348;1.95;1105788;12178324;320
plotter1;60;2021-12-31 01:40:44;115099344;127387008;2753372;2.09;173496;12203096;11937772;4.54;1190828;13491756;72780
plotter1;60;2021-12-31 01:41:44;112651848;127181216;2957396;2.25;173864;14445752;11900744;4.53;1568668;15564692;103012
plotter1;60;2021-12-31 01:42:44;110970804;126544836;3594772;2.73;178620;15484368;11901664;4.53;1901608;16919336;292
plotter1;60;2021-12-31 01:43:44;109293560;125685628;4453416;3.38;183864;16297640;11903148;4.53;2258616;18233040;53504
plotter1;60;2021-12-31 01:44:44;108493084;125665060;4474492;3.40;184740;17076236;11906452;4.53;2634392;18659256;39352
plotter1;60;2021-12-31 01:45:44;107721004;125643488;4496356;3.41;185092;17826000;11917260;4.53;2902028;19147948;54664
plotter1;60;2021-12-31 01:46:44;107065344;125620976;4518596;3.43;185416;18459200;11917304;4.53;3119684;19570404;41052
plotter1;60;2021-12-31 01:47:44;106454960;125621904;4517348;3.43;185692;19070232;11919912;4.54;3342864;19973788;45876
plotter1;60;2021-12-31 01:48:44;105755556;125617468;4521688;3.43;187060;19763856;11924824;4.54;3486260;20530792;22484
plotter1;60;2021-12-31 01:49:44;105142312;125613600;4525192;3.44;189476;20371252;11930812;4.54;3605936;21027332;11000
plotter1;60;2021-12-31 01:50:44;104526444;125586888;4552928;3.46;192192;20957296;11932528;4.54;3711408;21513220;25600
plotter1;60;2021-12-31 01:51:44;103941588;125616056;4522928;3.43;194084;21570324;11932568;4.54;3798800;22041692;24108
plotter1;60;2021-12-31 01:52:44;103299672;125583072;4556904;3.46;194432;22177604;11943056;4.54;3883324;22574732;36280
plotter1;60;2021-12-31 01:53:44;102624884;125588912;4549996;3.45;194768;22858788;11945620;4.54;4011632;23134032;1144
plotter1;60;2021-12-31 01:54:44;101971600;125595040;4544268;3.45;195188;23517364;11946152;4.55;4133044;23673376;13208
plotter1;60;2021-12-31 01:55:44;101375324;125592920;4546476;3.45;195656;24111032;11946572;4.55;4199544;24203896;13144
plotter1;60;2021-12-31 01:56:44;100818224;125583256;4556308;3.46;195908;24658180;11946672;4.55;4247476;24702856;41144
plotter1;60;2021-12-31 01:57:44;100157680;125591768;4547564;3.45;196148;25326992;11947084;4.55;4320304;25301292;35748
plotter1;60;2021-12-31 01:58:44;99567120;125579236;4560088;3.46;196416;25904812;11947280;4.55;4382440;25817840;38360
plotter1;60;2021-12-31 01:59:44;98938912;125555932;4583224;3.48;196940;26509172;11989068;4.56;4447724;26396120;412
plotter1;60;2021-12-31 02:00:44;98293588;125520336;4618768;3.51;197464;27118788;12002764;4.57;4508316;26979384;12156
plotter1;60;2021-12-31 02:01:44;97767652;125525412;4613784;3.50;197924;27648908;11968472;4.55;4548656;27452472;424
plotter1;60;2021-12-31 02:02:44;97274384;125515632;4623484;3.51;198216;28132084;11969132;4.55;4587476;27907636;112
plotter1;60;2021-12-31 02:03:44;96754792;125505320;4633824;3.52;198788;28640808;11972004;4.55;4624556;28386792;18288
plotter1;60;2021-12-31 02:04:44;96202488;125515512;4622556;3.51;199068;29203872;11975568;4.56;4654112;28926760;18016
plotter1;60;2021-12-31 02:05:44;95667076;125507044;4632268;3.52;199320;29729700;11977560;4.56;4684200;29426132;29084
plotter1;60;2021-12-31 02:06:44;95144692;125496560;4642624;3.53;199568;30241372;11981120;4.56;4718128;29907508;33152
plotter1;60;2021-12-31 02:07:44;94544388;125483108;4655436;3.53;199808;30828376;11983668;4.56;4773036;30445832;23924
plotter1;60;2021-12-31 02:08:44;93906580;125464228;4674344;3.55;200056;31444136;11983800;4.56;4812632;31020796;33616
plotter1;60;2021-12-31 02:09:44;93348044;125471112;4668036;3.54;200276;32004008;11984060;4.56;4854120;31540828;22476
plotter1;60;2021-12-31 02:10:44;92765652;125490508;4648956;3.53;200528;32600232;11984208;4.56;4892812;32099888;23720
plotter1;60;2021-12-31 02:11:44;92221672;125485432;4653648;3.53;200772;33134680;11986320;4.56;4917364;32611520;33808
plotter1;60;2021-12-31 02:12:44;91624288;125493864;4645560;3.53;201060;33734404;11986584;4.56;4946248;33183672;16532
plotter1;60;2021-12-31 02:13:44;91090384;125495980;4643392;3.53;201268;34265592;11986784;4.56;4977776;33683424;25456
plotter1;60;2021-12-31 02:14:44;90437556;125445344;4693840;3.56;201536;34862356;12086216;4.60;5018276;34305452;28008
plotter1;60;2021-12-31 02:15:44;89848564;125470524;4668704;3.54;201792;35471312;11988116;4.56;5055716;34814580;21512
plotter1;60;2021-12-31 02:16:44;89195768;125463180;4675780;3.55;202068;36110776;11989692;4.56;5098176;35412852;36264
plotter1;60;2021-12-31 02:17:44;88525056;125467888;4670888;3.55;202340;36780380;11990728;4.56;5215376;35968832;152
plotter1;60;2021-12-31 02:18:44;87805644;125439152;4699944;3.57;202780;37465236;11993308;4.56;5318028;36561236;10444
plotter1;60;2021-12-31 02:19:44;87230508;125449636;4689376;3.56;203224;38045700;11994700;4.56;5387068;37075208;9408
