# hostname;interval;timestamp;tps;rtps;wtps;dtps;bread/s;bwrtn/s;bdscd/s
plotter1;60;2021-12-31 05:08:31;4236.75;2416.18;1819.90;0.67;818458.62;1379008.53;730133.73
plotter1;60;2021-12-31 05:09:31;2671.32;2654.95;16.28;0.08;210356.37;1034.40;13.33
plotter1;60;2021-12-31 05:10:31;245.93;231.63;14.30;0.00;20986.90;374.13;0.00
plotter1;60;2021-12-31 05:11:31;424.55;322.65;101.90;0.00;23587.00;1316.27;0.00
plotter1;60;2021-12-31 05:12:31;5147.18;2699.05;2448.03;0.10;84533.13;35710.27;9.33
plotter1;60;2021-12-31 05:13:31;3130.60;1161.93;1968.67;0.00;38443.05;29752.13;0.00
plotter1;60;2021-12-31 05:14:31;3056.68;678.40;2378.28;0.00;30844.65;37581.47;0.00
plotter1;60;2021-12-31 05:15:31;2413.40;352.68;2060.70;0.02;21554.00;31040.00;0.13
plotter1;60;2021-12-31 05:16:31;2008.20;222.52;1785.68;0.00;20468.93;26057.60;0.00
plotter1;60;2021-12-31 05:17:31;2024.47;208.47;1816.00;0.00;19640.40;26181.60;0.00
plotter1;60;2021-12-31 05:18:31;2685.45;310.60;2374.85;0.00;19662.67;35649.87;0.00
plotter1;60;2021-12-31 05:19:31;1864.25;217.12;1647.13;0.00;20284.13;23333.73;0.00
plotter1;60;2021-12-31 05:20:31;1888.02;188.20;1699.82;0.00;17441.20;23836.13;0.00
plotter1;60;2021-12-31 05:21:31;1493.13;187.45;1305.68;0.00;18569.07;20494.80;0.00
plotter1;60;2021-12-31 05:22:31;1621.30;225.27;1396.03;0.00;19289.13;21990.67;0.00
plotter1;60;2021-12-31 05:23:31;1636.12;199.70;1436.42;0.00;19791.20;21575.73;0.00
plotter1;60;2021-12-31 05:24:31;1765.30;317.00;1448.30;0.00;21474.40;20684.93;0.00
plotter1;60;2021-12-31 05:25:31;2200.22;555.52;1644.70;0.00;26913.73;22836.53;0.00
plotter1;60;2021-12-31 05:26:31;1848.12;263.13;1584.98;0.00;21301.87;21156.67;0.00
plotter1;60;2021-12-31 05:27:31;1718.60;188.02;1530.58;0.00;18596.40;20118.53;0.00
plotter1;60;2021-12-31 05:28:31;1811.70;202.82;1608.88;0.00;19420.13;21072.27;0.00
plotter1;60;2021-12-31 05:29:31;1788.00;220.83;1567.17;0.00;20211.87;20449.07;0.00
plotter1;60;2021-12-31 05:30:31;1782.00;222.17;1559.83;0.00;19420.13;20348.53;0.00
plotter1;60;2021-12-31 05:31:31;1758.35;258.87;1499.48;0.00;20692.93;19212.00;0.00
plotter1;60;2021-12-31 05:32:31;1815.98;263.83;1552.15;0.00;21253.13;19779.20;0.00
plotter1;60;2021-12-31 05:33:31;1653.83;203.38;1450.45;0.00;19510.13;18753.07;0.00
plotter1;60;2021-12-31 05:34:31;1769.88;226.17;1543.72;0.00;21360.93;19590.00;0.00
plotter1;60;2021-12-31 05:35:31;1811.88;227.32;1584.57;0.00;20740.00;20158.13;0.00
plotter1;60;2021-12-31 05:36:31;1732.18;207.77;1524.42;0.00;20182.67;19056.13;0.00
plotter1;60;2021-12-31 05:37:31;1749.30;192.25;1557.05;0.00;18254.67;19434.93;0.00
plotter1;60;2021-12-31 05:38:31;1762.50;242.65;1519.85;0.00;18937.73;19026.53;0.00
plotter1;60;2021-12-31 05:39:31;1673.30;194.95;1478.35;0.00;17750.00;18450.00;0.00
plotter1;60;2021-12-31 05:40:31;1731.52;215.07;1516.45;0.00;18625.60;18989.73;0.00
plotter1;60;2021-12-31 05:41:31;1693.87;224.15;1469.72;0.00;18705.33;17905.87;0.00
plotter1;60;2021-12-31 05:42:31;1774.70;221.12;1553.58;0.00;20270.37;19227.47;0.00
plotter1;60;2021-12-31 05:43:31;1797.15;199.65;1597.50;0.00;20054.93;19708.40;0.00
plotter1;60;2021-12-31 05:44:31;1730.12;179.47;1550.65;0.00;17878.00;19079.60;0.00
plotter1;60;2021-12-31 05:45:31;1846.37;213.85;1632.52;0.00;18953.33;20394.00;0.00
plotter1;60;2021-12-31 05:46:31;1722.18;191.77;1530.42;0.00;18275.33;18755.33;0.00
plotter1;60;2021-12-31 05:47:31;1672.62;201.45;1471.17;0.00;18811.20;17981.47;0.00
plotter1;60;2021-12-31 05:48:31;1789.73;389.78;1399.95;0.00;23386.13;17059.73;0.00
plotter1;60;2021-12-31 05:49:31;1814.27;606.13;1208.13;0.00;27479.73;14614.13;0.00
plotter1;60;2021-12-31 05:50:31;1878.45;469.62;1408.83;0.00;23946.53;17982.53;0.00
plotter1;60;2021-12-31 05:51:31;1702.15;310.30;1391.85;0.00;20639.47;17404.80;0.00
