# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
plotter1;60;2021-12-31 07:17:08;lo;10.63;10.63;105.29;105.29;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:17:08;enp6s0;607.87;1203.95;109.42;1643.08;0.00;0.00;0.40;0.54
plotter1;60;2021-12-31 07:18:08;lo;32.58;32.58;365.19;365.19;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:18:08;enp6s0;857.20;1458.58;381.08;1928.38;0.00;0.00;0.42;0.63
plotter1;60;2021-12-31 07:19:08;lo;15.90;15.90;109.25;109.25;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:19:08;enp6s0;716.88;1244.15;260.85;1618.72;0.00;0.00;0.40;0.53
plotter1;60;2021-12-31 07:20:08;lo;2.87;2.87;27.24;27.24;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:20:08;enp6s0;726.95;1154.28;334.02;1482.70;0.00;0.00;0.42;0.49
plotter1;60;2021-12-31 07:21:08;lo;5.17;5.17;29.60;29.60;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:21:08;enp6s0;742.18;1113.85;375.07;1420.79;0.00;0.00;0.42;0.47
plotter1;60;2021-12-31 07:22:08;lo;5.58;5.58;78.86;78.86;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:22:08;enp6s0;612.97;988.37;273.35;1281.64;0.00;0.00;0.42;0.42
plotter1;60;2021-12-31 07:23:08;lo;8.05;8.05;108.45;108.45;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:23:08;enp6s0;671.30;1163.85;232.69;1537.74;0.00;0.00;0.42;0.50
plotter1;60;2021-12-31 07:24:08;lo;9.97;9.97;105.64;105.64;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:24:08;enp6s0;750.35;1338.80;237.61;1796.13;0.00;0.00;0.40;0.59
plotter1;60;2021-12-31 07:25:08;lo;2.53;2.53;27.06;27.06;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:25:08;enp6s0;553.13;1025.37;150.62;1357.57;0.00;0.00;0.42;0.44
plotter1;60;2021-12-31 07:26:08;lo;7.85;7.85;79.73;79.73;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:26:08;enp6s0;706.57;1138.90;329.77;1479.03;0.00;0.00;0.42;0.48
plotter1;60;2021-12-31 07:27:08;lo;6.13;6.13;79.35;79.35;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:27:08;enp6s0;627.30;1087.80;238.05;1430.42;0.00;0.00;0.40;0.47
plotter1;60;2021-12-31 07:28:08;lo;11.13;11.13;135.34;135.34;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:28:08;enp6s0;681.80;1211.15;233.87;1621.31;0.00;0.00;0.42;0.53
plotter1;60;2021-12-31 07:29:08;lo;4.28;4.28;53.01;53.01;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:29:08;enp6s0;620.07;1084.20;197.49;1433.26;0.00;0.00;0.42;0.47
plotter1;60;2021-12-31 07:30:08;lo;5.92;5.92;54.46;54.46;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:30:08;enp6s0;688.12;1199.50;254.96;1585.88;0.00;0.00;0.40;0.52
plotter1;60;2021-12-31 07:31:08;lo;4.30;4.30;53.12;53.12;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:31:08;enp6s0;573.30;994.13;221.43;1305.44;0.00;0.00;0.40;0.43
plotter1;60;2021-12-31 07:32:08;lo;4.65;4.65;28.13;28.13;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:32:08;enp6s0;657.13;1114.28;268.80;1447.90;0.00;0.00;0.40;0.47
plotter1;60;2021-12-31 07:33:08;lo;10.43;10.43;147.88;147.88;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:33:08;enp6s0;716.70;1110.12;364.01;1435.55;0.00;0.00;0.42;0.47
plotter1;60;2021-12-31 07:34:08;lo;4.45;4.45;27.76;27.76;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:34:08;enp6s0;629.22;1126.17;215.68;1482.78;0.00;0.00;0.42;0.49
plotter1;60;2021-12-31 07:35:08;lo;4.22;4.22;53.10;53.10;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:35:08;enp6s0;709.95;1203.45;293.09;1583.93;0.00;0.00;0.40;0.52
plotter1;60;2021-12-31 07:36:08;lo;5.97;5.97;53.64;53.64;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:36:08;enp6s0;626.05;1081.35;256.04;1410.66;0.00;0.00;0.42;0.46
plotter1;60;2021-12-31 07:37:08;lo;5.87;5.87;78.98;78.98;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:37:08;enp6s0;654.68;1118.93;239.65;1477.97;0.00;0.00;0.42;0.48
plotter1;60;2021-12-31 07:38:08;lo;5.93;5.93;53.49;53.49;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:38:08;enp6s0;648.03;1064.17;274.58;1386.38;0.00;0.00;0.40;0.45
plotter1;60;2021-12-31 07:39:08;lo;10.47;10.47;153.08;153.08;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:39:08;enp6s0;710.83;1185.62;291.02;1545.16;0.00;0.00;0.42;0.51
plotter1;60;2021-12-31 07:40:08;lo;9.42;9.42;105.83;105.83;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:40:08;enp6s0;658.75;1109.97;228.95;1460.68;0.00;0.00;0.40;0.48
plotter1;60;2021-12-31 07:41:08;lo;5.47;5.47;78.03;78.03;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:41:08;enp6s0;700.08;1147.85;278.63;1501.16;0.00;0.00;0.42;0.49
plotter1;60;2021-12-31 07:42:08;lo;7.97;7.97;79.45;79.45;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:42:08;enp6s0;681.65;1171.50;250.63;1552.44;0.00;0.00;0.42;0.51
plotter1;60;2021-12-31 07:43:08;lo;4.30;4.30;52.99;52.99;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:43:08;enp6s0;725.48;1133.40;333.55;1462.70;0.00;0.00;0.42;0.48
plotter1;60;2021-12-31 07:44:08;lo;11.20;11.20;141.68;141.68;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:44:08;enp6s0;677.57;1203.32;247.66;1605.45;0.00;0.00;0.42;0.53
plotter1;60;2021-12-31 07:45:08;lo;8.93;8.93;130.13;130.13;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:45:08;enp6s0;691.70;1149.48;278.06;1509.93;0.00;0.00;0.42;0.49
plotter1;60;2021-12-31 07:46:08;lo;10.35;10.35;131.27;131.27;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:46:08;enp6s0;724.72;1231.62;289.75;1620.11;0.00;0.00;0.42;0.53
plotter1;60;2021-12-31 07:47:08;lo;8.90;8.90;130.00;130.00;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:47:08;enp6s0;703.57;1122.23;326.91;1468.01;0.00;0.00;0.42;0.48
plotter1;60;2021-12-31 07:48:08;lo;15.73;15.73;134.95;134.95;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:48:08;enp6s0;665.73;1144.45;263.47;1496.93;0.00;0.00;0.40;0.49
plotter1;60;2021-12-31 07:49:08;lo;12.68;12.68;130.22;130.22;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:49:08;enp6s0;698.20;1155.18;302.76;1500.70;0.00;0.00;0.42;0.49
plotter1;60;2021-12-31 07:50:08;lo;5.35;5.35;78.65;78.65;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 07:50:08;enp6s0;719.25;1300.00;233.13;1714.51;0.00;0.00;0.42;0.56
