# hostname;interval;timestamp;DEV;tps;rkB/s;wkB/s;dkB/s;areq-sz;aqu-sz;await;%util
plotter1;60;2021-12-31 09:25:42;nvme1n1;1517.50;179788.73;230606.67;122948.07;351.46;14.76;9.73;35.48
plotter1;60;2021-12-31 09:25:42;nvme0n1;1517.85;179813.67;230617.20;122947.80;351.40;15.44;10.17;36.26
plotter1;60;2021-12-31 09:25:42;nvme2n1;1518.65;179800.53;230606.73;122946.00;351.20;14.38;9.47;35.26
plotter1;60;2021-12-31 09:25:42;sda;9.53;409.13;0.00;0.00;42.92;0.07;7.25;2.80
plotter1;60;2021-12-31 09:25:42;sdb;11.30;520.53;0.27;0.00;46.09;0.15;13.41;4.57
plotter1;60;2021-12-31 09:25:42;sdc;6.72;285.07;0.00;0.00;42.44;0.02;3.61;1.23
plotter1;60;2021-12-31 09:25:42;sdd;4.18;166.80;0.00;0.00;39.87;0.03;7.77;1.11
plotter1;60;2021-12-31 09:25:42;sde;42.83;1292.20;231.80;0.00;35.58;0.03;0.68;1.72
plotter1;60;2021-12-31 09:25:42;sde1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
plotter1;60;2021-12-31 09:25:42;sde2;42.50;1292.07;231.80;0.00;35.86;0.03;0.68;1.70
plotter1;60;2021-12-31 09:25:42;sdf;4.05;170.33;0.00;0.00;42.06;0.02;4.40;0.92
plotter1;60;2021-12-31 09:25:42;sdg;9.43;427.27;0.00;0.00;45.29;0.08;8.03;2.23
plotter1;60;2021-12-31 09:25:42;sdh;7.52;436.73;0.27;0.00;58.14;0.04;5.20;2.25
plotter1;60;2021-12-31 09:25:42;sdi;9.10;477.98;0.00;0.00;52.53;0.04;4.51;2.16
plotter1;60;2021-12-31 09:25:42;dm-0;19367.48;539402.93;691832.40;368841.87;82.62;493.90;25.50;36.99
plotter1;60;2021-12-31 09:25:42;sdj;5.30;277.58;0.00;0.00;52.37;0.02;4.22;1.40
plotter1;60;2021-12-31 09:25:42;sdk;7.60;363.25;0.00;0.00;47.80;0.09;11.22;3.04
plotter1;60;2021-12-31 09:25:42;sdl;4.90;268.32;0.00;0.00;54.76;0.04;8.48;1.67
plotter1;60;2021-12-31 09:25:42;sdm;0.37;0.85;0.00;0.00;2.32;0.01;22.27;0.78
plotter1;60;2021-12-31 09:25:42;sdo;3.97;193.05;0.00;0.00;48.67;0.03;8.39;2.18
plotter1;60;2021-12-31 09:25:42;sdp;8.70;459.98;0.00;0.00;52.87;0.05;6.26;2.74
plotter1;60;2021-12-31 09:25:42;sdq;2.75;121.52;0.00;0.00;44.19;0.03;10.06;1.90
plotter1;60;2021-12-31 09:25:42;sdr;1.85;49.71;0.00;0.00;26.87;0.02;10.99;1.30
plotter1;60;2021-12-31 09:25:42;sds;1.13;37.78;0.00;0.00;33.34;0.01;10.99;1.03
plotter1;60;2021-12-31 09:25:42;sdt;3.13;122.71;0.00;0.00;39.16;0.04;12.77;2.11
plotter1;60;2021-12-31 09:25:42;sdu;16.30;818.78;0.00;0.00;50.23;0.25;15.15;6.43
plotter1;60;2021-12-31 09:25:42;sdv;2.15;81.18;0.00;0.00;37.76;0.02;9.50;1.52
plotter1;60;2021-12-31 09:25:42;sdx;3.02;137.91;0.00;0.00;45.72;0.02;8.19;1.67
plotter1;60;2021-12-31 09:25:42;sdy;1.22;38.25;0.00;0.00;31.44;0.01;11.75;1.07
