# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
plotter1;60;2021-12-31 09:25:42;-1;2.51;0.00;2.99;10.32;0.00;84.18
plotter1;60;2021-12-31 09:26:42;-1;6.52;0.00;0.30;6.64;0.00;86.54
plotter1;60;2021-12-31 09:27:42;-1;11.01;0.00;0.64;6.74;0.00;81.61
plotter1;60;2021-12-31 09:28:42;-1;14.41;0.00;0.63;6.74;0.00;78.22
plotter1;60;2021-12-31 09:29:42;-1;15.37;0.00;0.63;5.39;0.00;78.61
plotter1;60;2021-12-31 09:30:42;-1;9.13;0.00;0.72;7.74;0.00;82.41
plotter1;60;2021-12-31 09:31:42;-1;9.48;0.00;0.72;6.30;0.00;83.51
plotter1;60;2021-12-31 09:32:42;-1;8.72;0.00;0.69;7.66;0.00;82.92
plotter1;60;2021-12-31 09:33:42;-1;8.59;0.00;0.67;7.45;0.00;83.29
plotter1;60;2021-12-31 09:34:42;-1;11.31;0.00;0.67;6.25;0.00;81.77
plotter1;60;2021-12-31 09:35:42;-1;8.88;0.00;0.71;8.50;0.00;81.91
plotter1;60;2021-12-31 09:36:42;-1;9.17;0.00;0.61;5.92;0.00;84.30
plotter1;60;2021-12-31 09:37:42;-1;8.40;0.00;0.58;7.12;0.00;83.90
plotter1;60;2021-12-31 09:38:42;-1;8.83;0.00;0.56;6.09;0.00;84.52
plotter1;60;2021-12-31 09:39:42;-1;8.84;0.00;0.61;8.04;0.00;82.52
plotter1;60;2021-12-31 09:40:42;-1;9.91;0.00;0.67;8.05;0.00;81.36
plotter1;60;2021-12-31 09:41:42;-1;14.16;0.00;0.83;7.41;0.00;77.59
plotter1;60;2021-12-31 09:42:42;-1;8.93;0.00;0.66;7.99;0.00;82.41
plotter1;60;2021-12-31 09:43:42;-1;8.57;0.00;0.65;7.19;0.00;83.59
plotter1;60;2021-12-31 09:44:42;-1;8.68;0.00;0.63;6.19;0.00;84.50
plotter1;60;2021-12-31 09:45:42;-1;8.97;0.00;0.70;8.01;0.00;82.32
plotter1;60;2021-12-31 09:46:42;-1;8.84;0.00;0.63;7.93;0.00;82.59
plotter1;60;2021-12-31 09:47:42;-1;8.07;0.00;0.65;8.91;0.00;82.36
plotter1;60;2021-12-31 09:48:42;-1;8.68;0.00;0.65;8.01;0.00;82.65
plotter1;60;2021-12-31 09:49:42;-1;8.16;0.00;0.62;7.01;0.00;84.21
plotter1;60;2021-12-31 09:50:42;-1;9.01;0.00;0.70;8.84;0.00;81.46
plotter1;60;2021-12-31 09:51:42;-1;8.21;0.00;0.64;6.52;0.00;84.62
plotter1;60;2021-12-31 09:52:42;-1;8.76;0.00;0.67;7.79;0.00;82.78
plotter1;60;2021-12-31 09:53:42;-1;8.15;0.00;0.66;6.56;0.00;84.63
plotter1;60;2021-12-31 09:54:42;-1;8.66;0.00;0.62;7.39;0.00;83.33
plotter1;60;2021-12-31 09:55:42;-1;8.65;0.00;0.65;7.58;0.00;83.12
plotter1;60;2021-12-31 09:56:42;-1;8.10;0.00;0.64;7.57;0.00;83.69
plotter1;60;2021-12-31 09:57:42;-1;9.37;0.00;0.87;9.02;0.00;80.74
plotter1;60;2021-12-31 09:58:42;-1;8.54;0.00;0.65;6.61;0.00;84.20
plotter1;60;2021-12-31 09:59:42;-1;8.18;0.00;0.63;6.08;0.00;85.11
plotter1;60;2021-12-31 10:00:42;-1;9.07;0.00;0.69;9.29;0.00;80.95
plotter1;60;2021-12-31 10:01:42;-1;8.97;0.00;0.65;6.32;0.00;84.05
plotter1;60;2021-12-31 10:02:42;-1;8.90;0.00;0.63;6.89;0.00;83.59
plotter1;60;2021-12-31 10:03:42;-1;8.55;0.00;0.64;6.08;0.00;84.74
plotter1;60;2021-12-31 10:04:42;-1;8.66;0.00;0.64;8.24;0.00;82.46
plotter1;60;2021-12-31 10:05:42;-1;8.16;0.00;0.66;7.98;0.00;83.20
plotter1;60;2021-12-31 10:06:42;-1;9.79;0.00;0.61;6.35;0.00;83.26
plotter1;60;2021-12-31 10:07:42;-1;14.22;0.00;0.57;7.13;0.00;78.08
