# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
plotter1;60;2021-12-31 10:09:36;0;902;5.02;5.13;4.91;0
plotter1;60;2021-12-31 10:10:36;1;903;4.11;4.87;4.84;0
plotter1;60;2021-12-31 10:11:36;8;910;4.23;4.82;4.82;0
plotter1;60;2021-12-31 10:12:36;2;910;5.45;5.03;4.89;0
plotter1;60;2021-12-31 10:13:36;1;906;6.56;5.31;4.99;0
plotter1;60;2021-12-31 10:14:36;3;904;6.40;5.52;5.08;0
plotter1;60;2021-12-31 10:15:36;2;904;5.82;5.43;5.07;0
plotter1;60;2021-12-31 10:16:36;9;903;4.50;5.13;4.99;0
plotter1;60;2021-12-31 10:17:36;1;903;6.34;5.54;5.14;0
plotter1;60;2021-12-31 10:18:36;2;904;5.21;5.31;5.08;0
plotter1;60;2021-12-31 10:19:36;1;903;6.05;5.53;5.17;0
plotter1;60;2021-12-31 10:20:36;1;904;4.53;5.18;5.07;0
plotter1;60;2021-12-31 10:21:36;8;904;3.48;4.76;4.94;0
plotter1;60;2021-12-31 10:22:36;1;904;3.11;4.47;4.83;0
plotter1;60;2021-12-31 10:23:36;1;905;2.97;4.19;4.70;0
plotter1;60;2021-12-31 10:24:36;2;903;4.50;4.35;4.72;0
plotter1;60;2021-12-31 10:25:36;2;902;5.73;4.63;4.79;1
plotter1;60;2021-12-31 10:26:36;1;903;6.07;4.91;4.88;3
plotter1;60;2021-12-31 10:27:36;1;904;5.15;4.89;4.87;0
plotter1;60;2021-12-31 10:28:36;1;904;3.83;4.58;4.77;0
plotter1;60;2021-12-31 10:29:36;1;904;4.57;4.65;4.78;8
plotter1;60;2021-12-31 10:30:36;1;904;3.61;4.38;4.68;0
plotter1;60;2021-12-31 10:31:36;1;904;4.63;4.52;4.70;7
plotter1;60;2021-12-31 10:32:36;1;904;5.14;4.61;4.72;0
plotter1;60;2021-12-31 10:33:36;1;905;5.13;4.66;4.72;0
plotter1;60;2021-12-31 10:34:36;1;906;3.79;4.40;4.63;0
plotter1;60;2021-12-31 10:35:36;8;904;4.04;4.32;4.59;0
plotter1;60;2021-12-31 10:36:36;8;905;5.36;4.63;4.68;0
plotter1;60;2021-12-31 10:37:36;2;905;5.66;4.89;4.76;0
plotter1;60;2021-12-31 10:38:36;1;905;4.73;4.68;4.69;0
plotter1;60;2021-12-31 10:39:36;1;906;3.44;4.35;4.58;0
plotter1;60;2021-12-31 10:40:36;1;905;4.54;4.40;4.58;0
plotter1;60;2021-12-31 10:41:36;1;905;3.65;4.15;4.47;0
plotter1;60;2021-12-31 10:42:36;1;904;4.12;4.14;4.45;0
plotter1;60;2021-12-31 10:43:36;1;904;5.18;4.48;4.54;0
plotter1;60;2021-12-31 10:44:36;2;906;5.78;4.80;4.65;0
plotter1;60;2021-12-31 10:45:36;1;905;5.33;4.81;4.66;0
plotter1;60;2021-12-31 10:46:36;1;903;5.65;4.95;4.71;0
plotter1;60;2021-12-31 10:47:36;1;903;3.92;4.58;4.60;1
plotter1;60;2021-12-31 10:48:36;1;902;4.44;4.55;4.58;0
plotter1;60;2021-12-31 10:49:36;2;905;4.50;4.45;4.54;0
plotter1;60;2021-12-31 10:50:36;1;904;4.30;4.46;4.54;0
