# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
plotter1,60,2022-01-02 22:47:47,/dev/mapper/vg_raid-raid0,2265515,594692,20.79,20.79,586056232,216,0.00
plotter1,60,2022-01-02 22:48:47,/dev/mapper/vg_raid-raid0,2265515,594692,20.79,20.79,586056232,216,0.00
plotter1,60,2022-01-02 22:49:47,/dev/mapper/vg_raid-raid0,2265463,594744,20.79,20.79,586056232,216,0.00
plotter1,60,2022-01-02 22:50:47,/dev/mapper/vg_raid-raid0,2265344,594862,20.80,20.80,586056232,216,0.00
plotter1,60,2022-01-02 22:51:47,/dev/mapper/vg_raid-raid0,2265263,594943,20.80,20.80,586056232,216,0.00
plotter1,60,2022-01-02 22:52:47,/dev/mapper/vg_raid-raid0,2265176,595031,20.80,20.80,586056232,216,0.00
plotter1,60,2022-01-02 22:53:47,/dev/mapper/vg_raid-raid0,2265117,595089,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 22:54:47,/dev/mapper/vg_raid-raid0,2265073,595134,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 22:55:47,/dev/mapper/vg_raid-raid0,2265036,595171,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 22:56:47,/dev/mapper/vg_raid-raid0,2264988,595219,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 22:57:47,/dev/mapper/vg_raid-raid0,2264961,595246,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 22:58:47,/dev/mapper/vg_raid-raid0,2264936,595271,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 22:59:47,/dev/mapper/vg_raid-raid0,2264912,595294,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 23:00:47,/dev/mapper/vg_raid-raid0,2264889,595317,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 23:01:47,/dev/mapper/vg_raid-raid0,2264868,595338,20.81,20.81,586056232,216,0.00
plotter1,60,2022-01-02 23:02:47,/dev/mapper/vg_raid-raid0,2264839,595368,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:03:47,/dev/mapper/vg_raid-raid0,2264817,595390,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:04:47,/dev/mapper/vg_raid-raid0,2264796,595411,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:05:47,/dev/mapper/vg_raid-raid0,2264777,595430,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:06:47,/dev/mapper/vg_raid-raid0,2264757,595450,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:07:47,/dev/mapper/vg_raid-raid0,2264738,595469,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:08:47,/dev/mapper/vg_raid-raid0,2264719,595487,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:09:47,/dev/mapper/vg_raid-raid0,2264699,595508,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:10:47,/dev/mapper/vg_raid-raid0,2264680,595527,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:11:47,/dev/mapper/vg_raid-raid0,2264658,595548,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:12:47,/dev/mapper/vg_raid-raid0,2264641,595566,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:13:47,/dev/mapper/vg_raid-raid0,2264621,595586,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:14:47,/dev/mapper/vg_raid-raid0,2264602,595605,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:15:47,/dev/mapper/vg_raid-raid0,2264580,595626,20.82,20.82,586056232,216,0.00
plotter1,60,2022-01-02 23:16:47,/dev/mapper/vg_raid-raid0,2264560,595646,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:17:47,/dev/mapper/vg_raid-raid0,2264542,595665,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:18:47,/dev/mapper/vg_raid-raid0,2264523,595684,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:19:47,/dev/mapper/vg_raid-raid0,2264502,595704,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:20:47,/dev/mapper/vg_raid-raid0,2264483,595724,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:21:47,/dev/mapper/vg_raid-raid0,2264462,595745,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:22:47,/dev/mapper/vg_raid-raid0,2264443,595764,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:23:47,/dev/mapper/vg_raid-raid0,2264424,595783,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:24:47,/dev/mapper/vg_raid-raid0,2264404,595802,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:25:47,/dev/mapper/vg_raid-raid0,2264378,595828,20.83,20.83,586056232,216,0.00
plotter1,60,2022-01-02 23:26:47,/dev/mapper/vg_raid-raid0,2264352,595854,20.83,20.83,586056232,216,0.00
