# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-02 22:47:47,130694136,443392,0.34,12948,2.92
plotter1,60,2022-01-02 22:48:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:49:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:50:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:51:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:52:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:53:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:54:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:55:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:56:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:57:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:58:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 22:59:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 23:00:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 23:01:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 23:02:47,130696184,441344,0.34,11420,2.59
plotter1,60,2022-01-02 23:03:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:04:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:05:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:06:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:07:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:08:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:09:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:10:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:11:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:12:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:13:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:14:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:15:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:16:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:17:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:18:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:19:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:20:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:21:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:22:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:23:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:24:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:25:47,130696184,441344,0.34,11416,2.59
plotter1,60,2022-01-02 23:26:47,130696184,441344,0.34,11416,2.59
