# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-02 22:47:47,lo,7.00,7.00,3.75,3.75,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:47:47,enp6s0,559.93,1101.78,104.68,1486.97,0.00,0.00,0.42,0.49
plotter1,60,2022-01-02 22:48:47,lo,7.48,7.48,4.46,4.46,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:48:47,enp6s0,738.98,1157.03,372.75,1450.51,0.00,0.00,0.42,0.48
plotter1,60,2022-01-02 22:49:47,lo,237.88,237.88,748.18,748.18,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:49:47,enp6s0,1002.00,1577.70,446.95,1961.81,0.00,0.00,0.40,0.64
plotter1,60,2022-01-02 22:50:47,lo,1.83,1.83,2.56,2.56,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:50:47,enp6s0,771.55,1251.18,350.68,1572.35,0.00,0.00,0.43,0.52
plotter1,60,2022-01-02 22:51:47,lo,1.53,1.53,2.23,2.23,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:51:47,enp6s0,606.92,1025.80,233.30,1318.24,0.00,0.00,0.42,0.43
plotter1,60,2022-01-02 22:52:47,lo,1.10,1.10,1.23,1.23,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:52:47,enp6s0,788.30,1160.33,407.63,1476.09,0.00,0.00,0.42,0.48
plotter1,60,2022-01-02 22:53:47,lo,1.13,1.13,1.84,1.84,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:53:47,enp6s0,583.37,1046.45,208.79,1347.40,0.00,0.00,0.42,0.44
plotter1,60,2022-01-02 22:54:47,lo,0.90,0.90,1.22,1.22,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:54:47,enp6s0,637.70,1074.90,250.69,1422.77,0.00,0.00,0.40,0.47
plotter1,60,2022-01-02 22:55:47,lo,1.00,1.00,1.25,1.25,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:55:47,enp6s0,626.68,1089.92,213.14,1424.07,0.00,0.00,0.42,0.47
plotter1,60,2022-01-02 22:56:47,lo,4.97,4.97,4.40,4.40,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:56:47,enp6s0,674.70,1002.85,341.78,1262.68,0.00,0.00,0.42,0.41
plotter1,60,2022-01-02 22:57:47,lo,4.08,4.08,3.27,3.27,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:57:47,enp6s0,635.22,1106.50,203.33,1451.91,0.00,0.00,0.42,0.48
plotter1,60,2022-01-02 22:58:47,lo,1.03,1.03,2.12,2.12,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:58:47,enp6s0,614.43,995.27,270.36,1247.12,0.00,0.00,0.40,0.41
plotter1,60,2022-01-02 22:59:47,lo,0.73,0.73,1.00,1.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 22:59:47,enp6s0,691.22,1210.68,224.07,1593.95,0.00,0.00,0.42,0.52
plotter1,60,2022-01-02 23:00:47,lo,0.77,0.77,1.02,1.02,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:00:47,enp6s0,648.77,1123.35,253.66,1459.79,0.00,0.00,0.43,0.48
plotter1,60,2022-01-02 23:01:47,lo,0.77,0.77,1.18,1.18,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:01:47,enp6s0,674.35,1142.80,247.02,1497.45,0.00,0.00,0.40,0.49
plotter1,60,2022-01-02 23:02:47,lo,1.37,1.37,2.32,2.32,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:02:47,enp6s0,600.42,982.47,257.09,1256.75,0.00,0.00,0.42,0.41
plotter1,60,2022-01-02 23:03:47,lo,1.13,1.13,1.83,1.83,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:03:47,enp6s0,798.83,1190.88,409.81,1521.37,0.00,0.00,0.40,0.50
plotter1,60,2022-01-02 23:04:47,lo,591.45,591.45,2737.75,2737.75,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:04:47,enp6s0,2092.08,2365.40,1499.43,2916.26,0.00,0.00,0.42,0.96
plotter1,60,2022-01-02 23:05:47,lo,760.93,760.93,3732.14,3732.14,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:05:47,enp6s0,1941.45,3983.63,352.41,5336.95,0.00,0.00,0.40,1.75
plotter1,60,2022-01-02 23:06:47,lo,122.48,122.48,223.60,223.60,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:06:47,enp6s0,764.22,1283.05,288.95,1638.49,0.00,0.00,0.40,0.54
plotter1,60,2022-01-02 23:07:47,lo,558.25,558.25,999.43,999.43,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:07:47,enp6s0,1152.52,1980.05,295.52,2440.98,0.00,0.00,0.42,0.80
plotter1,60,2022-01-02 23:08:47,lo,553.28,553.28,1292.33,1292.33,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:08:47,enp6s0,1283.88,2280.07,376.00,2927.92,0.00,0.00,0.42,0.96
plotter1,60,2022-01-02 23:09:47,lo,191.55,191.55,762.06,762.06,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:09:47,enp6s0,1097.75,1614.43,566.40,2093.28,0.00,0.00,0.40,0.69
plotter1,60,2022-01-02 23:10:47,lo,5.45,5.45,43.45,43.45,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:10:47,enp6s0,638.53,1022.15,270.96,1329.76,0.00,0.00,0.42,0.44
plotter1,60,2022-01-02 23:11:47,lo,67.97,67.97,79.38,79.38,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:11:47,enp6s0,683.27,1104.33,261.74,1441.96,0.00,0.00,0.38,0.47
plotter1,60,2022-01-02 23:12:47,lo,4.70,4.70,40.11,40.11,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:12:47,enp6s0,676.65,1137.75,269.16,1491.08,0.00,0.00,0.42,0.49
plotter1,60,2022-01-02 23:13:47,lo,4.75,4.75,40.94,40.94,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:13:47,enp6s0,781.33,1231.55,335.24,1611.98,0.00,0.00,0.42,0.53
plotter1,60,2022-01-02 23:14:47,lo,37.60,37.60,216.73,216.73,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:14:47,enp6s0,688.42,1160.07,251.70,1523.05,0.00,0.00,0.40,0.50
plotter1,60,2022-01-02 23:15:47,lo,105.68,105.68,89.22,89.22,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:15:47,enp6s0,770.40,1194.87,344.81,1552.77,0.00,0.00,0.42,0.51
plotter1,60,2022-01-02 23:16:47,lo,88.90,88.90,109.86,109.86,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:16:47,enp6s0,805.15,1263.60,365.29,1639.80,0.00,0.00,0.42,0.54
plotter1,60,2022-01-02 23:17:47,lo,0.83,0.83,1.28,1.28,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:17:47,enp6s0,693.67,1134.68,289.12,1503.46,0.00,0.00,0.40,0.49
plotter1,60,2022-01-02 23:18:47,lo,0.70,0.70,0.81,0.81,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:18:47,enp6s0,657.78,1082.68,273.36,1428.25,0.00,0.00,0.42,0.47
plotter1,60,2022-01-02 23:19:47,lo,0.93,0.93,1.54,1.54,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:19:47,enp6s0,624.00,1033.47,264.25,1359.81,0.00,0.00,0.42,0.45
plotter1,60,2022-01-02 23:20:47,lo,1.00,1.00,1.38,1.38,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:20:47,enp6s0,617.85,991.12,265.50,1300.95,0.00,0.00,0.42,0.43
plotter1,60,2022-01-02 23:21:47,lo,1.13,1.13,2.15,2.15,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:21:47,enp6s0,677.28,1061.95,313.86,1387.47,0.00,0.00,0.42,0.45
plotter1,60,2022-01-02 23:22:47,lo,1.10,1.10,1.82,1.82,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:22:47,enp6s0,642.60,1078.65,273.88,1423.85,0.00,0.00,0.42,0.47
plotter1,60,2022-01-02 23:23:47,lo,1.13,1.13,2.06,2.06,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:23:47,enp6s0,799.65,1209.68,397.23,1595.75,0.00,0.00,0.40,0.52
plotter1,60,2022-01-02 23:24:47,lo,0.70,0.70,0.77,0.77,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:24:47,enp6s0,696.47,1034.35,340.94,1373.93,0.00,0.00,0.40,0.45
plotter1,60,2022-01-02 23:25:47,lo,1.03,1.03,1.35,1.35,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:25:47,enp6s0,633.67,1135.95,214.92,1517.06,0.00,0.00,0.42,0.50
plotter1,60,2022-01-02 23:26:47,lo,1.93,1.93,3.05,3.05,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 23:26:47,enp6s0,695.22,1018.12,371.31,1310.37,0.00,0.00,0.40,0.43
