# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-02 22:47:47,1,845,4.83,4.05,3.63,8
plotter1,60,2022-01-02 22:48:47,2,848,4.02,3.92,3.60,8
plotter1,60,2022-01-02 22:49:47,1,852,5.19,4.26,3.74,0
plotter1,60,2022-01-02 22:50:47,1,855,6.48,4.74,3.94,3
plotter1,60,2022-01-02 22:51:47,0,855,5.69,4.87,4.03,0
plotter1,60,2022-01-02 22:52:47,0,853,8.77,6.05,4.50,1
plotter1,60,2022-01-02 22:53:47,2,852,6.73,5.92,4.55,0
plotter1,60,2022-01-02 22:54:47,3,851,4.51,5.45,4.47,6
plotter1,60,2022-01-02 22:55:47,1,852,4.38,5.21,4.45,0
plotter1,60,2022-01-02 22:56:47,1,852,4.14,4.98,4.42,0
plotter1,60,2022-01-02 22:57:47,4,850,5.04,5.16,4.52,0
plotter1,60,2022-01-02 22:58:47,1,851,4.31,4.89,4.46,0
plotter1,60,2022-01-02 22:59:47,2,851,5.07,4.91,4.49,0
plotter1,60,2022-01-02 23:00:47,1,851,4.56,4.84,4.49,3
plotter1,60,2022-01-02 23:01:47,1,851,6.21,5.18,4.63,0
plotter1,60,2022-01-02 23:02:47,1,851,5.59,5.08,4.62,0
plotter1,60,2022-01-02 23:03:47,1,848,4.91,4.96,4.61,8
plotter1,60,2022-01-02 23:04:47,2,898,3.32,4.51,4.47,0
plotter1,60,2022-01-02 23:05:47,1,897,4.54,4.67,4.53,0
plotter1,60,2022-01-02 23:06:47,1,898,4.36,4.60,4.52,0
plotter1,60,2022-01-02 23:07:47,1,899,6.68,5.51,4.85,5
plotter1,60,2022-01-02 23:08:47,1,903,4.54,5.15,4.77,0
plotter1,60,2022-01-02 23:09:47,8,902,4.07,4.94,4.72,0
plotter1,60,2022-01-02 23:10:47,1,901,5.61,5.14,4.80,0
plotter1,60,2022-01-02 23:11:47,7,902,5.17,5.18,4.84,2
plotter1,60,2022-01-02 23:12:47,1,902,5.91,5.62,5.03,5
plotter1,60,2022-01-02 23:13:47,1,899,3.96,5.16,4.91,8
plotter1,60,2022-01-02 23:14:47,1,903,5.35,5.37,4.99,0
plotter1,60,2022-01-02 23:15:47,1,902,4.65,5.12,4.93,0
plotter1,60,2022-01-02 23:16:47,1,849,4.83,5.09,4.93,0
plotter1,60,2022-01-02 23:17:47,1,849,3.71,4.77,4.83,3
plotter1,60,2022-01-02 23:18:47,1,850,3.40,4.53,4.75,8
plotter1,60,2022-01-02 23:19:47,1,847,6.66,5.58,5.11,0
plotter1,60,2022-01-02 23:20:47,1,849,6.22,5.73,5.20,0
plotter1,60,2022-01-02 23:21:47,1,850,5.78,5.70,5.22,0
plotter1,60,2022-01-02 23:22:47,5,850,4.63,5.40,5.15,8
plotter1,60,2022-01-02 23:23:47,1,850,4.65,5.33,5.14,0
plotter1,60,2022-01-02 23:24:47,1,850,4.10,5.03,5.05,0
plotter1,60,2022-01-02 23:25:47,9,849,3.32,4.65,4.92,8
plotter1,60,2022-01-02 23:26:47,8,849,4.29,4.69,4.91,8
