# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-02 22:47:47,117162036,128452888,1689644,1.28,165712,11177656,4549492,1.73,1092236,11512208,92
plotter1,60,2022-01-02 22:48:47,116305652,128288216,1854856,1.41,176088,11860380,5412848,2.06,1127772,12329168,256
plotter1,60,2022-01-02 22:49:47,114295212,127867936,2274200,1.73,183072,13443568,11272516,4.29,1312636,14123380,8584
plotter1,60,2022-01-02 22:50:47,112291760,127718464,2423456,1.84,184860,15296224,11276440,4.29,1690748,15733784,50004
plotter1,60,2022-01-02 22:51:47,111356540,127673712,2468264,1.87,187208,16184368,11276712,4.29,1997572,16363144,64176
plotter1,60,2022-01-02 22:52:47,110421996,127569860,2572216,1.95,188776,17013476,11278688,4.29,2377336,16903820,70444
plotter1,60,2022-01-02 22:53:47,109676032,127520220,2622216,1.99,190148,17708004,11328048,4.31,2724896,17329580,18920
plotter1,60,2022-01-02 22:54:47,108390540,126875400,3266932,2.48,191048,18347800,11388304,4.33,2974748,18358584,27320
plotter1,60,2022-01-02 22:55:47,107141704,126242496,3899584,2.96,191588,18963220,11461744,4.36,3178728,19419932,31368
plotter1,60,2022-01-02 22:56:47,106233220,125941628,4200452,3.19,195084,19567300,11551900,4.40,3417296,20080220,22656
plotter1,60,2022-01-02 22:57:47,105493580,125824608,4317392,3.28,203176,20181828,11694500,4.45,3565648,20666016,34124
plotter1,60,2022-01-02 22:58:47,105007088,125856356,4285396,3.25,208420,20694820,11611428,4.42,3687044,21031372,31212
plotter1,60,2022-01-02 22:59:47,104289704,125803984,4337888,3.29,209344,21358944,11639016,4.43,3801880,21615680,38940
plotter1,60,2022-01-02 23:00:47,103664756,125771620,4369860,3.32,209816,21951488,11668968,4.44,3891992,22154008,12416
plotter1,60,2022-01-02 23:01:47,102950948,125681664,4460128,3.39,210104,22574612,11754700,4.47,3966356,22799036,164
plotter1,60,2022-01-02 23:02:47,102296764,125631240,4510692,3.43,210332,23178168,11782620,4.48,4112092,23295380,8852
plotter1,60,2022-01-02 23:03:47,101624312,125611616,4530404,3.44,216112,23825220,11812724,4.49,4217344,23880232,11740
plotter1,60,2022-01-02 23:04:47,100784352,125290812,4850664,3.68,216672,24343800,12174452,4.63,4280480,24641688,17696
plotter1,60,2022-01-02 23:05:47,100090576,125211224,4930244,3.74,217472,24957220,12231472,4.65,4348968,25279484,6496
plotter1,60,2022-01-02 23:06:47,99450560,125159304,4981700,3.78,217720,25545140,12284268,4.67,4403360,25871196,23608
plotter1,60,2022-01-02 23:07:47,98832732,125114964,5026140,3.82,217976,26118416,12325520,4.69,4468040,26434636,32468
plotter1,60,2022-01-02 23:08:47,98053180,125007892,5133440,3.90,218240,26790560,12366008,4.70,4537656,27111532,12780
plotter1,60,2022-01-02 23:09:47,97248056,124844948,5296124,4.02,218504,27432420,12543060,4.77,4586392,27861000,23068
plotter1,60,2022-01-02 23:10:47,96809172,124927292,5213528,3.96,218780,27953400,12444184,4.73,4628792,28278356,28056
plotter1,60,2022-01-02 23:11:47,96149804,124820768,5320244,4.04,219268,28505728,12614260,4.80,4667552,28930724,28432
plotter1,60,2022-01-02 23:12:47,95594548,124839372,5301404,4.03,219500,29079468,12526628,4.77,4700552,29427736,22760
plotter1,60,2022-01-02 23:13:47,94910856,124796924,5343900,4.06,219756,29720384,12559896,4.78,4734524,30075016,17152
plotter1,60,2022-01-02 23:14:47,94336868,124756228,5384624,4.09,219980,30253496,12596788,4.79,4769564,30617612,17072
plotter1,60,2022-01-02 23:15:47,93600468,124636156,5504568,4.18,220356,30869904,12697260,4.83,4826944,31280444,12592
plotter1,60,2022-01-02 23:16:47,93252468,124914576,5226656,3.97,220612,31494328,12383092,4.71,4887432,31541180,6056
plotter1,60,2022-01-02 23:17:47,92640832,124937088,5204148,3.95,221024,32122532,12399608,4.72,4934964,32146164,5492
plotter1,60,2022-01-02 23:18:47,91993884,124873868,5267372,4.00,221252,32700988,12425852,4.73,4971864,32718704,6124
plotter1,60,2022-01-02 23:19:47,91447432,124856428,5284896,4.01,221464,33225012,12453120,4.74,4996676,33250392,104
plotter1,60,2022-01-02 23:20:47,90881180,124806572,5334828,4.05,221728,33736640,12476036,4.75,5024552,33761040,21424
plotter1,60,2022-01-02 23:21:47,90308700,124800576,5340864,4.06,221952,34297952,12505608,4.76,5057364,34327264,22468
plotter1,60,2022-01-02 23:22:47,89588692,124640320,5501100,4.18,222224,34852636,12664720,4.82,5101884,34978052,11280
plotter1,60,2022-01-02 23:23:47,89009744,124709348,5432188,4.12,222472,35494736,12564372,4.78,5146208,35502444,6104
plotter1,60,2022-01-02 23:24:47,88360924,124681236,5459960,4.15,222664,36110184,12593688,4.79,5229004,36073672,3900
plotter1,60,2022-01-02 23:25:47,87616440,124650176,5491136,4.17,223064,36817636,12626588,4.80,5346708,36702952,27152
plotter1,60,2022-01-02 23:26:47,86989596,124603116,5538408,4.21,223264,37392684,12657480,4.82,5430460,37230584,5652
