# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 22:47:47,-1,1.36,0.00,1.61,9.43,0.00,87.61
plotter1,60,2022-01-02 22:48:47,-1,2.80,0.00,0.28,7.48,0.00,89.44
plotter1,60,2022-01-02 22:49:47,-1,7.27,0.00,0.41,8.37,0.00,83.94
plotter1,60,2022-01-02 22:50:47,-1,15.02,0.00,0.45,9.95,0.00,74.58
plotter1,60,2022-01-02 22:51:47,-1,11.80,0.00,0.37,6.92,0.00,80.91
plotter1,60,2022-01-02 22:52:47,-1,12.51,0.00,0.43,7.76,0.00,79.30
plotter1,60,2022-01-02 22:53:47,-1,9.00,0.00,0.40,6.67,0.00,83.93
plotter1,60,2022-01-02 22:54:47,-1,8.98,0.00,0.44,8.14,0.00,82.44
plotter1,60,2022-01-02 22:55:47,-1,9.49,0.00,0.45,7.94,0.00,82.11
plotter1,60,2022-01-02 22:56:47,-1,12.67,0.00,0.46,7.15,0.00,79.72
plotter1,60,2022-01-02 22:57:47,-1,9.42,0.00,0.44,7.73,0.00,82.41
plotter1,60,2022-01-02 22:58:47,-1,9.12,0.00,0.35,7.00,0.00,83.53
plotter1,60,2022-01-02 22:59:47,-1,9.14,0.00,0.37,8.20,0.00,82.28
plotter1,60,2022-01-02 23:00:47,-1,9.98,0.00,0.38,8.90,0.00,80.74
plotter1,60,2022-01-02 23:01:47,-1,9.10,0.00,0.38,9.36,0.00,81.16
plotter1,60,2022-01-02 23:02:47,-1,12.85,0.00,0.37,7.30,0.00,79.47
plotter1,60,2022-01-02 23:03:47,-1,11.55,0.00,0.36,8.72,0.00,79.36
plotter1,60,2022-01-02 23:04:47,-1,9.78,0.00,0.45,6.75,0.00,83.02
plotter1,60,2022-01-02 23:05:47,-1,10.39,0.00,0.52,8.70,0.00,80.39
plotter1,60,2022-01-02 23:06:47,-1,9.05,0.00,0.41,7.32,0.00,83.21
plotter1,60,2022-01-02 23:07:47,-1,9.40,0.00,0.41,7.38,0.00,82.82
plotter1,60,2022-01-02 23:08:47,-1,9.92,0.00,0.46,8.09,0.00,81.53
plotter1,60,2022-01-02 23:09:47,-1,8.85,0.00,0.38,8.89,0.00,81.87
plotter1,60,2022-01-02 23:10:47,-1,9.22,0.00,0.36,7.10,0.00,83.33
plotter1,60,2022-01-02 23:11:47,-1,9.20,0.00,0.37,7.24,0.00,83.19
plotter1,60,2022-01-02 23:12:47,-1,9.03,0.00,0.38,8.00,0.00,82.58
plotter1,60,2022-01-02 23:13:47,-1,9.39,0.00,0.39,8.90,0.00,81.32
plotter1,60,2022-01-02 23:14:47,-1,9.00,0.00,0.34,6.56,0.00,84.10
plotter1,60,2022-01-02 23:15:47,-1,9.14,0.00,0.37,8.30,0.00,82.18
plotter1,60,2022-01-02 23:16:47,-1,9.34,0.00,0.39,8.79,0.00,81.48
plotter1,60,2022-01-02 23:17:47,-1,9.80,0.00,0.49,8.90,0.00,80.81
plotter1,60,2022-01-02 23:18:47,-1,9.24,0.00,0.33,7.26,0.00,83.17
plotter1,60,2022-01-02 23:19:47,-1,9.03,0.00,0.30,7.90,0.00,82.77
plotter1,60,2022-01-02 23:20:47,-1,9.69,0.00,0.36,7.44,0.00,82.51
plotter1,60,2022-01-02 23:21:47,-1,9.54,0.00,0.32,7.97,0.00,82.17
plotter1,60,2022-01-02 23:22:47,-1,9.40,0.00,0.34,7.31,0.00,82.94
plotter1,60,2022-01-02 23:23:47,-1,9.04,0.00,0.32,9.38,0.00,81.26
plotter1,60,2022-01-02 23:24:47,-1,8.55,0.00,0.34,7.46,0.00,83.66
plotter1,60,2022-01-02 23:25:47,-1,10.48,0.00,0.37,8.31,0.00,80.83
plotter1,60,2022-01-02 23:26:47,-1,14.78,0.00,0.36,7.03,0.00,77.82
