# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-05 10:51:55,-1,1.43,0.00,2.44,9.89,0.00,86.24
plotter1,60,2022-01-05 10:52:55,-1,5.50,0.00,0.30,7.88,0.00,86.32
plotter1,60,2022-01-05 10:53:55,-1,8.55,0.00,0.39,10.15,0.00,80.92
plotter1,60,2022-01-05 10:54:55,-1,11.56,0.00,0.46,8.31,0.00,79.68
plotter1,60,2022-01-05 10:55:55,-1,15.17,0.00,0.44,7.96,0.00,76.44
plotter1,60,2022-01-05 10:56:55,-1,11.08,0.00,0.43,9.44,0.00,79.06
plotter1,60,2022-01-05 10:57:55,-1,8.95,0.00,0.45,8.39,0.00,82.21
plotter1,60,2022-01-05 10:58:55,-1,9.04,0.00,0.42,9.28,0.00,81.26
plotter1,60,2022-01-05 10:59:55,-1,9.00,0.00,0.44,8.39,0.00,82.17
plotter1,60,2022-01-05 11:00:55,-1,11.95,0.00,0.46,9.31,0.00,78.27
plotter1,60,2022-01-05 11:01:55,-1,9.03,0.00,0.42,10.20,0.00,80.35
plotter1,60,2022-01-05 11:02:55,-1,9.79,0.00,0.41,8.63,0.00,81.17
plotter1,60,2022-01-05 11:03:55,-1,8.51,0.00,0.40,6.96,0.00,84.13
plotter1,60,2022-01-05 11:04:55,-1,9.59,0.00,0.38,7.47,0.00,82.56
plotter1,60,2022-01-05 11:05:55,-1,9.40,0.00,0.47,9.26,0.00,80.87
plotter1,60,2022-01-05 11:06:55,-1,10.95,0.00,0.38,6.97,0.00,81.70
plotter1,60,2022-01-05 11:07:55,-1,12.44,0.00,0.39,8.15,0.00,79.02
plotter1,60,2022-01-05 11:08:55,-1,9.02,0.00,0.41,7.12,0.00,83.45
plotter1,60,2022-01-05 11:09:55,-1,8.90,0.00,0.37,5.65,0.00,85.08
plotter1,60,2022-01-05 11:10:55,-1,9.16,0.00,0.43,7.53,0.00,82.88
plotter1,60,2022-01-05 11:11:55,-1,9.39,0.00,0.41,8.08,0.00,82.12
plotter1,60,2022-01-05 11:12:55,-1,9.04,0.00,0.39,7.40,0.00,83.16
plotter1,60,2022-01-05 11:13:55,-1,8.80,0.00,0.39,6.49,0.00,84.32
plotter1,60,2022-01-05 11:14:55,-1,8.52,0.00,0.37,8.10,0.00,83.01
plotter1,60,2022-01-05 11:15:55,-1,9.04,0.00,0.45,9.60,0.00,80.91
plotter1,60,2022-01-05 11:16:55,-1,9.24,0.00,0.40,6.83,0.00,83.53
plotter1,60,2022-01-05 11:17:55,-1,9.09,0.00,0.38,6.94,0.00,83.59
plotter1,60,2022-01-05 11:18:55,-1,9.12,0.00,0.56,9.20,0.00,81.12
plotter1,60,2022-01-05 11:19:55,-1,8.53,0.00,0.49,6.42,0.00,84.56
plotter1,60,2022-01-05 11:20:55,-1,8.98,0.00,0.43,7.35,0.00,83.24
plotter1,60,2022-01-05 11:21:55,-1,8.92,0.00,0.37,7.25,0.00,83.46
plotter1,60,2022-01-05 11:22:55,-1,9.17,0.00,0.38,6.59,0.00,83.87
plotter1,60,2022-01-05 11:23:55,-1,8.67,0.00,0.38,7.90,0.00,83.04
plotter1,60,2022-01-05 11:24:55,-1,8.96,0.00,0.38,8.36,0.00,82.31
plotter1,60,2022-01-05 11:25:55,-1,9.21,0.00,0.44,8.63,0.00,81.72
plotter1,60,2022-01-05 11:26:55,-1,9.42,0.00,0.37,7.33,0.00,82.88
plotter1,60,2022-01-05 11:27:55,-1,8.76,0.00,0.36,7.18,0.00,83.70
plotter1,60,2022-01-05 11:28:55,-1,9.32,0.00,0.39,6.64,0.00,83.65
plotter1,60,2022-01-05 11:29:55,-1,8.78,0.00,0.36,6.81,0.00,84.05
plotter1,60,2022-01-05 11:30:55,-1,8.72,0.00,0.41,7.17,0.00,83.69
plotter1,60,2022-01-05 11:31:55,-1,8.65,0.00,0.33,7.05,0.00,83.97
plotter1,60,2022-01-05 11:32:55,-1,8.97,0.00,0.31,8.74,0.00,81.98
plotter1,60,2022-01-05 11:33:55,-1,13.94,0.00,0.40,6.64,0.00,79.03
