# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-05 14:48:05,116843448,128080180,2069124,1.57,168592,11090188,5002076,1.90,1319392,11567300,116
plotter1,60,2022-01-05 14:49:05,116225680,128001592,2147384,1.63,169500,11628472,5036164,1.92,1338900,12147632,456
plotter1,60,2022-01-05 14:50:05,113228908,127391572,2755592,2.09,170056,14015564,11726312,4.46,1727028,14731848,25680
plotter1,60,2022-01-05 14:51:05,111969360,127301972,2846096,2.16,170716,15183944,11721136,4.46,2079780,15622940,15012
plotter1,60,2022-01-05 14:52:05,110195040,126353704,3794368,2.88,171024,16009648,11722152,4.46,2455068,17055592,20156
plotter1,60,2022-01-05 14:53:05,109130836,126114440,4033604,3.06,172924,16832824,11733536,4.46,2824220,17741940,27772
plotter1,60,2022-01-05 14:54:05,108538976,126053720,4094512,3.11,175816,17361056,11781220,4.48,3076044,18086972,25952
plotter1,60,2022-01-05 14:55:05,107874248,125948748,4199548,3.19,178700,17917876,11859916,4.51,3293980,18511812,23068
plotter1,60,2022-01-05 14:56:05,107234184,125897116,4250976,3.23,182752,18502304,11903640,4.53,3515336,18940152,41276
plotter1,60,2022-01-05 14:57:05,106530772,125836324,4311624,3.27,188752,19138948,11956216,4.55,3665848,19491788,7360
plotter1,60,2022-01-05 14:58:05,105778192,125733820,4414168,3.35,190672,19787176,12046708,4.58,3785292,20117156,11168
plotter1,60,2022-01-05 14:59:05,105135516,125739904,4407644,3.35,192092,20434468,12040360,4.58,3892496,20663732,4708
plotter1,60,2022-01-05 15:00:05,104496232,125688892,4458936,3.39,192944,21021936,12079176,4.60,3984624,21200980,9064
plotter1,60,2022-01-05 15:01:05,103947260,125604284,4544152,3.45,193248,21485548,12121668,4.61,4063412,21641172,18332
plotter1,60,2022-01-05 15:02:05,103154496,125552596,4595416,3.49,193616,22226756,12190024,4.64,4201012,22319468,18264
plotter1,60,2022-01-05 15:03:05,102035404,125017964,5129044,3.89,193864,22811892,13077744,4.98,4309624,23356172,39740
plotter1,60,2022-01-05 15:04:05,101907036,125467696,4679996,3.55,194176,23388764,12260960,4.66,4367220,23402272,30308
plotter1,60,2022-01-05 15:05:05,101310812,125419232,4728492,3.59,194516,23936116,12310272,4.68,4433332,23935492,39392
plotter1,60,2022-01-05 15:06:05,100688172,125364732,4782960,3.63,194796,24504444,12353896,4.70,4485976,24510536,29504
plotter1,60,2022-01-05 15:07:05,100003644,125314280,4833804,3.67,195332,25137536,12396912,4.72,4546296,25135860,6840
plotter1,60,2022-01-05 15:08:05,99408604,125261032,4886912,3.71,195656,25678988,12428532,4.73,4615804,25651888,644
plotter1,60,2022-01-05 15:09:05,98681536,125084192,5063632,3.84,195908,26229040,12664452,4.82,4670264,26324592,11440
plotter1,60,2022-01-05 15:10:05,98210168,125166480,4980928,3.78,196212,26782768,12505528,4.76,4714864,26753904,11420
plotter1,60,2022-01-05 15:11:05,97598576,125123572,5023804,3.81,196488,27351216,12532052,4.77,4752800,27323356,22696
plotter1,60,2022-01-05 15:12:05,97028572,125080040,5067956,3.85,196748,27876944,12567768,4.78,4784272,27862452,17212
plotter1,60,2022-01-05 15:13:05,96437240,125026536,5121252,3.89,197304,28414188,12609844,4.80,4817744,28418720,23496
plotter1,60,2022-01-05 15:14:05,95867004,124991236,5156808,3.92,197556,28948940,12646804,4.81,4851944,28966612,17040
plotter1,60,2022-01-05 15:15:05,95174140,124858512,5288872,4.02,197884,29509176,12757920,4.85,4904864,29588564,12088
plotter1,60,2022-01-05 15:16:05,94614280,124815152,5332528,4.05,198172,30024932,12781820,4.86,4945724,30100428,16892
plotter1,60,2022-01-05 15:17:05,94000812,124796208,5351512,4.06,198436,30619248,12811396,4.87,4992392,30684016,16552
plotter1,60,2022-01-05 15:18:05,93464184,124790800,5356924,4.07,198928,31149988,12836356,4.88,5030640,31208820,23036
plotter1,60,2022-01-05 15:19:05,92824476,124742244,5405520,4.10,199196,31740820,12863368,4.89,5058108,31805364,11456
plotter1,60,2022-01-05 15:20:05,92232744,124691428,5456376,4.14,199620,32279772,12890420,4.90,5085852,32344448,11516
plotter1,60,2022-01-05 15:21:05,91621324,124639168,5508568,4.18,199916,32833836,12959448,4.93,5120212,32938608,16824
plotter1,60,2022-01-05 15:22:05,90826872,124406932,5740832,4.36,200228,33390832,13335200,5.07,5163916,33671308,21332
plotter1,60,2022-01-05 15:23:05,90410824,124582844,5564716,4.23,200468,33977468,13004320,4.95,5203384,34044320,31832
plotter1,60,2022-01-05 15:24:05,89754084,124552284,5595044,4.25,200736,34598192,13002400,4.95,5282480,34604424,4
plotter1,60,2022-01-05 15:25:05,89093516,124493420,5654132,4.29,200968,35194860,13045068,4.96,5400516,35127488,1168
plotter1,60,2022-01-05 15:26:05,88509016,124465580,5681852,4.31,201272,35747004,13067712,4.97,5483236,35629120,6840
plotter1,60,2022-01-05 15:27:05,90106980,126608236,3539784,2.69,201616,36286644,6389476,2.43,5530996,34024176,456
