# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
plotter1,60,2022-01-06 12:19:54,/dev/mapper/vg_raid-raid0,1165018,1695189,59.27,59.27,586056171,277,0.00
plotter1,60,2022-01-06 12:20:54,/dev/mapper/vg_raid-raid0,1159780,1700427,59.45,59.45,586056168,280,0.00
plotter1,60,2022-01-06 12:21:54,/dev/mapper/vg_raid-raid0,1159694,1700513,59.45,59.45,586056168,280,0.00
plotter1,60,2022-01-06 12:22:54,/dev/mapper/vg_raid-raid0,1159502,1700705,59.46,59.46,586056168,280,0.00
plotter1,60,2022-01-06 12:23:54,/dev/mapper/vg_raid-raid0,1159369,1700838,59.47,59.47,586056168,280,0.00
plotter1,60,2022-01-06 12:24:54,/dev/mapper/vg_raid-raid0,1159409,1700798,59.46,59.46,586056168,280,0.00
plotter1,60,2022-01-06 12:25:54,/dev/mapper/vg_raid-raid0,1159289,1700918,59.47,59.47,586056168,280,0.00
plotter1,60,2022-01-06 12:26:54,/dev/mapper/vg_raid-raid0,1159208,1700999,59.47,59.47,586056168,280,0.00
plotter1,60,2022-01-06 12:27:54,/dev/mapper/vg_raid-raid0,1159145,1701061,59.47,59.47,586056168,280,0.00
plotter1,60,2022-01-06 12:28:54,/dev/mapper/vg_raid-raid0,1159048,1701159,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:29:54,/dev/mapper/vg_raid-raid0,1159004,1701203,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:30:54,/dev/mapper/vg_raid-raid0,1158968,1701238,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:31:54,/dev/mapper/vg_raid-raid0,1158936,1701271,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:32:54,/dev/mapper/vg_raid-raid0,1158902,1701305,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:33:54,/dev/mapper/vg_raid-raid0,1158873,1701334,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:34:54,/dev/mapper/vg_raid-raid0,1158841,1701366,59.48,59.48,586056168,280,0.00
plotter1,60,2022-01-06 12:35:54,/dev/mapper/vg_raid-raid0,1158785,1701421,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:36:54,/dev/mapper/vg_raid-raid0,1158758,1701449,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:37:54,/dev/mapper/vg_raid-raid0,1158731,1701475,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:38:54,/dev/mapper/vg_raid-raid0,1158706,1701500,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:39:54,/dev/mapper/vg_raid-raid0,1158681,1701526,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:40:54,/dev/mapper/vg_raid-raid0,1158656,1701551,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:41:54,/dev/mapper/vg_raid-raid0,1158632,1701574,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:42:54,/dev/mapper/vg_raid-raid0,1158607,1701600,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:43:54,/dev/mapper/vg_raid-raid0,1158583,1701624,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:44:54,/dev/mapper/vg_raid-raid0,1158558,1701648,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:45:54,/dev/mapper/vg_raid-raid0,1158534,1701672,59.49,59.49,586056168,280,0.00
plotter1,60,2022-01-06 12:46:54,/dev/mapper/vg_raid-raid0,1158512,1701695,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:47:54,/dev/mapper/vg_raid-raid0,1158487,1701720,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:48:54,/dev/mapper/vg_raid-raid0,1158463,1701744,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:49:54,/dev/mapper/vg_raid-raid0,1158437,1701769,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:50:54,/dev/mapper/vg_raid-raid0,1158412,1701794,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:51:54,/dev/mapper/vg_raid-raid0,1158390,1701816,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:52:54,/dev/mapper/vg_raid-raid0,1158365,1701841,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:53:54,/dev/mapper/vg_raid-raid0,1158340,1701867,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:54:54,/dev/mapper/vg_raid-raid0,1158314,1701892,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:55:54,/dev/mapper/vg_raid-raid0,1158288,1701918,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:56:54,/dev/mapper/vg_raid-raid0,1158265,1701942,59.50,59.50,586056168,280,0.00
plotter1,60,2022-01-06 12:57:54,/dev/mapper/vg_raid-raid0,1158240,1701966,59.51,59.51,586056168,280,0.00
plotter1,60,2022-01-06 12:58:54,/dev/mapper/vg_raid-raid0,1158215,1701991,59.51,59.51,586056168,280,0.00
plotter1,60,2022-01-06 12:59:54,/dev/mapper/vg_raid-raid0,1158185,1702021,59.51,59.51,586056168,280,0.00
plotter1,60,2022-01-06 13:00:54,/dev/mapper/vg_raid-raid0,1158154,1702053,59.51,59.51,586056168,280,0.00
plotter1,60,2022-01-06 13:01:54,/dev/mapper/vg_raid-raid0,1158120,1702086,59.51,59.51,586056168,280,0.00
