# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-06 11:39:41,nvme0n1,1507.13,172836.40,114887.00,114806.33,267.08,1.92,1.28,41.99
plotter1,60,2022-01-06 11:39:41,nvme1n1,1504.23,172878.00,114882.20,114807.47,267.62,1.82,1.21,41.92
plotter1,60,2022-01-06 11:39:41,nvme2n1,1512.13,172849.47,114881.40,114807.40,266.21,1.95,1.29,41.95
plotter1,60,2022-01-06 11:39:41,sda,9.13,407.40,0.00,0.00,44.61,0.04,4.24,2.13
plotter1,60,2022-01-06 11:39:41,sdb,12.50,595.07,0.00,0.00,47.61,0.08,6.74,3.54
plotter1,60,2022-01-06 11:39:41,sdc,10.40,475.33,0.00,0.00,45.71,0.06,5.39,2.45
plotter1,60,2022-01-06 11:39:41,sdd,3.95,176.27,0.00,0.00,44.62,0.02,4.34,0.91
plotter1,60,2022-01-06 11:39:41,sde,41.40,1360.80,103.20,0.00,35.36,0.02,0.54,1.54
plotter1,60,2022-01-06 11:39:41,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-06 11:39:41,sde2,41.40,1360.80,103.20,0.00,35.36,0.02,0.54,1.54
plotter1,60,2022-01-06 11:39:41,sdf,8.30,388.13,0.00,0.00,46.76,0.05,6.09,1.74
plotter1,60,2022-01-06 11:39:41,sdg,4.05,196.27,0.00,0.00,48.46,0.02,4.31,1.09
plotter1,60,2022-01-06 11:39:41,sdh,13.65,644.40,0.00,0.00,47.21,0.06,4.47,2.88
plotter1,60,2022-01-06 11:39:41,dm-0,14996.77,518563.87,344651.73,344421.20,80.53,94.03,6.27,42.94
plotter1,60,2022-01-06 11:39:41,sdi,1.22,69.20,0.00,0.00,56.88,0.01,6.86,0.44
plotter1,60,2022-01-06 11:39:41,sdj,5.35,295.27,0.00,0.00,55.19,0.03,4.80,1.34
plotter1,60,2022-01-06 11:39:41,sdk,1.07,64.60,0.00,0.00,60.56,0.02,18.22,0.67
plotter1,60,2022-01-06 11:39:41,sdl,7.42,355.07,0.00,0.00,47.87,0.04,5.11,2.30
plotter1,60,2022-01-06 11:39:41,sdm,0.88,51.73,0.00,0.00,58.57,0.01,6.30,0.29
plotter1,60,2022-01-06 11:39:41,sdn,8.13,427.53,0.00,0.00,52.57,0.04,4.90,2.60
plotter1,60,2022-01-06 11:39:41,sdo,1.28,72.93,0.00,0.00,56.83,0.01,6.96,0.64
plotter1,60,2022-01-06 11:39:41,sdp,8.93,471.07,0.00,0.00,52.73,0.04,4.09,2.29
plotter1,60,2022-01-06 11:39:41,sdq,1.22,78.93,0.00,0.00,64.88,0.01,7.37,0.56
plotter1,60,2022-01-06 11:39:41,sdr,7.53,375.13,0.00,0.00,49.80,0.04,5.25,2.01
plotter1,60,2022-01-06 11:39:41,sds,2.32,145.47,0.00,0.00,62.79,0.01,6.01,0.82
plotter1,60,2022-01-06 11:39:41,sdt,2.27,123.53,0.00,0.00,54.50,0.02,7.38,0.87
plotter1,60,2022-01-06 11:39:41,sdu,4.80,284.93,0.00,0.00,59.36,0.06,12.94,2.92
plotter1,60,2022-01-06 11:39:41,sdv,4.47,267.93,0.00,0.00,59.99,0.04,8.97,1.84
plotter1,60,2022-01-06 11:39:41,sdw,8.97,474.47,0.00,0.00,52.91,0.04,4.67,2.36
plotter1,60,2022-01-06 11:39:41,sdx,2.12,90.07,0.00,0.00,42.55,0.02,7.17,0.87
plotter1,60,2022-01-06 11:39:41,sdy,4.58,242.00,0.00,0.00,52.80,0.02,5.43,1.51
plotter1,60,2022-01-06 11:39:41,sdz,5.53,275.67,0.00,0.00,49.82,0.03,5.89,1.98
plotter1,60,2022-01-06 11:39:41,sdaa,3.10,177.40,0.00,0.00,57.23,0.03,9.02,1.54
plotter1,60,2022-01-06 11:39:41,sdac,5.12,232.87,0.00,0.00,45.51,0.03,6.22,1.77
plotter1,60,2022-01-06 11:39:41,sdab,1.97,107.93,0.00,0.00,54.88,0.01,5.63,0.73
plotter1,60,2022-01-06 11:39:41,sdad,4.12,170.47,0.00,0.00,41.41,0.03,7.96,1.90
plotter1,60,2022-01-06 11:39:41,sdae,1.45,73.53,0.00,0.00,50.71,0.01,7.74,0.62
plotter1,60,2022-01-06 11:39:41,sdaf,0.97,44.40,0.00,0.00,45.93,0.01,8.12,0.49
plotter1,60,2022-01-06 11:39:41,sdag,7.92,375.13,0.00,0.00,47.39,0.05,6.66,2.98
