# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-06 14:31:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:32:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:33:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:34:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:35:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:36:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:37:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:38:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:39:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:40:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:41:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:42:10,130955768,181760,0.14,11612,6.39
plotter1,60,2022-01-06 14:43:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:44:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:45:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:46:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:47:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:48:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:49:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:50:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:51:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:52:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:53:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:54:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:55:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:56:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:57:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:58:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 14:59:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:00:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:01:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:02:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:03:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:04:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:05:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:06:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:07:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:08:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:09:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:10:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:11:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:12:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:13:10,130955768,181760,0.14,11620,6.39
plotter1,60,2022-01-06 15:14:10,130955768,181760,0.14,11624,6.40
