# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-07 22:44:45,1,849,5.13,4.20,5.25,0
plotter1,60,2022-01-07 22:45:45,0,856,4.72,4.28,5.22,0
plotter1,60,2022-01-07 22:46:45,2,859,4.25,4.20,5.13,3
plotter1,60,2022-01-07 22:47:45,0,864,4.36,4.17,5.05,1
plotter1,60,2022-01-07 22:48:45,0,866,4.38,4.25,5.03,1
plotter1,60,2022-01-07 22:49:45,1,865,5.66,4.60,5.10,0
plotter1,60,2022-01-07 22:50:45,1,865,4.59,4.48,5.03,3
plotter1,60,2022-01-07 22:51:45,1,866,6.32,4.91,5.13,0
plotter1,60,2022-01-07 22:52:45,1,865,4.54,4.68,5.04,0
plotter1,60,2022-01-07 22:53:45,1,865,4.13,4.46,4.93,0
plotter1,60,2022-01-07 22:54:45,1,865,4.69,4.53,4.93,0
plotter1,60,2022-01-07 22:55:45,1,864,3.98,4.41,4.86,0
plotter1,60,2022-01-07 22:56:45,1,866,4.65,4.47,4.85,0
plotter1,60,2022-01-07 22:57:45,1,865,3.88,4.29,4.76,8
plotter1,60,2022-01-07 22:58:45,1,866,5.25,4.58,4.83,0
plotter1,60,2022-01-07 22:59:45,1,865,3.81,4.22,4.69,3
plotter1,60,2022-01-07 23:00:45,8,865,3.77,4.22,4.66,0
plotter1,60,2022-01-07 23:01:45,0,866,3.61,4.14,4.61,5
plotter1,60,2022-01-07 23:02:45,1,873,4.25,4.28,4.63,0
plotter1,60,2022-01-07 23:03:45,1,868,5.33,4.50,4.68,8
plotter1,60,2022-01-07 23:04:45,1,867,4.37,4.40,4.63,0
plotter1,60,2022-01-07 23:05:45,1,872,5.54,4.60,4.68,2
plotter1,60,2022-01-07 23:06:45,1,865,4.96,4.60,4.67,0
plotter1,60,2022-01-07 23:07:45,1,866,3.06,4.12,4.50,8
plotter1,60,2022-01-07 23:08:45,7,868,2.73,3.86,4.39,7
plotter1,60,2022-01-07 23:09:45,1,867,2.61,3.64,4.28,0
plotter1,60,2022-01-07 23:10:45,1,872,2.91,3.52,4.20,0
plotter1,60,2022-01-07 23:11:45,1,872,4.20,3.77,4.24,0
plotter1,60,2022-01-07 23:12:45,1,866,4.50,3.95,4.27,0
plotter1,60,2022-01-07 23:13:45,1,868,4.68,4.15,4.32,0
plotter1,60,2022-01-07 23:14:45,1,873,4.22,4.08,4.28,8
plotter1,60,2022-01-07 23:15:45,1,871,5.49,4.46,4.40,0
plotter1,60,2022-01-07 23:16:45,1,873,4.83,4.44,4.40,0
plotter1,60,2022-01-07 23:17:45,1,872,4.65,4.48,4.42,3
plotter1,60,2022-01-07 23:18:45,1,865,3.97,4.23,4.33,0
plotter1,60,2022-01-07 23:19:45,1,870,4.35,4.29,4.34,6
plotter1,60,2022-01-07 23:20:45,1,864,4.29,4.31,4.35,0
plotter1,60,2022-01-07 23:21:45,2,865,4.75,4.39,4.37,0
plotter1,60,2022-01-07 23:22:45,1,866,4.90,4.44,4.38,8
plotter1,60,2022-01-07 23:23:45,1,867,4.30,4.32,4.34,0
plotter1,60,2022-01-07 23:24:45,1,866,4.64,4.37,4.35,0
plotter1,60,2022-01-07 23:25:45,1,870,4.20,4.31,4.34,0
plotter1,60,2022-01-07 23:26:45,1,865,4.77,4.50,4.40,0
plotter1,60,2022-01-07 23:27:45,1,865,4.45,4.54,4.43,8
