# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
plotter1,60,2022-01-07 23:33:34,/dev/mapper/vg_raid-raid0,1134976,1725231,60.32,60.32,586056110,338,0.00
plotter1,60,2022-01-07 23:34:34,/dev/mapper/vg_raid-raid0,1134923,1725284,60.32,60.32,586056110,338,0.00
plotter1,60,2022-01-07 23:35:34,/dev/mapper/vg_raid-raid0,1134793,1725414,60.32,60.32,586056110,338,0.00
plotter1,60,2022-01-07 23:36:34,/dev/mapper/vg_raid-raid0,1134663,1725544,60.33,60.33,586056110,338,0.00
plotter1,60,2022-01-07 23:37:34,/dev/mapper/vg_raid-raid0,1134561,1725646,60.33,60.33,586056110,338,0.00
plotter1,60,2022-01-07 23:38:34,/dev/mapper/vg_raid-raid0,1134490,1725717,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:39:34,/dev/mapper/vg_raid-raid0,1134427,1725780,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:40:34,/dev/mapper/vg_raid-raid0,1134386,1725821,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:41:34,/dev/mapper/vg_raid-raid0,1134341,1725866,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:42:34,/dev/mapper/vg_raid-raid0,1134302,1725905,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:43:34,/dev/mapper/vg_raid-raid0,1134267,1725940,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:44:34,/dev/mapper/vg_raid-raid0,1134232,1725975,60.34,60.34,586056110,338,0.00
plotter1,60,2022-01-07 23:45:34,/dev/mapper/vg_raid-raid0,1134196,1726011,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:46:34,/dev/mapper/vg_raid-raid0,1134160,1726047,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:47:34,/dev/mapper/vg_raid-raid0,1134124,1726083,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:48:34,/dev/mapper/vg_raid-raid0,1134087,1726120,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:49:34,/dev/mapper/vg_raid-raid0,1134051,1726156,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:50:34,/dev/mapper/vg_raid-raid0,1134014,1726193,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:51:34,/dev/mapper/vg_raid-raid0,1133981,1726226,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:52:34,/dev/mapper/vg_raid-raid0,1133939,1726268,60.35,60.35,586056110,338,0.00
plotter1,60,2022-01-07 23:53:34,/dev/mapper/vg_raid-raid0,1133903,1726304,60.36,60.36,586056110,338,0.00
plotter1,60,2022-01-07 23:54:34,/dev/mapper/vg_raid-raid0,1133870,1726337,60.36,60.36,586056110,338,0.00
plotter1,60,2022-01-07 23:55:34,/dev/mapper/vg_raid-raid0,1133834,1726373,60.36,60.36,586056110,338,0.00
plotter1,60,2022-01-07 23:56:34,/dev/mapper/vg_raid-raid0,1133808,1726399,60.36,60.36,586056110,338,0.00
