# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-07 23:33:34,4729.78,4441.38,288.00,0.40,1054625.73,689445.07,901597.33
plotter1,60,2022-01-07 23:34:34,1630.33,1164.47,465.82,0.05,43802.67,8211.20,4.40
plotter1,60,2022-01-07 23:35:34,3226.02,1776.37,1449.60,0.05,55107.67,23455.33,4.40
plotter1,60,2022-01-07 23:36:34,2397.77,690.50,1707.27,0.00,24368.67,26698.93,0.00
plotter1,60,2022-01-07 23:37:34,2749.90,545.77,2204.13,0.00,21487.20,30219.20,0.00
plotter1,60,2022-01-07 23:38:34,2381.15,214.13,2167.02,0.00,15773.73,26737.60,0.00
plotter1,60,2022-01-07 23:39:34,2353.95,292.33,2061.62,0.00,19062.13,25007.20,0.00
plotter1,60,2022-01-07 23:40:34,1914.20,187.02,1727.18,0.00,15374.60,20228.40,0.00
plotter1,60,2022-01-07 23:41:34,2023.62,227.90,1795.72,0.00,17875.73,19451.07,0.00
plotter1,60,2022-01-07 23:42:34,2141.83,444.45,1697.38,0.00,18616.80,17575.20,0.00
plotter1,60,2022-01-07 23:43:34,1914.28,278.98,1635.30,0.00,17258.30,16132.80,0.00
plotter1,60,2022-01-07 23:44:34,2070.22,211.78,1858.43,0.00,16847.12,19242.80,0.00
plotter1,60,2022-01-07 23:45:34,2178.58,235.93,1942.65,0.00,18105.13,20452.67,0.00
plotter1,60,2022-01-07 23:46:34,2072.07,229.65,1842.42,0.00,15610.27,18549.20,0.00
plotter1,60,2022-01-07 23:47:34,2258.28,197.12,2061.17,0.00,16518.53,21273.60,0.00
plotter1,60,2022-01-07 23:48:34,1985.32,184.58,1800.73,0.00,14884.67,18766.00,0.00
plotter1,60,2022-01-07 23:49:34,2293.83,236.32,2057.52,0.00,17711.60,20506.93,0.00
plotter1,60,2022-01-07 23:50:34,1825.28,230.17,1595.12,0.00,16467.93,16390.80,0.00
plotter1,60,2022-01-07 23:51:34,1988.12,225.55,1762.57,0.00,17400.27,17900.80,0.00
plotter1,60,2022-01-07 23:52:34,2423.50,198.58,2224.92,0.00,17464.00,23393.60,0.00
plotter1,60,2022-01-07 23:53:34,1972.25,191.10,1781.15,0.00,15241.73,18348.40,0.00
plotter1,60,2022-01-07 23:54:34,1751.87,334.98,1416.88,0.00,16856.27,14480.67,0.00
plotter1,60,2022-01-07 23:55:34,2363.70,680.07,1683.63,0.00,23977.40,16235.20,0.00
plotter1,60,2022-01-07 23:56:34,1228.38,367.70,860.68,0.00,18115.47,8248.00,0.00
