# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-07 23:33:34,nvme0n1,1507.73,172803.33,114887.27,150266.80,290.47,1.91,1.27,42.95
plotter1,60,2022-01-07 23:33:34,nvme1n1,1505.15,172849.27,114881.27,150265.60,291.00,1.79,1.19,42.21
plotter1,60,2022-01-07 23:33:34,nvme2n1,1512.98,172823.27,114878.27,150266.27,289.47,1.79,1.18,41.73
plotter1,60,2022-01-07 23:33:34,sda,7.07,354.33,0.00,0.00,50.14,0.04,6.13,1.59
plotter1,60,2022-01-07 23:33:34,sdb,8.37,374.73,0.00,0.00,44.79,0.03,4.09,1.50
plotter1,60,2022-01-07 23:33:34,sdc,11.07,487.67,0.00,0.00,44.07,0.04,3.83,2.02
plotter1,60,2022-01-07 23:33:34,sdd,7.27,313.73,0.00,0.00,43.17,0.03,4.19,1.43
plotter1,60,2022-01-07 23:33:34,sde,35.62,1245.67,75.73,0.00,37.10,0.02,0.44,1.41
plotter1,60,2022-01-07 23:33:34,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:33:34,sde2,35.62,1245.67,75.73,0.00,37.10,0.02,0.44,1.41
plotter1,60,2022-01-07 23:33:34,sdf,6.45,281.67,0.00,0.00,43.67,0.04,6.06,1.63
plotter1,60,2022-01-07 23:33:34,sdg,13.45,649.47,0.00,0.00,48.29,0.09,6.93,3.00
plotter1,60,2022-01-07 23:33:34,sdh,11.02,524.13,0.00,0.00,47.58,0.06,5.38,2.49
plotter1,60,2022-01-07 23:33:34,dm-0,14998.75,518475.87,344647.80,450798.67,87.60,90.11,6.01,43.94
plotter1,60,2022-01-07 23:33:34,sdi,1.05,56.07,0.00,0.00,53.40,0.01,6.06,0.44
plotter1,60,2022-01-07 23:33:34,sdj,3.80,194.87,0.00,0.00,51.28,0.02,6.35,1.18
plotter1,60,2022-01-07 23:33:34,sdo,3.47,221.53,0.00,0.00,63.90,0.02,6.99,1.55
plotter1,60,2022-01-07 23:33:34,sdq,1.78,94.40,0.00,0.00,52.93,0.02,8.57,0.74
plotter1,60,2022-01-07 23:33:34,sds,1.67,86.33,0.00,0.00,51.80,0.01,6.49,0.49
plotter1,60,2022-01-07 23:33:34,sdt,2.02,107.93,0.00,0.00,53.52,0.02,7.49,0.91
plotter1,60,2022-01-07 23:33:34,sdu,2.40,131.60,0.00,0.00,54.83,0.01,5.74,0.78
plotter1,60,2022-01-07 23:33:34,sdv,2.92,187.47,0.00,0.00,64.27,0.02,6.32,1.05
plotter1,60,2022-01-07 23:33:34,sdx,4.33,236.47,0.00,0.00,54.57,0.04,8.11,2.00
plotter1,60,2022-01-07 23:33:34,sdy,2.93,135.87,0.00,0.00,46.32,0.02,6.61,1.11
plotter1,60,2022-01-07 23:33:34,sdz,1.55,103.13,0.00,0.00,66.54,0.02,14.03,1.16
plotter1,60,2022-01-07 23:33:34,sdaa,1.58,72.60,0.00,0.00,45.85,0.01,7.00,0.66
plotter1,60,2022-01-07 23:33:34,sdac,1.48,73.67,0.00,0.00,49.66,0.01,7.40,0.62
plotter1,60,2022-01-07 23:33:34,sdab,0.62,27.00,0.00,0.00,43.78,0.00,7.22,0.29
plotter1,60,2022-01-07 23:33:34,sdad,1.73,91.67,0.00,0.00,52.88,0.01,7.95,0.93
plotter1,60,2022-01-07 23:33:34,sdae,2.83,174.67,0.00,0.00,61.65,0.02,8.75,1.65
plotter1,60,2022-01-07 23:33:34,sdaf,2.10,84.60,0.00,0.00,40.29,0.01,6.17,0.75
plotter1,60,2022-01-07 23:33:34,sdag,2.15,103.47,0.00,0.00,48.12,0.01,5.36,0.74
plotter1,60,2022-01-07 23:33:34,sdah,3.68,225.73,0.00,0.00,61.29,0.02,6.76,1.59
plotter1,60,2022-01-07 23:33:34,sdai,0.90,35.00,0.00,0.00,38.89,0.01,5.83,0.31
