# hostname,interval,timestamp,CPU,MHz
plotter1,60,2022-01-07 23:33:34,-1,3762.87
plotter1,60,2022-01-07 23:34:34,-1,3844.11
plotter1,60,2022-01-07 23:35:34,-1,4085.24
plotter1,60,2022-01-07 23:36:34,-1,3762.65
plotter1,60,2022-01-07 23:37:34,-1,3950.79
plotter1,60,2022-01-07 23:38:34,-1,3762.78
plotter1,60,2022-01-07 23:39:34,-1,4226.56
plotter1,60,2022-01-07 23:40:34,-1,3844.15
plotter1,60,2022-01-07 23:41:34,-1,3821.71
plotter1,60,2022-01-07 23:42:34,-1,4177.15
plotter1,60,2022-01-07 23:43:34,-1,3957.46
plotter1,60,2022-01-07 23:44:34,-1,3762.65
plotter1,60,2022-01-07 23:45:34,-1,3762.65
plotter1,60,2022-01-07 23:46:34,-1,3944.71
plotter1,60,2022-01-07 23:47:34,-1,3762.64
plotter1,60,2022-01-07 23:48:34,-1,4030.78
plotter1,60,2022-01-07 23:49:34,-1,3843.89
plotter1,60,2022-01-07 23:50:34,-1,4211.56
plotter1,60,2022-01-07 23:51:34,-1,3762.54
plotter1,60,2022-01-07 23:52:34,-1,3762.59
plotter1,60,2022-01-07 23:53:34,-1,3921.91
plotter1,60,2022-01-07 23:54:34,-1,4087.25
plotter1,60,2022-01-07 23:55:34,-1,3834.66
plotter1,60,2022-01-07 23:56:34,-1,3842.09
