# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-07 23:33:34,lo,7.07,7.07,3.57,3.57,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:33:34,enp9s0,503.42,951.82,95.08,1282.61,0.00,0.00,0.42,0.42
plotter1,60,2022-01-07 23:34:34,lo,11.30,11.30,84.44,84.44,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:34:34,enp9s0,775.80,1143.92,425.54,1424.75,0.00,0.00,0.42,0.47
plotter1,60,2022-01-07 23:35:34,lo,7.98,7.98,5.91,5.91,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:35:34,enp9s0,721.83,1091.55,380.73,1350.88,0.00,0.00,0.40,0.44
plotter1,60,2022-01-07 23:36:34,lo,1.77,1.77,2.40,2.40,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:36:34,enp9s0,755.60,1043.58,464.87,1275.78,0.00,0.00,0.42,0.42
plotter1,60,2022-01-07 23:37:34,lo,0.93,0.93,1.05,1.05,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:37:34,enp9s0,623.98,1037.45,300.37,1338.51,0.00,0.00,0.42,0.44
plotter1,60,2022-01-07 23:38:34,lo,1.13,1.13,1.76,1.76,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:38:34,enp9s0,573.80,936.62,236.74,1200.79,0.00,0.00,0.40,0.39
plotter1,60,2022-01-07 23:39:34,lo,7.77,7.77,96.15,96.15,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:39:34,enp9s0,810.67,1244.33,429.59,1562.23,0.00,0.00,0.42,0.51
plotter1,60,2022-01-07 23:40:34,lo,0.83,0.83,0.91,0.91,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:40:34,enp9s0,627.05,968.50,301.63,1209.87,0.00,0.00,0.42,0.40
plotter1,60,2022-01-07 23:41:34,lo,1.20,1.20,1.55,1.55,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:41:34,enp9s0,780.87,1164.70,430.00,1468.08,0.00,0.00,0.40,0.48
plotter1,60,2022-01-07 23:42:34,lo,1.37,1.37,1.94,1.94,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:42:34,enp9s0,598.33,998.58,243.38,1285.47,0.00,0.00,0.42,0.42
plotter1,60,2022-01-07 23:43:34,lo,1.30,1.30,1.79,1.79,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:43:34,enp9s0,793.07,1091.85,493.50,1333.79,0.00,0.00,0.40,0.44
plotter1,60,2022-01-07 23:44:34,lo,6.80,6.80,88.78,88.78,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:44:34,enp9s0,716.10,1124.97,357.56,1436.09,0.00,0.00,0.42,0.47
plotter1,60,2022-01-07 23:45:34,lo,1.03,1.03,1.32,1.32,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:45:34,enp9s0,732.55,1127.83,379.43,1430.07,0.00,0.00,0.40,0.47
plotter1,60,2022-01-07 23:46:34,lo,0.93,0.93,1.15,1.15,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:46:34,enp9s0,748.83,1009.05,483.15,1230.46,0.00,0.00,0.42,0.40
plotter1,60,2022-01-07 23:47:34,lo,0.97,0.97,1.19,1.19,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:47:34,enp9s0,743.80,1097.53,402.50,1376.37,0.00,0.00,0.40,0.45
plotter1,60,2022-01-07 23:48:34,lo,1.30,1.30,2.07,2.07,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:48:34,enp9s0,758.02,1036.17,465.20,1272.86,0.00,0.00,0.42,0.42
plotter1,60,2022-01-07 23:49:34,lo,5.07,5.07,61.98,61.98,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:49:34,enp9s0,737.52,1138.23,386.59,1445.50,0.00,0.00,0.42,0.47
plotter1,60,2022-01-07 23:50:34,lo,1.47,1.47,2.04,2.04,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:50:34,enp9s0,801.12,1067.63,527.14,1309.60,0.00,0.00,0.40,0.43
plotter1,60,2022-01-07 23:51:34,lo,1.17,1.17,1.68,1.68,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:51:34,enp9s0,738.98,1105.85,400.66,1399.28,0.00,0.00,0.42,0.46
plotter1,60,2022-01-07 23:52:34,lo,1.57,1.57,2.51,2.51,0.00,0.00,0.00,0.00
plotter1,60,2022-01-07 23:52:34,enp9s0,762.75,1117.55,428.57,1405.65,0.00,0.00,0.42,0.46
plotter1,60,2022-01-07 23:53:34,lo,1.20,1.20,1.77,1.77,0.00,0.00,0.00,0.00
