# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-07 23:33:34,1,859,3.57,3.37,3.89,0
plotter1,60,2022-01-07 23:34:34,2,871,3.15,3.36,3.86,0
plotter1,60,2022-01-07 23:35:34,7,869,5.14,3.96,4.04,4
plotter1,60,2022-01-07 23:36:34,1,869,5.54,4.35,4.17,0
plotter1,60,2022-01-07 23:37:34,4,869,7.64,5.13,4.45,8
plotter1,60,2022-01-07 23:38:34,1,867,6.95,5.49,4.62,0
plotter1,60,2022-01-07 23:39:34,8,868,5.46,5.30,4.61,8
plotter1,60,2022-01-07 23:40:34,1,868,6.56,5.60,4.75,0
plotter1,60,2022-01-07 23:41:34,3,867,8.83,6.36,5.07,3
plotter1,60,2022-01-07 23:42:34,8,867,8.25,6.57,5.22,0
plotter1,60,2022-01-07 23:43:34,4,867,8.46,6.83,5.38,0
plotter1,60,2022-01-07 23:44:34,1,866,8.10,6.99,5.53,0
plotter1,60,2022-01-07 23:45:34,1,866,6.69,6.86,5.58,0
plotter1,60,2022-01-07 23:46:34,4,865,7.81,7.10,5.74,8
plotter1,60,2022-01-07 23:47:34,1,866,8.04,7.20,5.85,0
plotter1,60,2022-01-07 23:48:34,5,867,10.61,8.11,6.25,0
plotter1,60,2022-01-07 23:49:34,2,868,7.81,7.75,6.24,0
plotter1,60,2022-01-07 23:50:34,8,868,6.57,7.46,6.24,0
plotter1,60,2022-01-07 23:51:34,1,868,6.37,7.31,6.27,0
plotter1,60,2022-01-07 23:52:34,1,867,5.94,7.01,6.23,0
plotter1,60,2022-01-07 23:53:34,3,868,6.17,6.80,6.20,0
plotter1,60,2022-01-07 23:54:34,6,869,8.05,7.17,6.37,8
plotter1,60,2022-01-07 23:55:34,2,869,5.74,6.67,6.24,0
plotter1,60,2022-01-07 23:56:34,2,868,4.21,6.07,6.06,0
