# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-07 23:33:34,117367204,128007248,1968884,1.50,159136,11273960,4564048,1.74,1136864,11647028,8
plotter1,60,2022-01-07 23:34:34,115365024,127373272,2601768,1.98,159956,12641392,11287480,4.29,1270392,13481880,1544
plotter1,60,2022-01-07 23:35:34,113475456,127269920,2703412,2.05,162016,14423744,11245972,4.28,1719084,14892996,22624
plotter1,60,2022-01-07 23:36:34,112500072,127161664,2812596,2.14,162404,15289212,11253516,4.28,2154504,15448704,31992
plotter1,60,2022-01-07 23:37:34,111390420,126801472,3172828,2.41,162660,16038356,11322928,4.31,2744356,15952780,54392
plotter1,60,2022-01-07 23:38:34,109700980,125658692,4315588,3.28,162892,16584824,11478732,4.37,3122440,17278068,79632
plotter1,60,2022-01-07 23:39:34,108891312,125484376,4489752,3.41,163216,17219844,11600464,4.41,3395956,17794276,51988
plotter1,60,2022-01-07 23:40:34,108279212,125375200,4599336,3.49,164128,17721928,11706872,4.45,3570416,18235992,540
plotter1,60,2022-01-07 23:41:34,107561356,125240504,4733772,3.59,165460,18303772,11834536,4.50,3731556,18805180,54732
plotter1,60,2022-01-07 23:42:34,106768264,125046736,4927756,3.74,171388,18897044,11973764,4.56,3898900,19410100,34992
plotter1,60,2022-01-07 23:43:34,106147500,124981496,4992640,3.79,179868,19442384,12062456,4.59,4022444,19909176,41492
plotter1,60,2022-01-07 23:44:34,105482304,124863732,5110360,3.88,188400,19975844,12114644,4.61,4121904,20455036,35796
plotter1,60,2022-01-07 23:45:34,104832696,124799636,5174396,3.93,188612,20555280,12191920,4.64,4247640,21001380,28076
plotter1,60,2022-01-07 23:46:34,104205840,124683840,5290448,4.02,188860,21060996,12276444,4.67,4340048,21516348,72688
plotter1,60,2022-01-07 23:47:34,103590708,124607384,5366704,4.08,189396,21593684,12359536,4.70,4400544,22083736,200
plotter1,60,2022-01-07 23:48:34,103005092,124509700,5464392,4.15,190356,22075908,12433992,4.73,4446072,22604864,28848
plotter1,60,2022-01-07 23:49:34,102262188,124341836,5632440,4.28,190616,22645164,12580812,4.79,4511588,23265888,204
plotter1,60,2022-01-07 23:50:34,101660384,124275704,5698300,4.33,190872,23176188,12632264,4.81,4572448,23796244,57496
plotter1,60,2022-01-07 23:51:34,101062464,124239956,5734240,4.35,191116,23732204,12680332,4.82,4622328,24360288,68820
plotter1,60,2022-01-07 23:52:34,100413720,124163128,5811144,4.41,191332,24298580,12733720,4.84,4662400,24951104,116
plotter1,60,2022-01-07 23:53:34,99872808,124123764,5850444,4.44,191992,24794584,12777760,4.86,4715248,25449464,84
plotter1,60,2022-01-07 23:54:34,99254716,124050476,5923864,4.50,192232,25334176,12832116,4.88,4795700,25972628,63968
plotter1,60,2022-01-07 23:55:34,98416644,123979012,5995584,4.55,192460,26093900,12884792,4.90,4953084,26637924,9140
plotter1,60,2022-01-07 23:56:34,97794088,123931532,6042820,4.59,192668,26663756,12920912,4.92,5032316,27171492,46192
