# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-07 23:33:34,-1,1.51,0.00,1.51,7.85,0.00,89.14
plotter1,60,2022-01-07 23:34:34,-1,7.15,0.00,0.30,6.45,0.00,86.09
plotter1,60,2022-01-07 23:35:34,-1,21.55,0.00,0.49,7.85,0.00,70.12
plotter1,60,2022-01-07 23:36:34,-1,23.01,0.00,0.44,6.58,0.00,69.97
plotter1,60,2022-01-07 23:37:34,-1,22.85,0.00,0.56,6.34,0.00,70.24
plotter1,60,2022-01-07 23:38:34,-1,22.00,0.00,0.55,6.24,0.00,71.21
plotter1,60,2022-01-07 23:39:34,-1,23.74,0.00,0.51,7.21,0.00,68.54
plotter1,60,2022-01-07 23:40:34,-1,25.02,0.00,0.50,7.86,0.00,66.62
plotter1,60,2022-01-07 23:41:34,-1,26.69,0.00,0.47,8.04,0.00,64.80
plotter1,60,2022-01-07 23:42:34,-1,20.35,0.00,0.41,6.75,0.00,72.49
plotter1,60,2022-01-07 23:43:34,-1,25.20,0.00,0.43,6.08,0.00,68.29
plotter1,60,2022-01-07 23:44:34,-1,22.40,0.00,0.47,7.44,0.00,69.69
plotter1,60,2022-01-07 23:45:34,-1,26.22,0.00,0.55,8.12,0.00,65.11
plotter1,60,2022-01-07 23:46:34,-1,26.04,0.00,0.46,6.22,0.00,67.27
plotter1,60,2022-01-07 23:47:34,-1,24.68,0.00,0.43,7.28,0.00,67.60
plotter1,60,2022-01-07 23:48:34,-1,25.34,0.00,0.48,5.99,0.00,68.20
plotter1,60,2022-01-07 23:49:34,-1,24.67,0.00,0.42,6.81,0.00,68.10
plotter1,60,2022-01-07 23:50:34,-1,23.01,0.00,0.42,7.78,0.00,68.79
plotter1,60,2022-01-07 23:51:34,-1,25.59,0.00,0.42,7.36,0.00,66.63
plotter1,60,2022-01-07 23:52:34,-1,26.41,0.00,0.43,6.83,0.00,66.32
plotter1,60,2022-01-07 23:53:34,-1,25.48,0.00,0.40,6.37,0.00,67.74
plotter1,60,2022-01-07 23:54:34,-1,22.63,0.00,0.38,6.59,0.00,70.40
plotter1,60,2022-01-07 23:55:34,-1,21.55,0.00,0.69,8.51,0.00,69.26
plotter1,60,2022-01-07 23:56:34,-1,18.49,0.00,0.32,6.39,0.00,74.80
