# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-01 03:18:53,227.18,214.32,12.72,0.15,21479.15,336.27,63.47
plotter1,60,2022-01-01 03:19:53,205.67,195.93,9.68,0.05,20453.35,167.87,4.40
plotter1,60,2022-01-01 03:20:53,228.32,214.35,13.92,0.05,21122.35,398.53,13.07
plotter1,60,2022-01-01 03:21:53,170.20,160.72,9.48,0.00,16802.13,146.00,0.00
plotter1,60,2022-01-01 03:22:53,195.47,186.87,8.60,0.00,19276.52,137.87,0.00
plotter1,60,2022-01-01 03:23:53,194.43,185.25,9.18,0.00,19532.93,143.60,0.00
plotter1,60,2022-01-01 03:24:53,191.67,182.17,9.50,0.00,18421.87,147.33,0.00
plotter1,60,2022-01-01 03:25:53,191.20,181.52,9.68,0.00,17590.50,371.60,0.00
plotter1,60,2022-01-01 03:26:53,171.43,167.58,3.85,0.00,17488.93,74.67,0.00
plotter1,60,2022-01-01 03:27:53,167.18,162.58,4.60,0.00,16831.07,92.40,0.00
plotter1,60,2022-01-01 03:28:53,201.67,196.83,4.83,0.00,20485.73,97.07,0.00
plotter1,60,2022-01-01 03:29:53,145.70,140.78,4.92,0.00,14378.32,97.07,0.00
plotter1,60,2022-01-01 03:30:53,201.12,192.73,8.38,0.00,18632.85,340.67,0.00
plotter1,60,2022-01-01 03:31:53,185.48,178.80,6.68,0.00,18807.18,129.07,0.00
plotter1,60,2022-01-01 03:32:53,164.35,157.97,6.38,0.00,15955.92,118.53,0.00
plotter1,60,2022-01-01 03:33:53,159.87,152.07,7.80,0.00,16202.67,134.67,0.00
plotter1,60,2022-01-01 03:34:53,199.52,191.90,7.62,0.00,19937.60,126.80,0.00
plotter1,60,2022-01-01 03:35:53,193.00,182.18,10.82,0.00,17840.37,365.60,0.00
plotter1,60,2022-01-01 03:36:53,172.70,164.72,7.98,0.00,17277.07,136.53,0.00
plotter1,60,2022-01-01 03:37:53,172.50,164.77,7.73,0.00,17181.73,133.07,0.00
plotter1,60,2022-01-01 03:38:53,164.30,156.37,7.93,0.00,16099.60,133.20,0.00
plotter1,60,2022-01-01 03:39:53,151.55,145.83,5.72,0.00,15379.07,121.07,0.00
plotter1,60,2022-01-01 03:40:53,181.57,174.13,7.43,0.00,16687.43,313.87,0.00
plotter1,60,2022-01-01 03:41:53,191.20,186.78,4.42,0.00,19443.20,87.73,0.00
plotter1,60,2022-01-01 03:42:53,173.55,168.33,5.22,0.00,17276.38,103.87,0.00
plotter1,60,2022-01-01 03:43:53,177.23,172.17,5.07,0.00,18098.53,101.33,0.00
plotter1,60,2022-01-01 03:44:53,147.60,142.15,5.45,0.00,15084.00,110.80,0.00
plotter1,60,2022-01-01 03:45:53,186.25,173.37,12.88,0.00,16334.77,629.20,0.00
plotter1,60,2022-01-01 03:46:53,169.33,162.97,6.37,0.00,16916.80,149.33,0.00
plotter1,60,2022-01-01 03:47:53,185.70,178.15,7.55,0.00,18658.00,125.87,0.00
plotter1,60,2022-01-01 03:48:53,163.68,155.60,8.08,0.00,15787.07,136.27,0.00
plotter1,60,2022-01-01 03:49:53,178.58,170.88,7.70,0.00,17910.67,131.20,0.00
plotter1,60,2022-01-01 03:50:53,188.07,176.73,11.33,0.00,16973.97,371.73,0.00
plotter1,60,2022-01-01 03:51:53,166.83,158.27,8.57,0.00,16455.07,144.93,0.00
plotter1,60,2022-01-01 03:52:53,187.03,175.67,11.37,0.00,17659.05,176.40,0.00
plotter1,60,2022-01-01 03:53:53,176.10,168.35,7.75,0.00,17459.60,140.00,0.00
plotter1,60,2022-01-01 03:54:53,171.27,166.83,4.43,0.00,16946.93,87.47,0.00
plotter1,60,2022-01-01 03:55:53,193.13,184.45,8.68,0.00,17556.50,338.80,0.00
