# hostname,interval,timestamp,CPU,MHz
plotter1,60,2022-01-01 09:45:10,-1,3844.04
plotter1,60,2022-01-01 09:46:10,-1,3681.38
plotter1,60,2022-01-01 09:47:10,-1,3762.61
plotter1,60,2022-01-01 09:48:10,-1,3843.57
plotter1,60,2022-01-01 09:49:10,-1,3762.74
plotter1,60,2022-01-01 09:50:10,-1,3762.69
plotter1,60,2022-01-01 09:51:10,-1,3762.50
plotter1,60,2022-01-01 09:52:10,-1,3843.91
plotter1,60,2022-01-01 09:53:10,-1,3762.83
plotter1,60,2022-01-01 09:54:10,-1,3762.59
plotter1,60,2022-01-01 09:55:10,-1,3843.87
plotter1,60,2022-01-01 09:56:10,-1,3762.66
plotter1,60,2022-01-01 09:57:10,-1,3762.67
plotter1,60,2022-01-01 09:58:10,-1,3762.50
plotter1,60,2022-01-01 09:59:10,-1,4331.20
plotter1,60,2022-01-01 10:00:10,-1,3762.69
plotter1,60,2022-01-01 10:01:10,-1,3762.60
plotter1,60,2022-01-01 10:02:10,-1,4412.57
plotter1,60,2022-01-01 10:03:10,-1,3843.79
plotter1,60,2022-01-01 10:04:10,-1,3762.75
plotter1,60,2022-01-01 10:05:10,-1,3925.10
plotter1,60,2022-01-01 10:06:10,-1,3762.61
plotter1,60,2022-01-01 10:07:10,-1,3843.79
plotter1,60,2022-01-01 10:08:10,-1,3762.48
plotter1,60,2022-01-01 10:09:10,-1,3762.60
plotter1,60,2022-01-01 10:10:10,-1,3762.66
plotter1,60,2022-01-01 10:11:10,-1,3762.69
plotter1,60,2022-01-01 10:12:10,-1,3843.92
plotter1,60,2022-01-01 10:13:10,-1,3762.66
plotter1,60,2022-01-01 10:14:10,-1,3762.67
plotter1,60,2022-01-01 10:15:10,-1,3762.64
plotter1,60,2022-01-01 10:16:10,-1,3762.51
plotter1,60,2022-01-01 10:17:10,-1,3762.55
plotter1,60,2022-01-01 10:18:10,-1,3925.12
plotter1,60,2022-01-01 10:19:10,-1,3762.65
plotter1,60,2022-01-01 10:20:10,-1,3762.64
plotter1,60,2022-01-01 10:21:10,-1,3762.52
plotter1,60,2022-01-01 10:22:10,-1,3762.66
plotter1,60,2022-01-01 10:23:10,-1,4401.35
