# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-01 09:45:10,85463892,86318252,2502056,1.90,165844,41981548,47441388,18.05,1150696,43023160,148
plotter1,60,2022-01-01 09:46:10,84529464,85892348,2848192,2.16,168480,42566136,53361672,20.30,1410088,43697240,544
plotter1,60,2022-01-01 09:47:10,83855592,85742560,2896464,2.20,173904,43186228,53403872,20.32,1800064,43970616,252
plotter1,60,2022-01-01 09:48:10,83142512,85570600,2962396,2.25,179292,43828028,53520764,20.36,2237020,44253012,164
plotter1,60,2022-01-01 09:49:10,82537852,85407932,3045556,2.31,186652,44342032,53611716,20.40,2598920,44500216,204
plotter1,60,2022-01-01 09:50:10,81793644,85230300,3162400,2.40,188144,44968060,53727212,20.44,2928604,44883452,272
plotter1,60,2022-01-01 09:51:10,80773312,84810036,3537312,2.69,189276,45612564,53825844,20.48,3147112,45715076,248
plotter1,60,2022-01-01 09:52:10,79957068,84500040,3807612,2.89,190000,46157524,53935724,20.52,3320360,46335400,168
plotter1,60,2022-01-01 09:53:10,78699116,83727240,4530644,3.44,190696,46691540,54052792,20.57,3533416,47404892,268
plotter1,60,2022-01-01 09:54:10,78162964,83641596,4589020,3.48,193892,47166084,54129908,20.59,3637852,47837636,264
plotter1,60,2022-01-01 09:55:10,77531156,83551580,4654476,3.53,195080,47731744,54208156,20.62,3726556,48371304,284
plotter1,60,2022-01-01 09:56:10,76990884,83511324,4669612,3.55,196404,48255516,54254308,20.64,3810784,48842676,348
plotter1,60,2022-01-01 09:57:10,76452656,83447824,4709888,3.58,198608,48751016,54315648,20.67,3881708,49314276,336
plotter1,60,2022-01-01 09:58:10,75733496,83313188,4821064,3.66,199416,49357836,54423016,20.71,3971804,49922996,364
plotter1,60,2022-01-01 09:59:10,75133512,83225800,4876308,3.70,200040,49902000,54488932,20.73,4124076,50357164,192
plotter1,60,2022-01-01 10:00:10,74576888,83189124,4892736,3.72,200764,50441772,54549792,20.75,4196600,50871012,112
plotter1,60,2022-01-01 10:01:10,73971600,83101948,4959388,3.77,201376,50980288,54605708,20.78,4247352,51404620,148
plotter1,60,2022-01-01 10:02:10,73230464,82871128,5169352,3.93,201976,51510980,54871688,20.88,4316520,52081628,168
plotter1,60,2022-01-01 10:03:10,72802396,82955688,5065636,3.85,202436,52042144,54740204,20.83,4379712,52446392,232
plotter1,60,2022-01-01 10:04:10,72257344,82907120,5093484,3.87,202884,52558624,54795252,20.85,4440120,52944208,212
plotter1,60,2022-01-01 10:05:10,71591112,82748296,5233524,3.97,203372,53084504,54939112,20.90,4507044,53521784,204
plotter1,60,2022-01-01 10:06:10,71044152,82761316,5199344,3.95,203964,53664932,54918544,20.89,4552452,54037156,212
plotter1,60,2022-01-01 10:07:10,70462160,82682516,5256952,3.99,204604,54188376,54971744,20.91,4606180,54546120,4
plotter1,60,2022-01-01 10:08:10,69799144,82614216,5305716,4.03,205100,54802028,55038292,20.94,4644500,55177208,92
plotter1,60,2022-01-01 10:09:10,69150688,82565744,5335796,4.05,205556,55420016,55082208,20.96,4678676,55791752,228
plotter1,60,2022-01-01 10:10:10,68603824,82480616,5400128,4.10,205932,55902336,55151480,20.98,4724664,56281616,144
plotter1,60,2022-01-01 10:11:10,68038756,82433124,5428368,4.12,206364,56438948,55199984,21.00,4772284,56811156,104
plotter1,60,2022-01-01 10:12:10,67460024,82302648,5536548,4.20,206804,56908796,55329644,21.05,4828768,57337700,104
plotter1,60,2022-01-01 10:13:10,66930276,82244428,5573692,4.23,207216,57400924,55376624,21.07,4867840,57820436,140
plotter1,60,2022-01-01 10:14:10,66348920,82199384,5598812,4.25,207724,57956680,55424376,21.09,4923820,58354232,36
plotter1,60,2022-01-01 10:15:10,65760432,82124376,5654196,4.29,208112,58489680,55475500,21.11,4953664,58891868,156
plotter1,60,2022-01-01 10:16:10,65240772,82096068,5661492,4.30,208528,59001680,55517912,21.12,4984088,59401856,256
plotter1,60,2022-01-01 10:17:10,64661532,82029688,5707136,4.33,208916,59535124,55566536,21.14,5029464,59924744,188
plotter1,60,2022-01-01 10:18:10,64001704,81986008,5729432,4.35,209392,60171852,55614796,21.16,5068316,60556004,176
plotter1,60,2022-01-01 10:19:10,63390644,81938280,5756580,4.37,209772,60755256,55664580,21.18,5123452,61121116,80
plotter1,60,2022-01-01 10:20:10,62784212,81851980,5824032,4.42,210184,61293940,55720820,21.20,5170860,61660636,124
plotter1,60,2022-01-01 10:21:10,62147460,81797644,5853852,4.44,210528,61900688,55780448,21.22,5302872,62187064,252
plotter1,60,2022-01-01 10:22:10,61580580,81739864,5887244,4.47,210828,62433480,55829984,21.24,5402968,62658828,180
plotter1,60,2022-01-01 10:23:10,61015744,81655076,5947284,4.52,211128,62938320,55883000,21.26,5475348,63125632,184
