# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-01 19:04:03,0,915,3.64,3.39,3.76,8
plotter1,60,2022-01-01 19:05:03,0,922,5.04,3.80,3.88,1
plotter1,60,2022-01-01 19:06:03,1,926,4.93,3.93,3.91,0
plotter1,60,2022-01-01 19:07:03,1,926,7.21,4.75,4.20,0
plotter1,60,2022-01-01 19:08:03,8,927,4.67,4.53,4.16,3
plotter1,60,2022-01-01 19:09:03,1,926,5.10,4.79,4.28,0
plotter1,60,2022-01-01 19:10:03,3,932,5.31,4.87,4.33,8
plotter1,60,2022-01-01 19:11:03,2,923,5.91,5.11,4.45,0
plotter1,60,2022-01-01 19:12:03,1,923,4.52,4.86,4.40,0
plotter1,60,2022-01-01 19:13:03,1,922,5.48,5.16,4.54,0
plotter1,60,2022-01-01 19:14:03,5,926,5.01,5.13,4.57,6
plotter1,60,2022-01-01 19:15:03,1,930,4.20,4.83,4.50,2
plotter1,60,2022-01-01 19:16:03,1,924,3.69,4.61,4.44,0
plotter1,60,2022-01-01 19:17:03,1,923,4.75,4.86,4.55,0
plotter1,60,2022-01-01 19:18:03,2,924,5.79,5.02,4.62,0
plotter1,60,2022-01-01 19:19:03,1,924,4.58,4.82,4.57,0
plotter1,60,2022-01-01 19:20:03,4,929,4.28,4.66,4.53,1
plotter1,60,2022-01-01 19:21:03,1,923,5.81,5.10,4.69,8
plotter1,60,2022-01-01 19:22:03,1,925,6.43,5.37,4.81,0
plotter1,60,2022-01-01 19:23:03,4,924,3.99,4.91,4.69,8
plotter1,60,2022-01-01 19:24:03,1,925,3.20,4.52,4.56,0
plotter1,60,2022-01-01 19:25:03,6,930,3.83,4.54,4.57,9
plotter1,60,2022-01-01 19:26:03,1,924,4.23,4.54,4.57,0
plotter1,60,2022-01-01 19:27:03,1,924,4.74,4.50,4.55,0
plotter1,60,2022-01-01 19:28:03,0,923,3.30,4.19,4.44,0
plotter1,60,2022-01-01 19:29:03,1,924,4.32,4.34,4.48,6
plotter1,60,2022-01-01 19:30:03,1,932,4.26,4.32,4.46,9
plotter1,60,2022-01-01 19:31:03,2,925,4.26,4.29,4.44,0
plotter1,60,2022-01-01 19:32:03,1,927,5.35,4.57,4.52,0
plotter1,60,2022-01-01 19:33:03,1,926,3.23,4.10,4.36,8
plotter1,60,2022-01-01 19:34:03,1,926,4.16,4.17,4.37,0
plotter1,60,2022-01-01 19:35:03,3,930,5.99,4.71,4.54,0
plotter1,60,2022-01-01 19:36:03,1,924,5.61,4.86,4.61,0
plotter1,60,2022-01-01 19:37:03,1,923,4.42,4.73,4.58,0
plotter1,60,2022-01-01 19:38:03,1,924,5.02,4.78,4.60,3
plotter1,60,2022-01-01 19:39:03,1,925,9.30,5.73,4.92,6
plotter1,60,2022-01-01 19:40:03,0,929,5.94,5.45,4.88,1
plotter1,60,2022-01-01 19:41:03,1,923,3.52,4.87,4.71,0
plotter1,60,2022-01-01 19:42:03,1,924,3.85,4.77,4.69,0
plotter1,60,2022-01-01 19:43:03,1,923,3.82,4.57,4.63,0
plotter1,60,2022-01-01 19:44:03,0,923,4.00,4.54,4.62,0
plotter1,60,2022-01-01 19:45:03,1,932,5.05,4.63,4.64,1
plotter1,60,2022-01-01 19:46:03,1,923,4.89,4.63,4.63,0
plotter1,60,2022-01-01 19:47:03,1,924,4.67,4.61,4.63,0
plotter1,60,2022-01-01 19:48:03,0,925,3.31,4.29,4.52,0
plotter1,60,2022-01-01 19:49:03,1,925,4.73,4.47,4.56,8
plotter1,60,2022-01-01 19:50:03,6,932,3.79,4.28,4.49,9
plotter1,60,2022-01-01 19:51:03,1,925,4.82,4.52,4.56,0
