# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-01-01 20:43:50,nvme1n1,0.57,0.00,13.47,11.87,44.71,0.01,7.53,0.43
plotter1,60,2022-01-01 20:43:50,nvme0n1,1.48,0.00,19.27,11.73,20.90,0.01,3.76,0.51
plotter1,60,2022-01-01 20:43:50,nvme2n1,0.62,0.00,14.00,12.73,43.35,0.01,9.05,0.51
plotter1,60,2022-01-01 20:43:50,sda,9.48,435.13,0.00,0.00,45.88,0.05,5.45,1.98
plotter1,60,2022-01-01 20:43:50,sdb,6.43,327.53,0.00,0.00,50.91,0.04,6.67,1.73
plotter1,60,2022-01-01 20:43:50,sdc,12.17,583.80,0.00,0.00,47.98,0.06,4.65,2.48
plotter1,60,2022-01-01 20:43:50,sdd,7.83,395.33,0.00,0.00,50.47,0.06,7.66,2.41
plotter1,60,2022-01-01 20:43:50,sde,39.53,1317.13,117.47,0.00,36.29,0.02,0.63,1.47
plotter1,60,2022-01-01 20:43:50,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-01 20:43:50,sde2,39.53,1317.13,117.47,0.00,36.29,0.02,0.63,1.47
plotter1,60,2022-01-01 20:43:50,sdf,8.18,401.67,0.00,0.00,49.08,0.03,4.22,1.70
plotter1,60,2022-01-01 20:43:50,sdg,5.85,275.33,0.00,0.00,47.07,0.05,7.89,1.53
plotter1,60,2022-01-01 20:43:50,sdh,12.43,748.27,0.40,0.00,60.21,0.06,4.66,3.50
plotter1,60,2022-01-01 20:43:50,sdi,3.37,200.40,0.00,0.00,59.52,0.01,3.76,0.83
plotter1,60,2022-01-01 20:43:50,dm-0,3.55,0.00,47.33,36.33,23.57,0.01,4.04,0.55
plotter1,60,2022-01-01 20:43:50,sdj,7.02,369.07,0.00,0.00,52.60,0.03,4.88,1.84
plotter1,60,2022-01-01 20:43:50,sdk,9.05,452.33,0.00,0.00,49.98,0.06,6.59,3.09
plotter1,60,2022-01-01 20:43:50,sdl,5.57,303.40,0.00,0.00,54.50,0.03,5.40,1.43
plotter1,60,2022-01-01 20:43:50,sdm,2.12,108.27,0.00,0.00,51.15,0.02,7.21,1.04
plotter1,60,2022-01-01 20:43:50,sdo,2.13,120.33,0.00,0.00,56.41,0.05,22.79,1.18
plotter1,60,2022-01-01 20:43:50,sdp,3.10,159.80,0.00,0.00,51.55,0.02,5.87,0.93
plotter1,60,2022-01-01 20:43:50,sdq,2.68,118.80,0.00,0.00,44.27,0.02,7.72,1.02
plotter1,60,2022-01-01 20:43:50,sdr,2.02,78.80,0.27,0.00,39.21,0.02,9.83,0.88
plotter1,60,2022-01-01 20:43:50,sds,1.92,100.33,0.00,0.00,52.35,0.02,8.97,1.02
plotter1,60,2022-01-01 20:43:50,sdt,1.77,104.00,0.00,0.00,58.87,0.02,12.11,0.86
plotter1,60,2022-01-01 20:43:50,sdu,6.53,380.07,0.00,0.00,58.17,0.05,7.78,2.85
plotter1,60,2022-01-01 20:43:50,sdv,5.45,300.00,0.00,0.00,55.05,0.08,14.50,2.90
plotter1,60,2022-01-01 20:43:50,sdx,2.45,140.60,0.00,0.00,57.39,0.02,9.25,1.08
plotter1,60,2022-01-01 20:43:50,sdy,0.90,42.87,0.00,0.00,47.63,0.01,9.17,0.44
