# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-01 20:43:50,-1,2.14,0.00,1.12,6.74,0.00,90.00
plotter1,60,2022-01-01 20:44:50,-1,1.71,0.00,0.28,7.60,0.00,90.40
plotter1,60,2022-01-01 20:45:50,-1,5.14,0.00,0.29,8.96,0.00,85.61
plotter1,60,2022-01-01 20:46:50,-1,12.25,0.00,0.38,6.96,0.00,80.41
plotter1,60,2022-01-01 20:47:50,-1,15.19,0.00,0.43,6.66,0.00,77.72
plotter1,60,2022-01-01 20:48:50,-1,12.81,0.00,0.36,7.10,0.00,79.74
plotter1,60,2022-01-01 20:49:50,-1,8.70,0.00,0.38,7.23,0.00,83.69
plotter1,60,2022-01-01 20:50:50,-1,9.87,0.00,0.46,8.63,0.00,81.04
plotter1,60,2022-01-01 20:51:50,-1,9.29,0.00,0.38,7.03,0.00,83.31
plotter1,60,2022-01-01 20:52:50,-1,11.72,0.00,0.39,7.43,0.00,80.46
plotter1,60,2022-01-01 20:53:50,-1,9.90,0.00,0.43,8.02,0.00,81.66
plotter1,60,2022-01-01 20:54:50,-1,9.85,0.00,0.38,7.80,0.00,81.97
plotter1,60,2022-01-01 20:55:50,-1,9.60,0.00,0.35,7.63,0.00,82.42
plotter1,60,2022-01-01 20:56:50,-1,9.72,0.00,0.33,6.47,0.00,83.47
plotter1,60,2022-01-01 20:57:50,-1,9.11,0.00,0.34,7.07,0.00,83.48
plotter1,60,2022-01-01 20:58:50,-1,11.92,0.00,0.57,6.90,0.00,80.61
plotter1,60,2022-01-01 20:59:50,-1,14.16,0.00,0.38,7.96,0.00,77.50
plotter1,60,2022-01-01 21:00:50,-1,9.30,0.00,0.36,7.84,0.00,82.50
plotter1,60,2022-01-01 21:01:50,-1,9.45,0.00,0.36,7.99,0.00,82.21
plotter1,60,2022-01-01 21:02:50,-1,9.48,0.00,0.43,8.41,0.00,81.68
plotter1,60,2022-01-01 21:03:50,-1,7.34,0.00,0.33,7.28,0.00,85.05
plotter1,60,2022-01-01 21:04:50,-1,8.62,0.00,0.33,7.45,0.00,83.60
plotter1,60,2022-01-01 21:05:50,-1,9.30,0.00,0.39,10.77,0.00,79.54
plotter1,60,2022-01-01 21:06:50,-1,8.43,0.00,0.33,6.09,0.00,85.15
plotter1,60,2022-01-01 21:07:50,-1,5.18,0.00,0.27,7.43,0.00,87.12
plotter1,60,2022-01-01 21:08:50,-1,2.39,0.00,0.28,7.61,0.00,89.72
plotter1,60,2022-01-01 21:09:50,-1,9.13,0.00,0.37,7.73,0.00,82.77
plotter1,60,2022-01-01 21:10:50,-1,9.99,0.00,0.36,7.16,0.00,82.49
plotter1,60,2022-01-01 21:11:50,-1,9.01,0.00,0.32,7.65,0.00,83.02
plotter1,60,2022-01-01 21:12:50,-1,9.28,0.00,0.33,6.74,0.00,83.65
plotter1,60,2022-01-01 21:13:50,-1,9.15,0.00,0.34,7.60,0.00,82.92
plotter1,60,2022-01-01 21:14:50,-1,9.80,0.00,0.31,7.53,0.00,82.35
plotter1,60,2022-01-01 21:15:50,-1,9.76,0.00,0.32,7.13,0.00,82.78
plotter1,60,2022-01-01 21:16:50,-1,9.28,0.00,0.32,7.23,0.00,83.17
plotter1,60,2022-01-01 21:17:50,-1,9.05,0.00,0.29,7.50,0.00,83.16
plotter1,60,2022-01-01 21:18:50,-1,9.73,0.00,0.33,6.07,0.00,83.87
plotter1,60,2022-01-01 21:19:50,-1,9.93,0.00,0.30,6.69,0.00,83.08
plotter1,60,2022-01-01 21:20:50,-1,9.81,0.00,0.35,8.40,0.00,81.44
plotter1,60,2022-01-01 21:21:50,-1,7.27,0.00,0.33,6.83,0.00,85.57
plotter1,60,2022-01-01 21:22:50,-1,8.51,0.00,0.51,8.11,0.00,82.87
plotter1,60,2022-01-01 21:23:50,-1,9.86,0.00,0.34,5.95,0.00,83.85
plotter1,60,2022-01-01 21:24:50,-1,10.32,0.00,0.34,6.94,0.00,82.40
plotter1,60,2022-01-01 21:25:50,-1,14.08,0.00,0.39,7.78,0.00,77.76
