# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-02 00:24:15,lo,327.05,327.05,3318.11,3318.11,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:24:15,enp6s0,2289.08,2578.77,1860.29,3358.42,0.00,0.00,0.42,1.10
plotter1,60,2022-01-02 00:25:15,lo,513.10,513.10,2948.55,2948.55,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:25:15,enp6s0,2337.33,2472.35,1830.96,3088.69,0.00,0.00,0.42,1.01
plotter1,60,2022-01-02 00:26:15,lo,13.08,13.08,8.43,8.43,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:26:15,enp6s0,600.20,1038.90,251.91,1328.60,0.00,0.00,0.38,0.44
plotter1,60,2022-01-02 00:27:15,lo,79.45,79.45,32.82,32.82,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:27:15,enp6s0,772.15,1342.38,297.59,1730.16,0.00,0.00,0.42,0.57
plotter1,60,2022-01-02 00:28:15,lo,103.20,103.20,35.90,35.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:28:15,enp6s0,673.50,1075.12,284.54,1359.53,0.00,0.00,0.42,0.45
plotter1,60,2022-01-02 00:29:15,lo,20.63,20.63,243.87,243.87,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:29:15,enp6s0,771.63,1218.45,366.99,1575.37,0.00,0.00,0.42,0.52
plotter1,60,2022-01-02 00:30:15,lo,6.18,6.18,4.56,4.56,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:30:15,enp6s0,695.02,1242.72,233.32,1625.59,0.00,0.00,0.42,0.53
plotter1,60,2022-01-02 00:31:15,lo,7.18,7.18,5.20,5.20,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:31:15,enp6s0,659.78,1132.83,279.94,1448.94,0.00,0.00,0.40,0.47
plotter1,60,2022-01-02 00:32:15,lo,18.63,18.63,8.43,8.43,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:32:15,enp6s0,599.08,1158.13,150.54,1536.96,0.00,0.00,0.43,0.50
plotter1,60,2022-01-02 00:33:15,lo,15.93,15.93,8.16,8.16,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 00:33:15,enp6s0,733.32,1146.10,362.33,1413.53,0.00,0.00,0.40,0.46
