# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 00:24:15,-1,1.69,0.00,1.17,8.74,0.00,88.40
plotter1,60,2022-01-02 00:25:15,-1,9.31,0.00,0.44,8.80,0.00,81.45
plotter1,60,2022-01-02 00:26:15,-1,12.00,0.00,0.36,7.42,0.00,80.23
plotter1,60,2022-01-02 00:27:15,-1,8.75,0.00,0.32,9.53,0.00,81.40
plotter1,60,2022-01-02 00:28:15,-1,11.36,0.00,0.37,7.13,0.00,81.14
plotter1,60,2022-01-02 00:29:15,-1,9.58,0.00,0.39,7.53,0.00,82.49
plotter1,60,2022-01-02 00:30:15,-1,10.09,0.00,0.52,8.25,0.00,81.13
plotter1,60,2022-01-02 00:31:15,-1,9.48,0.00,0.42,9.70,0.00,80.40
plotter1,60,2022-01-02 00:32:15,-1,10.31,0.00,0.42,8.79,0.00,80.48
plotter1,60,2022-01-02 00:33:15,-1,11.31,0.00,0.39,7.48,0.00,80.82
plotter1,60,2022-01-02 00:34:15,-1,9.24,0.00,0.37,8.77,0.00,81.62
plotter1,60,2022-01-02 00:35:15,-1,10.08,0.00,0.41,8.57,0.00,80.94
plotter1,60,2022-01-02 00:36:15,-1,9.36,0.00,0.33,7.87,0.00,82.44
plotter1,60,2022-01-02 00:37:15,-1,10.35,0.00,0.40,8.39,0.00,80.87
plotter1,60,2022-01-02 00:38:15,-1,9.40,0.00,0.36,7.78,0.00,82.46
plotter1,60,2022-01-02 00:39:15,-1,12.65,0.00,0.35,7.81,0.00,79.18
plotter1,60,2022-01-02 00:40:15,-1,7.63,0.00,0.35,8.62,0.00,83.40
plotter1,60,2022-01-02 00:41:15,-1,9.48,0.00,0.36,7.72,0.00,82.45
plotter1,60,2022-01-02 00:42:15,-1,9.74,0.00,0.41,8.50,0.00,81.35
plotter1,60,2022-01-02 00:43:15,-1,9.55,0.00,0.39,8.15,0.00,81.91
plotter1,60,2022-01-02 00:44:15,-1,9.07,0.00,0.32,6.53,0.00,84.08
plotter1,60,2022-01-02 00:45:15,-1,9.28,0.00,0.37,7.77,0.00,82.58
plotter1,60,2022-01-02 00:46:15,-1,9.11,0.00,0.34,7.71,0.00,82.84
plotter1,60,2022-01-02 00:47:15,-1,9.08,0.00,0.31,7.63,0.00,82.98
plotter1,60,2022-01-02 00:48:15,-1,8.90,0.00,0.34,7.45,0.00,83.31
plotter1,60,2022-01-02 00:49:15,-1,9.11,0.00,0.41,8.02,0.00,82.46
plotter1,60,2022-01-02 00:50:15,-1,9.79,0.00,0.42,9.23,0.00,80.56
plotter1,60,2022-01-02 00:51:15,-1,8.46,0.00,0.34,6.94,0.00,84.26
plotter1,60,2022-01-02 00:52:15,-1,9.42,0.00,0.32,8.15,0.00,82.10
plotter1,60,2022-01-02 00:53:15,-1,9.93,0.00,0.45,7.22,0.00,82.40
plotter1,60,2022-01-02 00:54:15,-1,9.14,0.00,0.39,7.26,0.00,83.21
plotter1,60,2022-01-02 00:55:15,-1,9.63,0.00,0.37,8.59,0.00,81.41
plotter1,60,2022-01-02 00:56:15,-1,9.15,0.00,0.29,7.07,0.00,83.49
plotter1,60,2022-01-02 00:57:15,-1,9.29,0.00,0.31,7.62,0.00,82.78
plotter1,60,2022-01-02 00:58:15,-1,9.45,0.00,0.29,6.96,0.00,83.30
plotter1,60,2022-01-02 00:59:15,-1,9.29,0.00,0.32,8.09,0.00,82.30
plotter1,60,2022-01-02 01:00:15,-1,9.81,0.00,0.34,8.49,0.00,81.36
plotter1,60,2022-01-02 01:01:15,-1,9.00,0.00,0.39,9.94,0.00,80.68
plotter1,60,2022-01-02 01:02:15,-1,9.98,0.00,0.34,8.28,0.00,81.40
plotter1,60,2022-01-02 01:03:15,-1,10.76,0.00,0.31,7.82,0.00,81.12
plotter1,60,2022-01-02 01:04:15,-1,12.89,0.00,0.37,8.42,0.00,78.32
