# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-02 07:57:33,1,907,3.92,4.98,5.01,0
plotter1,60,2022-01-02 07:58:33,1,913,5.55,5.20,5.08,0
plotter1,60,2022-01-02 07:59:33,4,912,5.62,5.38,5.16,0
plotter1,60,2022-01-02 08:00:33,1,912,4.74,5.20,5.11,0
plotter1,60,2022-01-02 08:01:33,1,912,4.42,5.00,5.04,0
plotter1,60,2022-01-02 08:02:33,2,910,4.15,4.91,5.02,0
plotter1,60,2022-01-02 08:03:33,1,912,5.71,5.17,5.09,0
plotter1,60,2022-01-02 08:04:33,2,911,6.75,5.56,5.23,0
plotter1,60,2022-01-02 08:05:33,0,912,5.59,5.48,5.23,0
plotter1,60,2022-01-02 08:06:33,1,912,5.45,5.48,5.25,0
plotter1,60,2022-01-02 08:07:33,2,912,4.47,5.26,5.19,0
plotter1,60,2022-01-02 08:08:33,1,913,5.15,5.27,5.19,0
plotter1,60,2022-01-02 08:09:33,1,912,5.05,5.16,5.15,8
plotter1,60,2022-01-02 08:10:33,2,916,6.33,5.41,5.24,0
plotter1,60,2022-01-02 08:11:33,1,912,4.95,5.17,5.16,8
plotter1,60,2022-01-02 08:12:33,1,911,5.39,5.20,5.17,0
plotter1,60,2022-01-02 08:13:33,1,911,6.13,5.37,5.22,0
plotter1,60,2022-01-02 08:14:33,1,912,4.66,5.06,5.12,0
plotter1,60,2022-01-02 08:15:33,1,912,6.27,5.46,5.26,0
plotter1,60,2022-01-02 08:16:33,1,913,5.20,5.28,5.20,6
plotter1,60,2022-01-02 08:17:33,1,913,3.63,4.84,5.06,0
plotter1,60,2022-01-02 08:18:33,1,913,4.80,4.93,5.08,0
plotter1,60,2022-01-02 08:19:33,1,914,4.00,4.71,4.99,0
plotter1,60,2022-01-02 08:20:33,1,912,4.26,4.76,5.00,0
plotter1,60,2022-01-02 08:21:33,1,910,4.93,4.79,4.99,8
plotter1,60,2022-01-02 08:22:33,3,911,4.84,4.80,4.98,6
plotter1,60,2022-01-02 08:23:33,1,911,3.74,4.46,4.85,0
plotter1,60,2022-01-02 08:24:33,2,911,4.23,4.52,4.84,0
plotter1,60,2022-01-02 08:25:33,1,912,5.51,4.78,4.91,1
plotter1,60,2022-01-02 08:26:33,1,912,4.90,4.72,4.88,0
plotter1,60,2022-01-02 08:27:33,1,913,4.35,4.55,4.81,2
plotter1,60,2022-01-02 08:28:33,1,913,5.06,4.74,4.86,0
plotter1,60,2022-01-02 08:29:33,3,915,4.29,4.68,4.83,0
plotter1,60,2022-01-02 08:30:33,2,914,3.98,4.53,4.77,0
plotter1,60,2022-01-02 08:31:33,1,913,3.80,4.35,4.69,0
plotter1,60,2022-01-02 08:32:33,8,911,3.58,4.16,4.60,0
plotter1,60,2022-01-02 08:33:33,2,911,3.27,3.92,4.49,0
plotter1,60,2022-01-02 08:34:33,3,911,5.89,4.50,4.65,0
