# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-02 04:04:52,85571304,86555032,2263924,1.72,164432,42127316,47195428,17.96,1081460,43049264,212
plotter1,60,2022-01-02 04:05:52,84915812,86507096,2311688,1.76,165824,42733532,47218888,17.97,1117944,43651476,0
plotter1,60,2022-01-02 04:06:52,82490476,84656936,4084188,3.10,167752,43384272,53121304,20.21,1420492,45748080,388
plotter1,60,2022-01-02 04:07:52,81644856,84468148,4170632,3.17,175708,44135324,53184416,20.23,1835512,46163796,152
plotter1,60,2022-01-02 04:08:52,80898712,84306360,4211772,3.20,181484,44834180,53305940,20.28,2307864,46468420,136
plotter1,60,2022-01-02 04:09:52,79474284,83491208,4951072,3.76,182840,45517892,54365748,20.68,2702656,47477848,280
plotter1,60,2022-01-02 04:10:52,79359716,83933352,4458336,3.39,183044,46125032,53559028,20.38,2962664,47314288,0
plotter1,60,2022-01-02 04:11:52,78721944,83837356,4510104,3.42,185000,46708940,53664080,20.42,3164228,47771484,224
plotter1,60,2022-01-02 04:12:52,78082300,83659204,4636160,3.52,187036,47220368,53792592,20.47,3381320,48163688,36
plotter1,60,2022-01-02 04:13:52,77463400,83581004,4681812,3.55,187800,47792800,53878908,20.50,3522296,48661568,48
plotter1,60,2022-01-02 04:14:52,76847820,83500964,4735592,3.60,189064,48353168,53954444,20.53,3621020,49182400,116
plotter1,60,2022-01-02 04:15:52,76323828,83416144,4795128,3.64,189836,48817184,54022400,20.55,3708740,49610132,52
plotter1,60,2022-01-02 04:16:52,75605056,83343524,4843740,3.68,190152,49487120,54116444,20.59,3791480,50272448,68
plotter1,60,2022-01-02 04:17:52,75020380,83296256,4868028,3.70,190392,50047284,54143060,20.60,3869392,50770332,124
plotter1,60,2022-01-02 04:18:52,74369548,83152356,4983188,3.78,190648,50582584,54252236,20.64,3990748,51273788,208
plotter1,60,2022-01-02 04:19:52,73692344,83083652,5025352,3.82,190904,51217000,54318056,20.67,4114664,51832856,124
plotter1,60,2022-01-02 04:20:52,72917184,82942884,5144944,3.91,191156,51872632,54505336,20.74,4173036,52565236,60
plotter1,60,2022-01-02 04:21:52,72338592,82951504,5115744,3.88,191420,52480056,54436864,20.71,4235184,53069340,144
plotter1,60,2022-01-02 04:22:52,71695948,82883452,5163436,3.92,191620,53074840,54509428,20.74,4301772,53658520,112
plotter1,60,2022-01-02 04:23:52,71061708,82819412,5208108,3.95,191860,53664360,54568184,20.76,4356376,54240768,152
plotter1,60,2022-01-02 04:24:52,70450392,82738612,5268992,4.00,192128,54214576,54624124,20.78,4421552,54766776,132
plotter1,60,2022-01-02 04:25:52,69930576,82680972,5305496,4.03,192324,54698028,54686056,20.81,4484344,55235352,8
plotter1,60,2022-01-02 04:26:52,69252844,82615668,5351072,4.06,192596,55329668,54737916,20.83,4530356,55859956,0
plotter1,60,2022-01-02 04:27:52,68455360,82411068,5534204,4.20,192796,55943920,55066220,20.95,4584852,56612920,4
plotter1,60,2022-01-02 04:28:52,68006336,82493472,5433284,4.13,193028,56493508,54859308,20.87,4620452,57032028,0
plotter1,60,2022-01-02 04:29:52,67387564,82442036,5465232,4.15,193244,57080084,54906800,20.89,4670076,57607848,8
plotter1,60,2022-01-02 04:30:52,66755152,82337008,5549088,4.21,193452,57628216,54973020,20.92,4704852,58173592,4
plotter1,60,2022-01-02 04:31:52,66042364,82193040,5671980,4.31,193696,58217836,55102092,20.96,4758988,58824156,0
plotter1,60,2022-01-02 04:32:52,65508536,82157648,5685320,4.32,193992,58737992,55154432,20.98,4810956,59328696,4
plotter1,60,2022-01-02 04:33:52,64972548,82103776,5719396,4.34,194176,59239824,55202568,21.00,4851944,59821672,40
plotter1,60,2022-01-02 04:34:52,64343552,82032720,5770320,4.38,194588,59817400,55250060,21.02,4904164,60380592,4
plotter1,60,2022-01-02 04:35:52,63744084,82000860,5781392,4.39,194808,60405776,55296528,21.04,4933044,60979776,0
plotter1,60,2022-01-02 04:36:52,62836156,81657656,6104308,4.64,195044,60990744,55668144,21.18,4977348,61843220,132
plotter1,60,2022-01-02 04:37:52,62528212,81866572,5873472,4.46,195252,61528896,55393304,21.08,5010920,62108652,184
plotter1,60,2022-01-02 04:38:52,61863532,81839800,5879776,4.46,195452,62187084,55440416,21.09,5070020,62739472,120
plotter1,60,2022-01-02 04:39:52,61269940,81761424,5938552,4.51,195664,62721544,55491492,21.11,5109792,63273796,140
plotter1,60,2022-01-02 04:40:52,60640248,81695596,5983216,4.54,195872,63306620,55550428,21.14,5206868,63808668,92
plotter1,60,2022-01-02 04:41:52,60066232,81598180,6052940,4.60,196100,63810708,55617268,21.16,5326644,64239552,116
plotter1,60,2022-01-02 04:42:52,59431552,81517132,6106740,4.64,196296,64391272,55681028,21.18,5423324,64768348,168
