# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-02 07:18:31,205.97,197.20,8.62,0.15,20133.60,260.53,77.20
plotter1,60,2022-01-02 07:19:31,177.10,172.90,4.15,0.05,18093.87,89.60,4.40
plotter1,60,2022-01-02 07:20:31,190.77,183.58,7.13,0.05,17708.37,302.80,4.40
plotter1,60,2022-01-02 07:21:31,193.33,187.28,6.05,0.00,19648.52,105.47,0.00
plotter1,60,2022-01-02 07:22:31,207.63,202.08,5.55,0.00,21212.28,105.73,0.00
plotter1,60,2022-01-02 07:23:31,217.28,212.87,4.42,0.00,21580.47,81.73,0.00
plotter1,60,2022-01-02 07:24:31,203.42,198.98,4.43,0.00,20490.65,80.93,0.00
plotter1,60,2022-01-02 07:25:31,193.83,186.55,7.28,0.00,18179.47,300.93,0.00
plotter1,60,2022-01-02 07:26:31,194.48,188.52,5.97,0.00,19497.47,101.07,0.00
plotter1,60,2022-01-02 07:27:31,206.67,201.30,5.37,0.00,20820.93,94.53,0.00
plotter1,60,2022-01-02 07:28:31,214.28,209.38,4.90,0.00,21732.67,82.67,0.00
plotter1,60,2022-01-02 07:29:31,188.02,182.70,5.32,0.00,19154.00,89.20,0.00
plotter1,60,2022-01-02 07:30:31,197.42,189.63,7.78,0.00,18107.70,305.07,0.00
plotter1,60,2022-01-02 07:31:31,172.68,166.27,6.42,0.00,17307.20,103.33,0.00
plotter1,60,2022-01-02 07:32:31,175.42,169.35,6.07,0.00,17085.18,100.00,0.00
plotter1,60,2022-01-02 07:33:31,198.78,193.18,5.60,0.00,19803.20,100.53,0.00
plotter1,60,2022-01-02 07:34:31,159.92,157.72,2.20,0.00,16260.53,39.47,0.00
plotter1,60,2022-01-02 07:35:31,201.95,197.08,4.87,0.00,18993.43,265.20,0.00
plotter1,60,2022-01-02 07:36:31,212.23,208.53,3.70,0.00,21781.73,64.13,0.00
plotter1,60,2022-01-02 07:37:31,174.73,171.70,3.03,0.00,17347.07,57.20,0.00
plotter1,60,2022-01-02 07:38:31,191.30,187.92,3.38,0.00,19233.07,60.67,0.00
plotter1,60,2022-01-02 07:39:31,169.65,166.65,3.00,0.00,17119.33,58.00,0.00
plotter1,60,2022-01-02 07:40:31,198.83,193.13,5.70,0.00,18709.83,277.87,0.00
plotter1,60,2022-01-02 07:41:31,203.95,199.98,3.97,0.00,21026.53,70.80,0.00
plotter1,60,2022-01-02 07:42:31,170.65,166.88,3.77,0.00,16796.07,65.47,0.00
plotter1,60,2022-01-02 07:43:31,182.48,178.88,3.60,0.00,18332.80,76.53,0.00
plotter1,60,2022-01-02 07:44:31,184.40,177.75,6.65,0.00,18659.20,367.47,0.00
plotter1,60,2022-01-02 07:45:31,203.17,195.68,7.48,0.00,18476.50,341.60,0.00
plotter1,60,2022-01-02 07:46:31,154.33,147.85,6.48,0.00,15209.33,114.13,0.00
plotter1,60,2022-01-02 07:47:31,187.92,182.82,5.10,0.00,18826.00,90.80,0.00
plotter1,60,2022-01-02 07:48:31,192.90,188.42,4.48,0.00,19262.66,82.25,0.00
plotter1,60,2022-01-02 07:49:31,182.62,177.75,4.87,0.00,18449.73,85.87,0.00
plotter1,60,2022-01-02 07:50:31,196.85,189.12,7.73,0.00,18083.17,310.40,0.00
plotter1,60,2022-01-02 07:51:31,191.78,185.02,6.77,0.00,19386.80,114.80,0.00
plotter1,60,2022-01-02 07:52:31,172.40,167.33,5.07,0.00,16606.33,89.60,0.00
plotter1,60,2022-01-02 07:53:31,200.13,195.33,4.80,0.00,19723.87,96.00,0.00
plotter1,60,2022-01-02 07:54:31,162.80,160.18,2.62,0.00,16494.13,43.73,0.00
plotter1,60,2022-01-02 07:55:31,185.10,180.08,5.02,0.00,17472.77,264.67,0.00
plotter1,60,2022-01-02 07:56:31,168.10,162.50,5.55,0.05,16775.07,88.67,4.93
