HOSTNAME,SCENARIO,TESTCASE,START_RUN,LOG_INITIATE_SYNC,LOG_START_SYNC,LOG_DUST_START_SYNC,LOG_DUST_STOP_SYNC,SQLITE_DB_SIZE_BYTES,DESCRIPTION
plotter1,DUSTSTORM1,AUTOTEST40,2022-01-02T01:28:22,2022-01-02T01:28:32,2022-01-02T01:29:30,2022-01-02T01:29:57,2022-01-02T02:06:28,22397583360,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, cache_spill=false, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST40,2022-01-02T02:06:44,2022-01-02T02:06:55,2022-01-02T02:07:44,2022-01-02T02:08:06,2022-01-02T02:44:35,22398107648,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, cache_spill=false, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST40,2022-01-02T02:44:53,2022-01-02T02:45:03,2022-01-02T02:46:21,2022-01-02T02:46:43,2022-01-02T03:23:05,22397583360,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, cache_spill=false, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST40,2022-01-02T03:23:20,2022-01-02T03:23:30,2022-01-02T03:26:31,2022-01-02T03:26:51,2022-01-02T04:03:38,22397583360,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, cache_spill=false, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST38,2022-01-02T04:03:52,2022-01-02T04:04:02,2022-01-02T04:06:26,2022-01-02T04:06:51,2022-01-02T04:43:24,22398107648,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST38,2022-01-02T04:43:39,2022-01-02T04:43:49,2022-01-02T04:44:57,2022-01-02T04:45:18,2022-01-02T05:21:56,22398107648,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST38,2022-01-02T05:22:12,2022-01-02T05:22:22,2022-01-02T05:23:20,2022-01-02T05:23:43,2022-01-02T06:00:27,22398107648,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST39,2022-01-02T06:00:41,2022-01-02T06:00:51,2022-01-02T06:01:44,2022-01-02T06:02:07,2022-01-02T06:38:39,22398107648,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST39,2022-01-02T06:38:54,2022-01-02T06:39:04,2022-01-02T06:40:17,2022-01-02T06:40:49,2022-01-02T07:17:16,22397583360,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST39,2022-01-02T07:17:30,2022-01-02T07:17:40,2022-01-02T07:18:47,2022-01-02T07:19:16,2022-01-02T07:56:15,22398631936,"Only full blocks height + peak index, locking_mode=exclusive, synchronous=OFF, journal_mode=off, uncommited=true, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST36,2022-01-02T07:56:32,2022-01-02T07:56:42,2022-01-02T07:58:00,2022-01-02T07:58:21,2022-01-02T08:34:48,22397583360,"Only full blocks height + peak index, locking_mode=exclusive, cache_spill=false, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST36,2022-01-02T08:35:03,2022-01-02T08:35:13,2022-01-02T08:36:37,2022-01-02T08:37:13,2022-01-02T09:13:54,22398107648,"Only full blocks height + peak index, locking_mode=exclusive, cache_spill=false, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST36,2022-01-02T09:14:10,2022-01-02T09:14:20,2022-01-02T09:15:34,2022-01-02T09:16:15,2022-01-02T09:52:45,22397583360,"Only full blocks height + peak index, locking_mode=exclusive, cache_spill=false, synchronous=OFF, journal_mode=off, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST7,2022-01-02T09:53:01,2022-01-02T09:53:10,2022-01-02T09:54:29,2022-01-02T09:55:01,2022-01-02T10:31:46,22397583360,"Only full blocks height + peak index, increase coin_records lru cache * 100"
plotter1,DUSTSTORM1,AUTOTEST7,2022-01-02T10:32:01,2022-01-02T10:32:11,2022-01-02T10:33:21,2022-01-02T10:33:42,2022-01-02T11:10:33,22398107648,"Only full blocks height + peak index, increase coin_records lru cache * 100"
