# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-02 15:04:58,lo,18.30,18.30,10.04,10.04,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:04:58,enp6s0,790.50,1244.20,381.66,1581.18,0.00,0.00,0.40,0.52
plotter1,60,2022-01-02 15:05:58,lo,15.55,15.55,11.90,11.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:05:58,enp6s0,651.13,1063.38,286.11,1337.94,0.00,0.00,0.42,0.44
plotter1,60,2022-01-02 15:06:58,lo,23.27,23.27,17.57,17.57,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:06:58,enp6s0,805.43,1293.08,391.92,1615.66,0.00,0.00,0.42,0.53
plotter1,60,2022-01-02 15:07:58,lo,18.48,18.48,97.82,97.82,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:07:58,enp6s0,723.78,1155.25,344.49,1439.58,0.00,0.00,0.42,0.47
plotter1,60,2022-01-02 15:08:58,lo,231.03,231.03,104.64,104.64,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:08:58,enp6s0,679.57,1151.95,222.53,1454.26,0.00,0.00,0.42,0.48
plotter1,60,2022-01-02 15:09:58,lo,111.83,111.83,131.79,131.79,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:09:58,enp6s0,556.17,1066.38,100.04,1406.45,0.00,0.00,0.40,0.46
plotter1,60,2022-01-02 15:10:58,lo,313.83,313.83,108.96,108.96,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:10:58,enp6s0,842.02,1263.42,386.60,1509.55,0.00,0.00,0.40,0.49
plotter1,60,2022-01-02 15:11:58,lo,126.57,126.57,37.40,37.40,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:11:58,enp6s0,706.18,1102.53,324.34,1315.48,0.00,0.00,0.42,0.43
plotter1,60,2022-01-02 15:12:58,lo,281.33,281.33,178.61,178.61,0.00,0.00,0.00,0.00
plotter1,60,2022-01-02 15:12:58,enp6s0,840.50,1294.50,387.32,1541.68,0.00,0.00,0.42,0.51
plotter1,60,2022-01-02 15:13:58,lo,315.45,315.45,186.33,186.33,0.00,0.00,0.00,0.00
