# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-02 17:10:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:11:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:12:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:13:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:14:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:15:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:16:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:17:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:18:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:19:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:20:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:21:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:22:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:23:28,130683128,454400,0.35,16064,3.54
plotter1,60,2022-01-02 17:24:28,130683128,454400,0.35,16092,3.54
plotter1,60,2022-01-02 17:25:28,130683384,454144,0.35,16120,3.55
plotter1,60,2022-01-02 17:26:28,130683896,453632,0.35,16028,3.53
plotter1,60,2022-01-02 17:27:28,130683896,453632,0.35,16012,3.53
plotter1,60,2022-01-02 17:28:28,130684920,452608,0.35,15248,3.37
plotter1,60,2022-01-02 17:29:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:30:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:31:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:32:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:33:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:34:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:35:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:36:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:37:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:38:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:39:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:40:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:41:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:42:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:43:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:44:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:45:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:46:28,130684920,452608,0.35,15244,3.37
plotter1,60,2022-01-02 17:47:28,130684920,452608,0.35,15244,3.37
