# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-02 17:49:27,-1,5.52,0.00,1.36,7.25,0.00,85.86
plotter1,60,2022-01-02 17:50:27,-1,7.69,0.00,0.39,9.99,0.00,81.93
plotter1,60,2022-01-02 17:51:27,-1,15.91,0.00,0.48,7.24,0.00,76.36
plotter1,60,2022-01-02 17:52:27,-1,16.58,0.00,0.50,9.72,0.00,73.20
plotter1,60,2022-01-02 17:53:27,-1,15.83,0.00,0.53,8.08,0.00,75.56
plotter1,60,2022-01-02 17:54:27,-1,10.27,0.00,0.51,8.44,0.00,80.79
plotter1,60,2022-01-02 17:55:27,-1,10.32,0.00,0.49,8.61,0.00,80.59
plotter1,60,2022-01-02 17:56:27,-1,9.16,0.00,0.41,8.45,0.00,81.97
plotter1,60,2022-01-02 17:57:27,-1,11.66,0.00,0.41,8.02,0.00,79.91
plotter1,60,2022-01-02 17:58:27,-1,9.27,0.00,0.39,7.56,0.00,82.78
plotter1,60,2022-01-02 17:59:27,-1,9.76,0.00,0.37,7.65,0.00,82.23
plotter1,60,2022-01-02 18:00:27,-1,9.56,0.00,0.38,9.92,0.00,80.13
plotter1,60,2022-01-02 18:01:27,-1,9.91,0.00,0.35,7.80,0.00,81.94
plotter1,60,2022-01-02 18:02:27,-1,9.58,0.00,0.40,7.78,0.00,82.24
plotter1,60,2022-01-02 18:03:27,-1,14.32,0.00,0.39,8.84,0.00,76.45
plotter1,60,2022-01-02 18:04:27,-1,10.38,0.00,0.33,8.24,0.00,81.05
plotter1,60,2022-01-02 18:05:27,-1,9.81,0.00,0.40,8.06,0.00,81.73
plotter1,60,2022-01-02 18:06:27,-1,9.28,0.00,0.40,9.06,0.00,81.26
plotter1,60,2022-01-02 18:07:27,-1,9.37,0.00,0.39,7.26,0.00,82.98
plotter1,60,2022-01-02 18:08:27,-1,9.19,0.00,0.34,7.64,0.00,82.83
plotter1,60,2022-01-02 18:09:27,-1,9.45,0.00,0.37,6.97,0.00,83.20
plotter1,60,2022-01-02 18:10:27,-1,9.03,0.00,0.37,7.97,0.00,82.63
plotter1,60,2022-01-02 18:11:27,-1,9.55,0.00,0.36,7.58,0.00,82.51
plotter1,60,2022-01-02 18:12:27,-1,9.59,0.00,0.36,7.70,0.00,82.35
plotter1,60,2022-01-02 18:13:27,-1,9.53,0.00,0.36,8.71,0.00,81.40
plotter1,60,2022-01-02 18:14:27,-1,8.54,0.00,0.34,6.99,0.00,84.14
plotter1,60,2022-01-02 18:15:27,-1,3.84,0.00,0.34,9.07,0.00,86.74
plotter1,60,2022-01-02 18:16:27,-1,5.00,0.00,0.47,7.69,0.00,86.84
plotter1,60,2022-01-02 18:17:27,-1,8.97,0.00,0.32,7.83,0.00,82.87
plotter1,60,2022-01-02 18:18:27,-1,7.24,0.00,0.28,8.57,0.00,83.91
plotter1,60,2022-01-02 18:19:27,-1,8.68,0.00,0.34,8.28,0.00,82.70
plotter1,60,2022-01-02 18:20:27,-1,9.66,0.00,0.37,8.78,0.00,81.19
plotter1,60,2022-01-02 18:21:27,-1,6.68,0.00,0.29,7.42,0.00,85.61
plotter1,60,2022-01-02 18:22:27,-1,7.08,0.00,0.31,6.73,0.00,85.88
plotter1,60,2022-01-02 18:23:27,-1,10.07,0.00,0.36,6.85,0.00,82.73
plotter1,60,2022-01-02 18:24:27,-1,9.34,0.00,0.36,8.44,0.00,81.87
plotter1,60,2022-01-02 18:25:27,-1,9.51,0.00,0.35,8.14,0.00,82.00
plotter1,60,2022-01-02 18:26:27,-1,9.54,0.00,0.31,7.12,0.00,83.03
plotter1,60,2022-01-02 18:27:27,-1,8.72,0.00,0.34,7.09,0.00,83.85
plotter1,60,2022-01-02 18:28:27,-1,11.63,0.00,0.36,8.53,0.00,79.48
plotter1,60,2022-01-02 18:29:27,-1,14.10,0.00,0.37,7.84,0.00,77.69
# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-02 17:49:27,216.70,201.88,14.72,0.10,20268.67,310.13,40.53
plotter1,60,2022-01-02 17:50:27,217.13,202.33,14.75,0.05,19776.63,393.47,4.40
plotter1,60,2022-01-02 17:51:27,193.33,174.27,19.02,0.05,18197.33,266.40,4.93
plotter1,60,2022-01-02 17:52:27,223.22,206.87,16.35,0.00,20355.67,228.13,0.00
plotter1,60,2022-01-02 17:53:27,197.45,185.25,12.20,0.00,19367.33,186.93,0.00
plotter1,60,2022-01-02 17:54:27,205.27,199.03,6.23,0.00,21037.32,98.40,0.00
plotter1,60,2022-01-02 17:55:27,204.02,196.27,7.75,0.00,19038.68,310.80,0.00
plotter1,60,2022-01-02 17:56:27,196.93,188.88,8.05,0.00,18937.10,143.73,0.00
plotter1,60,2022-01-02 17:57:27,184.70,176.60,8.10,0.00,18192.28,153.33,0.00
plotter1,60,2022-01-02 17:58:27,192.38,183.72,8.67,0.00,19036.63,157.47,0.00
plotter1,60,2022-01-02 17:59:27,186.42,179.67,6.75,0.00,18735.33,127.47,0.00
plotter1,60,2022-01-02 18:00:27,230.17,221.10,9.07,0.00,21994.23,341.73,0.00
plotter1,60,2022-01-02 18:01:27,176.88,165.97,10.92,0.00,17112.80,184.53,0.00
plotter1,60,2022-01-02 18:02:27,184.82,173.07,11.75,0.00,17881.67,180.93,0.00
plotter1,60,2022-01-02 18:03:27,216.15,201.88,14.27,0.00,20870.93,216.80,0.00
plotter1,60,2022-01-02 18:04:27,194.72,180.68,14.03,0.00,18476.27,206.13,0.00
plotter1,60,2022-01-02 18:05:27,194.00,178.63,15.37,0.00,17107.43,408.80,0.00
plotter1,60,2022-01-02 18:06:27,211.50,196.73,14.77,0.00,20312.67,219.47,0.00
plotter1,60,2022-01-02 18:07:27,192.32,177.75,14.57,0.00,18655.20,212.40,0.00
plotter1,60,2022-01-02 18:08:27,180.20,168.33,11.87,0.00,16968.53,192.93,0.00
plotter1,60,2022-01-02 18:09:27,177.37,172.27,5.10,0.00,18102.27,87.73,0.00
plotter1,60,2022-01-02 18:10:27,203.43,195.95,7.48,0.00,18869.30,308.80,0.00
plotter1,60,2022-01-02 18:11:27,183.95,175.68,8.27,0.00,17887.73,148.13,0.00
plotter1,60,2022-01-02 18:12:27,180.87,172.18,8.68,0.00,17355.45,155.33,0.00
plotter1,60,2022-01-02 18:13:27,203.10,196.70,6.40,0.00,20160.93,121.87,0.00
plotter1,60,2022-01-02 18:14:27,173.45,168.08,5.37,0.00,17322.27,105.87,0.00
plotter1,60,2022-01-02 18:15:27,209.97,201.92,8.05,0.00,19676.77,328.13,0.00
plotter1,60,2022-01-02 18:16:27,187.52,177.53,9.98,0.00,18211.87,450.67,0.00
plotter1,60,2022-01-02 18:17:27,198.47,190.87,7.60,0.00,19838.00,132.13,0.00
plotter1,60,2022-01-02 18:18:27,210.92,202.90,8.02,0.00,20970.40,136.67,0.00
plotter1,60,2022-01-02 18:19:27,185.48,176.08,9.40,0.00,18543.73,147.20,0.00
plotter1,60,2022-01-02 18:20:27,219.55,209.63,9.92,0.00,20049.30,344.40,0.00
plotter1,60,2022-01-02 18:21:27,184.03,170.45,13.58,0.00,17215.47,208.93,0.00
plotter1,60,2022-01-02 18:22:27,177.50,163.82,13.68,0.00,16388.65,200.53,0.00
plotter1,60,2022-01-02 18:23:27,164.62,156.95,7.67,0.00,16076.40,134.80,0.00
plotter1,60,2022-01-02 18:24:27,208.57,204.50,4.07,0.00,20820.93,77.60,0.00
plotter1,60,2022-01-02 18:25:27,180.77,173.93,6.83,0.00,16868.90,298.00,0.00
plotter1,60,2022-01-02 18:26:27,169.58,164.77,4.82,0.00,17033.60,95.60,0.00
plotter1,60,2022-01-02 18:27:27,172.18,167.13,5.05,0.00,17135.87,104.00,0.00
plotter1,60,2022-01-02 18:28:27,188.38,183.23,5.15,0.00,18580.40,106.13,0.00
plotter1,60,2022-01-02 18:29:27,197.22,191.63,5.58,0.00,19692.93,110.27,0.00
# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-02 17:49:27,85701388,86658964,2154084,1.64,164400,42100620,46651424,17.75,1142468,42832232,392
plotter1,60,2022-01-02 17:50:27,84611168,86162996,2613456,1.98,166412,42728672,53469396,20.34,1284064,43776464,176
plotter1,60,2022-01-02 17:51:27,83711788,85810876,2850292,2.16,168676,43388356,53544072,20.37,1727172,44176980,4
plotter1,60,2022-01-02 17:52:27,82884292,85593588,2963392,2.25,173624,44097840,53734988,20.44,2161240,44618800,136
plotter1,60,2022-01-02 17:53:27,81654352,84948832,3514236,2.67,175528,44774760,53863836,20.49,2577164,45404796,136
plotter1,60,2022-01-02 17:54:27,79941220,83866084,4537076,3.45,176384,45464304,53949124,20.53,2886896,46832528,84
plotter1,60,2022-01-02 17:55:27,79295856,83792712,4566248,3.47,179432,46077656,53968420,20.53,3097432,47246712,184
plotter1,60,2022-01-02 17:56:27,78603236,83668420,4650908,3.53,187552,46677304,54077488,20.57,3275780,47757368,100
plotter1,60,2022-01-02 17:57:27,77925340,83536348,4731760,3.59,192160,47269820,54185392,20.62,3505956,48214352,96
plotter1,60,2022-01-02 17:58:27,77260120,83443644,4797180,3.64,193512,47868632,54263088,20.65,3624384,48758032,156
plotter1,60,2022-01-02 17:59:27,76621508,83366772,4848896,3.68,193756,48455244,54332836,20.67,3719836,49300888,212
plotter1,60,2022-01-02 18:00:27,75877560,83283856,4906876,3.73,194052,49141092,54385448,20.69,3808032,49935204,96
plotter1,60,2022-01-02 18:01:27,75317988,83237860,4930248,3.74,194308,49676944,54446888,20.72,3876840,50447448,104
plotter1,60,2022-01-02 18:02:27,74629056,83085644,5058412,3.84,194548,50237348,54586984,20.77,3967860,51044040,92
plotter1,60,2022-01-02 18:03:27,73946580,83029564,5082668,3.86,194840,50895216,54618256,20.78,4119560,51562604,152
plotter1,60,2022-01-02 18:04:27,73344176,82981672,5109244,3.88,195048,51470464,54674576,20.80,4193244,52105684,144
plotter1,60,2022-01-02 18:05:27,72742636,82893192,5177400,3.93,195292,52003780,54735124,20.82,4242072,52638860,140
plotter1,60,2022-01-02 18:06:27,71622160,82382272,5667320,4.30,195536,52634116,55492008,21.11,4314036,53701632,136
plotter1,60,2022-01-02 18:07:27,71432340,82752372,5277624,4.01,195768,53213172,54871324,20.88,4378700,53822908,4
