# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-04 14:37:45,3139.25,2655.00,483.50,0.75,1232664.87,1175606.00,1244820.27
plotter1,60,2022-01-04 14:38:45,263.73,254.72,8.97,0.05,24316.53,438.27,4.40
plotter1,60,2022-01-04 14:39:45,6150.08,2786.93,3363.10,0.05,245324.68,375456.27,4.40
plotter1,60,2022-01-04 14:40:45,4802.03,680.62,4121.42,0.00,60724.63,337629.47,0.00
plotter1,60,2022-01-04 14:41:45,3964.37,624.92,3339.40,0.05,53915.02,270008.13,4.40
plotter1,60,2022-01-04 14:42:45,3008.20,289.00,2719.20,0.00,27398.92,223969.60,0.00
plotter1,60,2022-01-04 14:43:45,3005.55,176.10,2829.45,0.00,17943.33,223456.00,0.00
plotter1,60,2022-01-04 14:44:45,2889.93,224.32,2665.62,0.00,21462.53,207987.20,0.00
plotter1,60,2022-01-04 14:45:45,2774.20,206.75,2567.45,0.00,19816.10,201530.00,0.00
plotter1,60,2022-01-04 14:46:45,2581.62,190.97,2390.65,0.00,19793.87,191036.13,0.00
plotter1,60,2022-01-04 14:47:45,2847.15,201.83,2645.32,0.00,20513.73,208784.67,0.00
plotter1,60,2022-01-04 14:48:45,2983.75,226.43,2757.32,0.00,23045.47,216287.87,0.00
plotter1,60,2022-01-04 14:49:45,2891.67,171.68,2719.98,0.00,17148.40,212092.27,0.00
plotter1,60,2022-01-04 14:50:45,2788.45,217.33,2571.12,0.00,20669.83,203474.00,0.00
plotter1,60,2022-01-04 14:51:45,2972.12,211.87,2760.25,0.00,23926.40,220933.73,0.00
plotter1,60,2022-01-04 14:52:45,2854.38,212.90,2641.48,0.00,22305.77,208780.40,0.00
plotter1,60,2022-01-04 14:53:45,2734.68,181.90,2552.78,0.00,19878.27,202395.33,0.00
plotter1,60,2022-01-04 14:54:45,2875.73,189.42,2686.32,0.00,21044.00,213708.53,0.00
plotter1,60,2022-01-04 14:55:45,2869.38,201.07,2668.32,0.00,20270.10,209309.60,0.00
plotter1,60,2022-01-04 14:56:45,2607.95,169.52,2438.43,0.00,17363.73,188979.20,0.00
plotter1,60,2022-01-04 14:57:45,2976.02,213.00,2763.02,0.00,25155.33,220669.73,0.00
plotter1,60,2022-01-04 14:58:45,2755.35,289.25,2466.10,0.00,26580.53,191708.53,0.00
plotter1,60,2022-01-04 14:59:45,4120.32,280.82,3839.50,0.00,26332.93,289900.80,0.00
plotter1,60,2022-01-04 15:00:45,2985.68,261.37,2724.32,0.00,23988.23,201326.13,0.00
plotter1,60,2022-01-04 15:01:45,2746.03,189.75,2556.28,0.00,19327.07,182728.93,0.00
plotter1,60,2022-01-04 15:02:45,2986.80,252.25,2734.55,0.00,24184.52,197433.07,0.00
plotter1,60,2022-01-04 15:03:45,3120.22,242.33,2877.88,0.00,23262.53,209710.53,0.00
plotter1,60,2022-01-04 15:04:45,3143.17,296.87,2846.30,0.00,27667.87,210489.87,0.00
plotter1,60,2022-01-04 15:05:45,2807.17,239.75,2567.42,0.00,22345.97,193964.40,0.00
plotter1,60,2022-01-04 15:06:45,2404.75,229.03,2175.72,0.00,21928.93,162367.87,0.00
plotter1,60,2022-01-04 15:07:45,1135.83,162.72,973.12,0.00,16998.00,73510.93,0.00
plotter1,60,2022-01-04 15:08:45,1516.13,168.70,1347.43,0.00,17458.13,100006.67,0.00
