# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-05 01:38:56,3132.92,2649.88,482.22,0.82,1232364.40,1175768.13,1279613.20
plotter1,60,2022-01-05 01:39:56,505.78,314.75,191.03,0.00,30276.53,20169.07,0.00
plotter1,60,2022-01-05 01:40:56,11171.47,2562.80,8608.60,0.07,225462.18,838309.33,5.47
plotter1,60,2022-01-05 01:41:56,9624.70,728.17,8896.53,0.00,66858.47,796368.00,0.00
plotter1,60,2022-01-05 01:42:56,8720.95,553.02,8167.88,0.05,47691.02,722484.00,4.40
plotter1,60,2022-01-05 01:43:56,6071.63,408.57,5663.07,0.00,37946.50,519414.93,0.00
plotter1,60,2022-01-05 01:44:56,5935.22,221.18,5714.03,0.00,21703.57,515482.00,0.00
plotter1,60,2022-01-05 01:45:56,5657.62,207.42,5450.20,0.00,20484.10,490751.33,0.00
plotter1,60,2022-01-05 01:46:56,5598.95,250.93,5348.02,0.00,24561.73,477521.60,0.00
plotter1,60,2022-01-05 01:47:56,5382.37,205.82,5176.55,0.00,21305.33,465631.47,0.00
plotter1,60,2022-01-05 01:48:56,5587.37,207.70,5379.67,0.00,21139.87,487709.73,0.00
plotter1,60,2022-01-05 01:49:56,5357.90,200.58,5157.32,0.00,20376.80,464599.73,0.00
plotter1,60,2022-01-05 01:50:56,5789.15,200.12,5589.03,0.00,19445.97,502304.53,0.00
plotter1,60,2022-01-05 01:51:56,5638.57,210.50,5428.07,0.00,21639.30,485659.60,0.00
plotter1,60,2022-01-05 01:52:56,5699.62,208.20,5491.42,0.00,21772.82,492789.33,0.00
plotter1,60,2022-01-05 01:53:56,5949.50,197.30,5752.18,0.02,20184.80,515222.40,0.27
plotter1,60,2022-01-05 01:54:56,5558.87,194.82,5364.05,0.00,20187.73,481929.33,0.00
plotter1,60,2022-01-05 01:55:56,5501.00,211.20,5289.80,0.00,20419.17,475615.47,0.00
plotter1,60,2022-01-05 01:56:56,5742.05,175.28,5566.77,0.00,18408.40,501077.73,0.00
plotter1,60,2022-01-05 01:57:56,5890.97,184.65,5706.32,0.00,19220.13,511390.93,0.00
plotter1,60,2022-01-05 01:58:56,5271.88,206.37,5065.52,0.00,21144.40,455964.80,0.00
plotter1,60,2022-01-05 01:59:56,5699.87,189.38,5510.48,0.00,19094.40,493312.67,0.00
plotter1,60,2022-01-05 02:00:56,5550.85,204.03,5346.82,0.00,19666.23,482748.67,0.00
plotter1,60,2022-01-05 02:01:56,5249.82,262.38,4987.43,0.00,24536.23,447370.00,0.00
plotter1,60,2022-01-05 02:02:56,7228.97,299.03,6929.93,0.00,27639.30,606624.00,0.00
plotter1,60,2022-01-05 02:03:56,5968.98,235.42,5733.57,0.00,22498.80,502976.53,0.00
plotter1,60,2022-01-05 02:04:56,4888.70,168.98,4719.72,0.00,17438.27,413199.73,0.00
plotter1,60,2022-01-05 02:05:56,5013.65,196.12,4817.53,0.00,18659.43,421306.40,0.00
plotter1,60,2022-01-05 02:06:56,5460.07,212.00,5248.07,0.00,20242.27,458427.60,0.00
plotter1,60,2022-01-05 02:07:56,5479.55,251.80,5227.75,0.00,24715.47,461066.40,0.00
plotter1,60,2022-01-05 02:08:56,5378.90,279.05,5099.85,0.00,26508.13,449780.40,0.00
plotter1,60,2022-01-05 02:09:56,5065.27,245.55,4819.72,0.00,24306.00,426027.07,0.00
plotter1,60,2022-01-05 02:10:56,5048.22,266.65,4781.57,0.00,25138.10,421779.07,0.00
plotter1,60,2022-01-05 02:11:56,2128.55,170.63,1957.92,0.00,17742.83,176804.40,0.00
plotter1,60,2022-01-05 02:12:56,2543.28,191.95,2351.32,0.02,19705.33,209651.60,0.27
