# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-05 02:14:38,lo,6.38,6.38,3.05,3.05,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:14:38,enp6s0,666.25,1109.12,287.91,1443.82,0.00,0.00,0.40,0.47
plotter1,60,2022-01-05 02:15:38,lo,12.00,12.00,8.13,8.13,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:15:38,enp6s0,607.03,963.60,278.70,1205.04,0.00,0.00,0.42,0.39
plotter1,60,2022-01-05 02:16:38,lo,9.17,9.17,6.79,6.79,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:16:38,enp6s0,678.27,1093.15,304.38,1383.06,0.00,0.00,0.40,0.45
plotter1,60,2022-01-05 02:17:38,lo,10.48,10.48,7.98,7.98,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:17:38,enp6s0,781.17,1239.07,376.86,1561.93,0.00,0.00,0.42,0.51
plotter1,60,2022-01-05 02:18:38,lo,1.23,1.23,1.96,1.96,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:18:38,enp6s0,599.78,935.30,286.33,1155.16,0.00,0.00,0.42,0.38
plotter1,60,2022-01-05 02:19:38,lo,1.25,1.25,2.54,2.54,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:19:38,enp6s0,783.48,1202.70,405.28,1508.50,0.00,0.00,0.42,0.49
plotter1,60,2022-01-05 02:20:38,lo,0.80,0.80,1.23,1.23,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:20:38,enp6s0,741.35,1183.27,333.71,1551.64,0.00,0.00,0.40,0.51
plotter1,60,2022-01-05 02:21:38,lo,0.97,0.97,1.93,1.93,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:21:38,enp6s0,653.22,986.83,321.31,1255.53,0.00,0.00,0.42,0.41
plotter1,60,2022-01-05 02:22:38,lo,0.80,0.80,0.87,0.87,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:22:38,enp6s0,697.43,1049.25,378.85,1294.70,0.00,0.00,0.40,0.42
plotter1,60,2022-01-05 02:23:38,lo,0.97,0.97,1.77,1.77,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:23:38,enp6s0,599.47,973.27,243.85,1255.45,0.00,0.00,0.42,0.41
plotter1,60,2022-01-05 02:24:38,lo,0.80,0.80,1.34,1.34,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:24:38,enp6s0,615.47,1088.65,176.76,1443.19,0.00,0.00,0.42,0.47
plotter1,60,2022-01-05 02:25:38,lo,0.87,0.87,1.12,1.12,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:25:38,enp6s0,793.10,1188.95,410.02,1544.49,0.00,0.00,0.42,0.51
plotter1,60,2022-01-05 02:26:38,lo,0.63,0.63,0.84,0.84,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:26:38,enp6s0,700.25,1135.75,301.16,1494.67,0.00,0.00,0.42,0.49
plotter1,60,2022-01-05 02:27:38,lo,0.97,0.97,1.93,1.93,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:27:38,enp6s0,702.65,984.00,390.91,1268.94,0.00,0.00,0.42,0.42
plotter1,60,2022-01-05 02:28:38,lo,1.23,1.23,2.28,2.28,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:28:38,enp6s0,787.83,1236.88,367.11,1600.80,0.00,0.00,0.42,0.52
plotter1,60,2022-01-05 02:29:38,lo,0.70,0.70,0.88,0.88,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:29:38,enp6s0,671.80,1106.97,276.80,1442.19,0.00,0.00,0.40,0.47
plotter1,60,2022-01-05 02:30:38,lo,0.80,0.80,1.08,1.08,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:30:38,enp6s0,716.08,1085.80,347.39,1423.91,0.00,0.00,0.42,0.47
plotter1,60,2022-01-05 02:31:38,lo,0.80,0.80,0.90,0.90,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:31:38,enp6s0,661.75,1065.58,284.52,1400.46,0.00,0.00,0.42,0.46
plotter1,60,2022-01-05 02:32:38,lo,0.93,0.93,1.56,1.56,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:32:38,enp6s0,677.70,1140.18,278.57,1488.96,0.00,0.00,0.42,0.49
plotter1,60,2022-01-05 02:33:38,lo,0.87,0.87,1.26,1.26,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:33:38,enp6s0,587.05,965.08,239.07,1262.53,0.00,0.00,0.42,0.41
plotter1,60,2022-01-05 02:34:38,lo,1.13,1.13,1.77,1.77,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:34:38,enp6s0,825.80,1206.17,461.86,1573.78,0.00,0.00,0.42,0.52
plotter1,60,2022-01-05 02:35:38,lo,0.83,0.83,1.28,1.28,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:35:38,enp6s0,678.02,1137.53,255.94,1510.39,0.00,0.00,0.42,0.49
plotter1,60,2022-01-05 02:36:38,lo,0.53,0.53,1.12,1.12,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:36:38,enp6s0,547.78,1010.53,139.59,1348.76,0.00,0.00,0.40,0.44
plotter1,60,2022-01-05 02:37:38,lo,15.50,15.50,7.16,7.16,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:37:38,enp6s0,635.12,1109.32,249.29,1449.62,0.00,0.00,0.42,0.48
plotter1,60,2022-01-05 02:38:38,lo,2.00,2.00,3.00,3.00,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:38:38,enp6s0,652.23,1052.03,299.26,1343.36,0.00,0.00,0.40,0.44
plotter1,60,2022-01-05 02:39:38,lo,1.60,1.60,1.87,1.87,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:39:38,enp6s0,760.73,1132.63,428.30,1443.69,0.00,0.00,0.42,0.47
plotter1,60,2022-01-05 02:40:38,lo,0.93,0.93,1.64,1.64,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:40:38,enp6s0,686.35,1068.93,311.48,1398.27,0.00,0.00,0.40,0.46
plotter1,60,2022-01-05 02:41:38,lo,1.53,1.53,2.39,2.39,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:41:38,enp6s0,655.73,1100.80,234.45,1445.72,0.00,0.00,0.42,0.47
plotter1,60,2022-01-05 02:42:38,lo,2.17,2.17,3.01,3.01,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:42:38,enp6s0,797.77,1159.10,442.51,1463.67,0.00,0.00,0.40,0.48
plotter1,60,2022-01-05 02:43:38,lo,1.73,1.73,2.14,2.14,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:43:38,enp6s0,691.17,1043.03,367.86,1310.20,0.00,0.00,0.40,0.43
plotter1,60,2022-01-05 02:44:38,lo,1.47,1.47,2.10,2.10,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:44:38,enp6s0,695.75,1159.78,292.13,1529.60,0.00,0.00,0.43,0.50
plotter1,60,2022-01-05 02:45:38,lo,1.97,1.97,3.10,3.10,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:45:38,enp6s0,729.72,1164.45,322.12,1519.12,0.00,0.00,0.42,0.50
plotter1,60,2022-01-05 02:46:38,lo,0.97,0.97,1.30,1.30,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:46:38,enp6s0,857.85,1282.32,434.95,1672.21,0.00,0.00,0.40,0.55
plotter1,60,2022-01-05 02:47:38,lo,1.00,1.00,1.29,1.29,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:47:38,enp6s0,578.52,937.08,230.30,1217.90,0.00,0.00,0.42,0.40
plotter1,60,2022-01-05 02:48:38,lo,1.78,1.78,2.31,2.31,0.00,0.00,0.00,0.00
plotter1,60,2022-01-05 02:48:38,enp6s0,630.42,1031.63,253.79,1338.53,0.00,0.00,0.42,0.44
