# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-05-25 11:50:41,1280.48,925.17,355.08,0.23,176753.07,854567.20,852820.27
plotter1,60,2022-05-25 11:51:41,1467.78,1448.83,18.95,0.00,18437.33,9605.87,0.00
plotter1,60,2022-05-25 11:52:41,1624.20,1591.72,32.48,0.00,18754.13,17997.73,0.00
plotter1,60,2022-05-25 11:53:41,1513.63,1478.90,34.73,0.00,18210.00,19950.80,0.00
plotter1,60,2022-05-25 11:54:41,896.78,872.50,17.52,6.77,12982.13,5881.60,14891.33
plotter1,60,2022-05-25 11:55:41,854.28,804.05,43.88,6.35,11953.47,26662.00,5880.40
plotter1,60,2022-05-25 11:56:41,435.07,405.05,23.08,6.93,8756.93,10653.07,2462.93
plotter1,60,2022-05-25 11:57:41,589.93,570.68,9.15,10.10,10383.33,2691.60,4692.13
plotter1,60,2022-05-25 11:58:41,784.35,745.25,37.20,1.90,12059.07,22159.60,2528.93
plotter1,60,2022-05-25 11:59:41,627.93,587.95,39.98,0.00,10484.40,22511.60,0.00
plotter1,60,2022-05-25 12:00:41,814.83,781.47,33.37,0.00,14775.33,18139.20,0.00
plotter1,60,2022-05-25 12:01:41,1238.40,1146.23,92.17,0.00,16594.40,58002.40,0.00
plotter1,60,2022-05-25 12:02:41,380.33,335.73,44.60,0.00,8905.47,25727.20,0.00
plotter1,60,2022-05-25 12:03:41,475.02,434.70,40.32,0.00,9936.27,23123.60,0.00
plotter1,60,2022-05-25 12:04:41,363.03,326.27,36.77,0.00,9811.33,20021.73,0.00
plotter1,60,2022-05-25 12:05:41,606.78,498.75,108.03,0.00,11409.33,69412.27,0.00
plotter1,60,2022-05-25 12:06:41,306.02,235.20,66.43,4.38,8719.33,38318.67,62065.33
plotter1,60,2022-05-25 12:07:41,261.90,134.67,121.93,5.30,7511.47,79540.13,22536.93
plotter1,60,2022-05-25 12:08:41,272.23,116.95,153.08,2.20,5700.40,97983.60,15237.60
plotter1,60,2022-05-25 12:09:41,241.45,117.47,121.02,2.97,6336.40,76125.60,17272.13
plotter1,60,2022-05-25 12:10:41,108.42,54.33,40.05,14.03,5735.87,20318.27,70648.53
plotter1,60,2022-05-25 12:11:41,147.08,72.05,63.20,11.83,7200.13,39842.27,49086.93
plotter1,60,2022-05-25 12:12:41,160.85,114.08,39.20,7.57,7153.60,21277.33,25149.73
plotter1,60,2022-05-25 12:13:41,195.28,80.63,105.28,9.37,5789.73,69549.33,37285.33
plotter1,60,2022-05-25 12:14:41,184.20,99.88,80.92,3.40,6777.33,49243.47,14658.67
plotter1,60,2022-05-25 12:15:41,107.45,39.58,51.77,16.10,3989.20,31893.73,72598.93
plotter1,60,2022-05-25 12:16:41,216.00,89.47,126.53,0.00,5695.07,83757.73,0.00
plotter1,60,2022-05-25 12:17:41,178.35,69.40,100.00,8.95,5317.07,63658.40,58068.13
plotter1,60,2022-05-25 12:18:41,126.97,89.32,30.52,7.13,7044.13,14057.60,35109.07
plotter1,60,2022-05-25 12:19:41,151.45,117.78,29.78,3.88,6787.47,17535.20,17711.60
