# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-05-25 11:50:41,lo,7.32,7.32,3.73,3.73,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:50:41,enp6s0,246.17,378.10,115.74,464.63,0.00,0.00,0.00,0.15
plotter1,60,2022-05-25 11:50:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:51:41,lo,11.25,11.25,9.50,9.50,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:51:41,enp6s0,509.22,506.25,505.96,485.68,0.00,0.00,0.00,0.17
plotter1,60,2022-05-25 11:51:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:52:41,lo,7.87,7.87,8.08,8.08,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:52:41,enp6s0,461.15,399.85,447.89,420.31,0.00,0.00,0.00,0.15
plotter1,60,2022-05-25 11:52:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:53:41,lo,10.07,10.07,10.23,10.23,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:53:41,enp6s0,628.02,448.02,691.15,439.53,0.00,0.00,0.00,0.23
plotter1,60,2022-05-25 11:53:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:54:41,lo,4.73,4.73,4.88,4.88,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:54:41,enp6s0,906.40,557.18,1088.20,463.64,0.00,0.00,0.00,0.36
plotter1,60,2022-05-25 11:54:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:55:41,lo,9.00,9.00,8.79,8.79,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:55:41,enp6s0,889.43,574.07,1074.41,426.11,0.00,0.00,0.00,0.35
plotter1,60,2022-05-25 11:55:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:56:41,lo,7.33,7.33,7.51,7.51,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:56:41,enp6s0,594.37,509.38,636.93,443.70,0.00,0.00,0.00,0.21
plotter1,60,2022-05-25 11:56:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:57:41,lo,4.97,4.97,5.11,5.11,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:57:41,enp6s0,689.15,516.27,787.31,430.85,0.00,0.00,0.00,0.26
plotter1,60,2022-05-25 11:57:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:58:41,lo,8.47,8.47,8.52,8.52,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:58:41,enp6s0,1013.57,599.58,1251.75,447.23,0.00,0.00,0.00,0.41
plotter1,60,2022-05-25 11:58:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:59:41,lo,9.57,9.57,11.10,11.10,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 11:59:41,enp6s0,473.63,419.45,466.34,399.58,0.00,0.00,0.00,0.15
plotter1,60,2022-05-25 11:59:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:00:41,lo,5.32,5.32,6.68,6.68,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:00:41,enp6s0,591.08,592.82,523.39,624.92,0.00,0.00,0.00,0.20
plotter1,60,2022-05-25 12:00:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:01:41,lo,5.97,5.97,6.92,6.92,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:01:41,enp6s0,487.92,414.30,490.40,393.64,0.00,0.00,0.00,0.16
plotter1,60,2022-05-25 12:01:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:02:41,lo,6.50,6.50,8.78,8.78,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:02:41,enp6s0,736.62,555.55,811.84,462.13,0.00,0.00,0.00,0.27
plotter1,60,2022-05-25 12:02:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:03:41,lo,15.40,15.40,19.98,19.98,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:03:41,enp6s0,610.93,466.35,656.73,412.50,0.00,0.00,0.00,0.22
plotter1,60,2022-05-25 12:03:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:04:41,lo,5.80,5.80,8.83,8.83,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:04:41,enp6s0,509.20,512.55,450.81,520.49,0.00,0.00,0.00,0.17
plotter1,60,2022-05-25 12:04:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:05:41,lo,9.33,9.33,11.46,11.46,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:05:41,enp6s0,679.52,518.55,743.74,426.04,0.00,0.00,0.00,0.24
plotter1,60,2022-05-25 12:05:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:06:41,lo,5.57,5.57,7.95,7.95,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:06:41,enp6s0,518.82,509.88,461.82,497.35,0.00,0.00,0.00,0.16
plotter1,60,2022-05-25 12:06:41,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 12:07:41,lo,4.97,4.97,8.90,8.90,0.00,0.00,0.00,0.00
