# hostname,interval,timestamp,FILESYSTEM,MBfsfree,MBfsused,%fsused,%ufsused,Ifree,Iused,%Iused
plotter1,60,2022-05-25 18:34:22,/dev/nvme0n1,897872,55996,5.87,5.87,10004699,12578,0.13
plotter1,60,2022-05-25 18:35:22,/dev/nvme0n1,897800,56067,5.88,5.88,10004679,12598,0.13
plotter1,60,2022-05-25 18:36:22,/dev/nvme0n1,897685,56183,5.89,5.89,10004650,12627,0.13
plotter1,60,2022-05-25 18:37:22,/dev/nvme0n1,897596,56271,5.90,5.90,10004628,12649,0.13
plotter1,60,2022-05-25 18:38:22,/dev/nvme0n1,897512,56356,5.91,5.91,10004606,12671,0.13
plotter1,60,2022-05-25 18:39:22,/dev/nvme0n1,897378,56490,5.92,5.92,10004573,12704,0.13
plotter1,60,2022-05-25 18:40:22,/dev/nvme0n1,897286,56581,5.93,5.93,10004550,12727,0.13
plotter1,60,2022-05-25 18:41:22,/dev/nvme0n1,897242,56625,5.94,5.94,10004539,12738,0.13
plotter1,60,2022-05-25 18:42:22,/dev/nvme0n1,897204,56664,5.94,5.94,10004529,12748,0.13
plotter1,60,2022-05-25 18:43:22,/dev/nvme0n1,897157,56710,5.95,5.95,10004517,12760,0.13
plotter1,60,2022-05-25 18:44:22,/dev/nvme0n1,897127,56741,5.95,5.95,10004510,12767,0.13
plotter1,60,2022-05-25 18:45:22,/dev/nvme0n1,897073,56795,5.95,5.95,10004496,12781,0.13
plotter1,60,2022-05-25 18:46:22,/dev/nvme0n1,896974,56894,5.96,5.96,10004471,12806,0.13
plotter1,60,2022-05-25 18:47:22,/dev/nvme0n1,896937,56930,5.97,5.97,10004462,12815,0.13
plotter1,60,2022-05-25 18:48:22,/dev/nvme0n1,896895,56972,5.97,5.97,10004451,12826,0.13
plotter1,60,2022-05-25 18:49:22,/dev/nvme0n1,896869,56999,5.98,5.98,10004444,12833,0.13
plotter1,60,2022-05-25 18:50:22,/dev/nvme0n1,896842,57026,5.98,5.98,10004437,12840,0.13
plotter1,60,2022-05-25 18:51:22,/dev/nvme0n1,896717,57150,5.99,5.99,10004406,12871,0.13
plotter1,60,2022-05-25 18:52:22,/dev/nvme0n1,896548,57320,6.01,6.01,10004363,12914,0.13
plotter1,60,2022-05-25 18:53:22,/dev/nvme0n1,896406,57462,6.02,6.02,10004328,12949,0.13
plotter1,60,2022-05-25 18:54:22,/dev/nvme0n1,896217,57651,6.04,6.04,10004280,12997,0.13
plotter1,60,2022-05-25 18:55:22,/dev/nvme0n1,896070,57798,6.06,6.06,10004243,13034,0.13
plotter1,60,2022-05-25 18:56:22,/dev/nvme0n1,895916,57952,6.08,6.08,10004205,13072,0.13
plotter1,60,2022-05-25 18:57:22,/dev/nvme0n1,895816,58052,6.09,6.09,10004179,13098,0.13
plotter1,60,2022-05-25 18:58:22,/dev/nvme0n1,895643,58225,6.10,6.10,10004136,13141,0.13
plotter1,60,2022-05-25 18:59:22,/dev/nvme0n1,895477,58390,6.12,6.12,10004094,13183,0.13
plotter1,60,2022-05-25 19:00:22,/dev/nvme0n1,895383,58485,6.13,6.13,10004071,13206,0.13
plotter1,60,2022-05-25 19:01:22,/dev/nvme0n1,895192,58676,6.15,6.15,10004023,13254,0.13
plotter1,60,2022-05-25 19:02:22,/dev/nvme0n1,895128,58740,6.16,6.16,10004007,13270,0.13
