# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-05-25 18:34:22,1594.53,1165.03,425.63,3.87,861083.33,855328.80,488106.67
plotter1,60,2022-05-25 18:35:22,2030.93,1404.93,612.10,13.90,37922.13,17206.00,3034726.40
plotter1,60,2022-05-25 18:36:22,5606.13,2681.10,2925.03,0.00,53941.07,74995.73,0.00
plotter1,60,2022-05-25 18:37:22,5486.75,2198.53,3288.22,0.00,34460.27,74248.13,0.00
plotter1,60,2022-05-25 18:38:22,4942.05,1622.75,3319.03,0.27,27267.60,73667.73,74342.40
plotter1,60,2022-05-25 18:39:22,6936.68,1735.40,5200.80,0.48,34210.80,111047.47,169028.27
plotter1,60,2022-05-25 18:40:22,6134.95,1131.17,5001.65,2.13,20042.27,100207.07,672153.60
plotter1,60,2022-05-25 18:41:22,3558.82,557.72,2996.02,5.08,10476.27,58085.47,1202176.00
plotter1,60,2022-05-25 18:42:22,3754.88,625.23,3124.27,5.38,10556.53,57486.67,1229004.80
plotter1,60,2022-05-25 18:43:22,4482.12,614.05,3864.88,3.18,10291.07,72573.20,972868.27
plotter1,60,2022-05-25 18:44:22,3210.67,575.17,2635.50,0.00,10419.60,52172.67,0.00
plotter1,60,2022-05-25 18:45:22,6046.13,887.02,5159.12,0.00,13306.27,95827.47,0.00
plotter1,60,2022-05-25 18:46:22,11158.15,1009.73,10148.42,0.00,15897.60,176956.40,0.00
plotter1,60,2022-05-25 18:47:22,3362.72,249.55,3112.80,0.37,6334.93,58362.13,113664.00
plotter1,60,2022-05-25 18:48:22,4220.08,343.48,3876.40,0.20,8212.53,73409.33,65877.33
plotter1,60,2022-05-25 18:49:22,3058.22,331.40,2726.20,0.62,8117.87,52665.07,227123.20
plotter1,60,2022-05-25 18:50:22,2724.30,289.50,2434.27,0.53,7733.20,46513.73,301670.40
plotter1,60,2022-05-25 18:51:22,14881.97,418.98,14462.98,0.00,9065.20,248207.33,0.00
plotter1,60,2022-05-25 18:52:22,20216.38,255.65,19960.73,0.00,8110.67,338115.73,0.00
plotter1,60,2022-05-25 18:53:22,16678.13,139.57,16536.13,2.43,6775.87,281483.60,3555805.87
plotter1,60,2022-05-25 18:54:22,22292.57,107.33,22185.23,0.00,4910.27,376952.40,0.00
plotter1,60,2022-05-25 18:55:22,17125.17,92.62,17031.07,1.48,5889.47,290354.00,158788.27
plotter1,60,2022-05-25 18:56:22,18395.18,100.48,18294.70,0.00,5236.40,309476.53,0.00
plotter1,60,2022-05-25 18:57:22,11919.52,69.53,11845.42,4.57,5021.60,203293.47,766429.87
plotter1,60,2022-05-25 18:58:22,20781.92,117.27,20664.65,0.00,3976.67,350148.27,0.00
plotter1,60,2022-05-25 18:59:22,19745.07,109.23,19635.83,0.00,5654.13,333714.00,0.00
plotter1,60,2022-05-25 19:00:22,11367.73,62.57,11300.37,4.80,5227.07,191074.93,708949.33
plotter1,60,2022-05-25 19:01:22,22456.50,71.57,22384.93,0.00,5865.33,379797.60,0.00
plotter1,60,2022-05-25 19:02:22,7542.63,56.27,7479.23,7.13,3947.73,128443.20,1431074.13
plotter1,60,2022-05-25 19:03:22,6501.25,79.67,6420.38,1.20,4858.27,116248.40,198656.00
plotter1,60,2022-05-25 19:04:22,6709.97,116.42,6593.25,0.30,6134.93,117285.87,39185.07
plotter1,60,2022-05-25 19:05:22,7882.10,102.93,7779.17,0.00,4170.13,138524.53,0.00
plotter1,60,2022-05-25 19:06:22,7405.03,114.27,7290.77,0.00,5571.87,129540.80,0.00
plotter1,60,2022-05-25 19:07:22,7601.18,179.43,7421.75,0.00,7591.87,132306.00,0.00
plotter1,60,2022-05-25 19:08:22,6565.80,127.43,6436.70,1.67,4680.27,114736.53,294775.47
plotter1,60,2022-05-25 19:09:22,6196.00,101.15,6093.53,1.32,5373.87,109209.87,206916.27
plotter1,60,2022-05-25 19:10:22,4430.48,72.43,4353.73,4.32,4180.80,78450.67,1029324.80
plotter1,60,2022-05-25 19:11:22,4406.78,88.20,4315.20,3.38,3100.00,76198.00,603955.20
plotter1,60,2022-05-25 19:12:22,7373.58,82.45,7291.13,0.00,6035.73,130539.47,0.00
plotter1,60,2022-05-25 19:13:22,4707.22,59.93,4641.88,5.40,4580.80,83295.07,1110289.07
plotter1,60,2022-05-25 19:14:22,4543.73,93.68,4444.17,5.88,8400.13,78076.27,2633663.60
plotter1,60,2022-05-25 19:15:22,6611.23,79.58,6531.65,0.00,4263.33,117394.67,0.00
plotter1,60,2022-05-25 19:16:22,4925.97,75.00,4850.75,0.22,4785.87,87820.00,1724.27
plotter1,60,2022-05-25 19:17:22,4057.68,58.93,3998.50,0.25,5243.60,72814.53,3421.47
plotter1,60,2022-05-25 19:18:22,6363.70,153.18,6210.52,0.00,7872.27,112068.93,0.00
plotter1,60,2022-05-25 19:19:22,7352.85,197.08,7155.77,0.00,6807.47,128379.73,0.00
plotter1,60,2022-05-25 19:20:22,14022.73,119.27,13903.15,0.32,6802.13,235739.33,3463.47
plotter1,60,2022-05-25 19:21:22,12391.45,76.65,12314.80,0.00,6473.87,209309.60,0.00
plotter1,60,2022-05-25 19:22:22,13132.88,75.77,13057.12,0.00,5576.80,220463.60,0.00
plotter1,60,2022-05-25 19:23:22,17979.62,57.92,17921.70,0.00,3714.80,304161.73,0.00
plotter1,60,2022-05-25 19:24:22,16307.60,129.28,16178.32,0.00,5527.20,274871.07,0.00
plotter1,60,2022-05-25 19:25:22,14555.83,87.57,14468.27,0.00,4805.47,246665.47,0.00
plotter1,60,2022-05-25 19:26:22,8222.98,81.82,8140.65,0.52,5281.60,139790.40,7295.87
plotter1,60,2022-05-25 19:27:22,16084.72,83.80,16000.92,0.00,5638.13,271030.00,0.00
plotter1,60,2022-05-25 19:28:22,18214.95,66.22,18148.58,0.15,5412.13,304379.07,1711.60
plotter1,60,2022-05-25 19:29:22,14092.53,63.70,14028.67,0.17,6260.00,236883.07,1826.13
plotter1,60,2022-05-25 19:30:22,19932.95,61.15,19871.80,0.00,5482.13,335268.40,0.00
plotter1,60,2022-05-25 19:31:22,18956.30,71.10,18885.20,0.00,4137.73,318658.00,0.00
plotter1,60,2022-05-25 19:32:22,13719.98,71.38,13648.22,0.38,4954.40,229608.67,5385.73
plotter1,60,2022-05-25 19:33:22,17202.12,96.03,17106.08,0.00,5856.93,290525.87,0.00
plotter1,60,2022-05-25 19:34:22,12584.73,62.65,12521.97,0.12,3692.13,210399.73,1723.20
plotter1,60,2022-05-25 19:35:22,10476.98,56.77,10420.07,0.15,3819.33,176819.60,1753.20
plotter1,60,2022-05-25 19:36:22,16393.95,85.30,16308.65,0.00,6430.40,275489.33,0.00
plotter1,60,2022-05-25 19:37:22,18476.82,70.27,18406.55,0.00,4756.93,311063.73,0.00
plotter1,60,2022-05-25 19:38:22,15859.02,86.55,15772.47,0.00,5158.00,267794.93,0.00
plotter1,60,2022-05-25 19:39:22,9034.10,44.33,8989.28,0.48,4031.87,150653.33,7627.07
plotter1,60,2022-05-25 19:40:22,12039.28,55.37,11983.80,0.12,3721.33,204155.07,1711.47
plotter1,60,2022-05-25 19:41:22,16816.57,55.43,16761.13,0.00,4827.47,284764.40,0.00
plotter1,60,2022-05-25 19:42:22,16748.77,101.55,16647.22,0.00,5863.33,283789.20,0.00
plotter1,60,2022-05-25 19:43:22,16537.95,90.35,16447.60,0.00,4321.33,279760.27,0.00
plotter1,60,2022-05-25 19:44:22,8143.37,92.47,8050.45,0.45,5884.40,137316.40,5731.87
plotter1,60,2022-05-25 19:45:22,3325.77,38.95,3286.68,0.13,4106.53,55420.00,1703.20
plotter1,60,2022-05-25 19:46:22,16027.95,90.65,15937.30,0.00,5871.33,269575.47,0.00
plotter1,60,2022-05-25 19:47:22,18643.72,135.80,18507.92,0.00,5797.73,312746.40,0.00
plotter1,60,2022-05-25 19:48:22,14178.05,79.32,14098.58,0.15,4312.40,236960.00,1754.13
plotter1,60,2022-05-25 19:49:22,17601.20,83.82,17517.38,0.00,4249.20,298471.87,0.00
plotter1,60,2022-05-25 19:50:22,20376.58,108.15,20268.43,0.00,5418.67,340277.73,0.00
plotter1,60,2022-05-25 19:51:22,18322.43,76.27,18246.17,0.00,6281.20,308155.47,0.00
plotter1,60,2022-05-25 19:52:22,20611.60,139.82,20471.78,0.00,6034.13,346104.27,0.00
plotter1,60,2022-05-25 19:53:22,19453.70,55.62,19398.08,0.00,5070.93,327659.87,0.00
plotter1,60,2022-05-25 19:54:22,16494.08,78.42,16415.67,0.00,5465.33,277931.47,0.00
plotter1,60,2022-05-25 19:55:22,19613.45,91.20,19522.25,0.00,5196.00,329526.27,0.00
plotter1,60,2022-05-25 19:56:22,15285.08,64.05,15220.22,0.82,5892.40,257711.33,15387.20
plotter1,60,2022-05-25 19:57:22,12442.95,73.72,12369.08,0.15,5297.47,209907.20,129.73
plotter1,60,2022-05-25 19:58:22,19010.03,80.52,18929.52,0.00,5851.73,319401.87,0.00
plotter1,60,2022-05-25 19:59:22,17189.57,88.18,17101.38,0.00,5694.53,290397.07,0.00
plotter1,60,2022-05-25 20:00:22,16129.68,100.58,16029.10,0.00,6216.13,270929.07,0.00
plotter1,60,2022-05-25 20:01:22,16270.28,91.22,16179.07,0.00,5376.00,276121.20,0.00
plotter1,60,2022-05-25 20:02:22,12871.37,102.10,12768.70,0.57,5547.60,217819.33,9422.00
