# hostname,interval,timestamp,DEV,tps,rkB/s,wkB/s,dkB/s,areq-sz,aqu-sz,await,%util
plotter1,60,2022-05-25 18:34:22,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:34:22,nvme0n1,1475.88,425472.20,427489.87,244053.33,743.29,264.50,179.22,64.96
plotter1,60,2022-05-25 18:34:22,sda,5.13,360.87,0.00,0.00,70.30,0.02,4.62,1.22
plotter1,60,2022-05-25 18:34:22,sdb,2.77,174.13,0.00,0.00,62.94,0.01,4.04,0.61
plotter1,60,2022-05-25 18:34:22,sdc,11.88,856.00,0.00,0.00,72.03,0.10,8.04,3.60
plotter1,60,2022-05-25 18:34:22,sdd,4.52,296.00,0.00,0.00,65.54,0.02,4.92,1.20
plotter1,60,2022-05-25 18:34:22,sde,86.73,2885.27,174.53,0.00,35.28,0.05,0.48,2.76
plotter1,60,2022-05-25 18:34:22,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:34:22,sde2,86.40,2885.13,174.53,0.00,35.41,0.04,0.48,2.74
plotter1,60,2022-05-25 18:34:22,sdf,4.80,351.53,0.00,0.00,73.24,0.04,7.78,1.49
plotter1,60,2022-05-25 18:34:22,sdg,2.82,145.67,0.00,0.00,51.72,0.02,7.25,0.83
plotter1,60,2022-05-25 18:35:22,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:35:22,nvme0n1,1947.80,15296.13,8575.93,1517363.20,791.27,0.24,0.13,16.06
plotter1,60,2022-05-25 18:35:22,sda,1.92,116.67,0.00,0.00,60.87,0.01,4.33,0.60
plotter1,60,2022-05-25 18:35:22,sdb,2.00,141.13,0.00,0.00,70.57,0.02,8.50,0.70
plotter1,60,2022-05-25 18:35:22,sdc,6.13,437.87,0.00,0.00,71.39,0.12,19.48,3.47
plotter1,60,2022-05-25 18:35:22,sdd,6.30,418.13,0.00,0.00,66.37,0.03,4.11,1.69
plotter1,60,2022-05-25 18:35:22,sde,58.42,1887.73,27.47,0.00,32.79,0.03,0.49,1.99
plotter1,60,2022-05-25 18:35:22,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:35:22,sde2,58.42,1887.73,27.47,0.00,32.79,0.03,0.49,1.99
plotter1,60,2022-05-25 18:35:22,sdf,3.27,227.27,0.00,0.00,69.57,0.01,4.18,0.89
plotter1,60,2022-05-25 18:35:22,sdg,5.17,436.20,0.00,0.00,84.43,0.02,4.39,1.34
plotter1,60,2022-05-25 18:36:22,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:36:22,nvme0n1,5568.32,24600.67,37473.60,0.00,11.15,0.51,0.09,34.19
plotter1,60,2022-05-25 18:36:22,sda,3.50,249.67,0.00,0.00,71.33,0.04,10.11,1.36
plotter1,60,2022-05-25 18:36:22,sdb,6.77,473.00,0.00,0.00,69.90,0.13,18.57,3.60
plotter1,60,2022-05-25 18:36:22,sdc,8.00,554.67,0.00,0.00,69.33,0.03,4.04,2.10
plotter1,60,2022-05-25 18:36:22,sdd,4.77,322.53,0.00,0.00,67.66,0.02,4.72,1.41
plotter1,60,2022-05-25 18:36:22,sde,4.57,60.87,23.87,0.00,18.55,0.01,1.35,0.18
plotter1,60,2022-05-25 18:36:22,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:36:22,sde2,4.23,60.73,23.87,0.00,19.98,0.01,1.42,0.16
plotter1,60,2022-05-25 18:36:22,sdf,5.18,355.80,0.00,0.00,68.64,0.04,8.10,1.92
plotter1,60,2022-05-25 18:36:22,sdg,5.00,353.40,0.00,0.00,70.68,0.04,7.30,1.73
plotter1,60,2022-05-25 18:37:22,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:37:22,nvme0n1,5452.52,14975.80,37103.27,0.00,9.55,0.42,0.08,29.02
plotter1,60,2022-05-25 18:37:22,sda,3.65,262.53,0.00,0.00,71.93,0.02,4.25,0.98
plotter1,60,2022-05-25 18:37:22,sdb,5.88,473.20,0.00,0.00,80.43,0.05,7.97,2.06
plotter1,60,2022-05-25 18:37:22,sdc,3.37,231.20,0.00,0.00,68.67,0.03,8.78,1.40
plotter1,60,2022-05-25 18:37:22,sdd,4.25,282.80,0.00,0.00,66.54,0.02,4.62,1.28
plotter1,60,2022-05-25 18:37:22,sde,3.37,0.00,20.80,0.00,6.18,0.01,2.19,0.07
plotter1,60,2022-05-25 18:37:22,sde1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:37:22,sde2,3.37,0.00,20.80,0.00,6.18,0.01,2.19,0.07
plotter1,60,2022-05-25 18:37:22,sdf,7.47,574.33,0.00,0.00,76.92,0.04,5.15,2.14
plotter1,60,2022-05-25 18:37:22,sdg,6.22,430.13,0.00,0.00,69.19,0.03,4.25,1.75
plotter1,60,2022-05-25 18:38:22,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plotter1,60,2022-05-25 18:38:22,nvme0n1,4903.05,11250.60,36810.53,37171.20,17.38,0.36,0.07,23.17
plotter1,60,2022-05-25 18:38:22,sda,4.92,350.93,0.00,0.00,71.38,0.04,7.66,1.85
plotter1,60,2022-05-25 18:38:22,sdb,7.63,495.87,0.00,0.00,64.96,0.09,12.22,3.17
plotter1,60,2022-05-25 18:38:22,sdc,8.87,597.20,0.00,0.00,67.35,0.12,13.81,3.49
plotter1,60,2022-05-25 18:38:22,sdd,4.80,275.93,0.00,0.00,57.49,0.05,9.87,1.94
