# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-05-25 18:34:22,-1,1.31,0.00,2.33,4.23,0.00,92.14
plotter1,60,2022-05-25 18:35:22,-1,8.23,0.00,1.03,1.98,0.00,88.77
plotter1,60,2022-05-25 18:36:22,-1,23.42,0.00,0.65,2.94,0.00,72.98
plotter1,60,2022-05-25 18:37:22,-1,23.59,0.00,0.64,1.92,0.00,73.84
plotter1,60,2022-05-25 18:38:22,-1,22.65,0.00,0.72,2.70,0.00,73.93
plotter1,60,2022-05-25 18:39:22,-1,16.02,0.00,1.06,2.00,0.00,80.92
plotter1,60,2022-05-25 18:40:22,-1,18.49,0.00,1.06,1.97,0.00,78.49
plotter1,60,2022-05-25 18:41:22,-1,10.93,0.00,0.73,1.42,0.00,86.91
plotter1,60,2022-05-25 18:42:22,-1,12.20,0.00,0.75,1.39,0.00,85.66
plotter1,60,2022-05-25 18:43:22,-1,17.02,0.00,0.80,1.25,0.00,80.93
plotter1,60,2022-05-25 18:44:22,-1,26.78,0.00,0.61,1.69,0.00,70.93
plotter1,60,2022-05-25 18:45:22,-1,23.81,0.00,0.70,2.12,0.00,73.37
plotter1,60,2022-05-25 18:46:22,-1,17.55,0.00,1.03,2.37,0.00,79.06
plotter1,60,2022-05-25 18:47:22,-1,20.92,0.00,0.57,1.17,0.00,77.33
plotter1,60,2022-05-25 18:48:22,-1,23.65,0.00,0.64,1.35,0.00,74.36
plotter1,60,2022-05-25 18:49:22,-1,21.59,0.00,0.52,1.00,0.00,76.89
plotter1,60,2022-05-25 18:50:22,-1,23.44,0.00,0.52,1.46,0.00,74.58
plotter1,60,2022-05-25 18:51:22,-1,18.85,0.00,1.33,1.28,0.00,78.54
plotter1,60,2022-05-25 18:52:22,-1,15.99,0.00,1.60,1.65,0.00,80.76
plotter1,60,2022-05-25 18:53:22,-1,14.37,0.00,1.38,1.75,0.00,82.51
plotter1,60,2022-05-25 18:54:22,-1,15.85,0.00,1.73,0.98,0.00,81.44
plotter1,60,2022-05-25 18:55:22,-1,13.49,0.00,1.38,1.63,0.00,83.50
plotter1,60,2022-05-25 18:56:22,-1,15.86,0.00,1.48,1.61,0.00,81.05
plotter1,60,2022-05-25 18:57:22,-1,11.16,0.00,1.07,1.51,0.00,86.26
plotter1,60,2022-05-25 18:58:22,-1,16.23,0.00,1.62,0.73,0.00,81.41
plotter1,60,2022-05-25 18:59:22,-1,14.88,0.00,1.56,1.62,0.00,81.93
plotter1,60,2022-05-25 19:00:22,-1,9.53,0.00,1.06,1.52,0.00,87.89
plotter1,60,2022-05-25 19:01:22,-1,15.08,0.00,1.70,1.36,0.00,81.87
plotter1,60,2022-05-25 19:02:22,-1,12.66,0.00,0.88,1.36,0.00,85.09
plotter1,60,2022-05-25 19:03:22,-1,20.60,0.00,0.86,1.47,0.00,77.07
plotter1,60,2022-05-25 19:04:22,-1,20.41,0.00,0.86,0.90,0.00,77.82
plotter1,60,2022-05-25 19:05:22,-1,25.17,0.00,0.94,0.77,0.00,73.12
plotter1,60,2022-05-25 19:06:22,-1,23.29,0.00,0.91,1.39,0.00,74.41
plotter1,60,2022-05-25 19:07:22,-1,23.83,0.00,0.92,2.18,0.00,73.07
plotter1,60,2022-05-25 19:08:22,-1,20.23,0.00,0.84,1.17,0.00,77.75
plotter1,60,2022-05-25 19:09:22,-1,21.14,0.00,0.85,1.52,0.00,76.49
plotter1,60,2022-05-25 19:10:22,-1,14.84,0.00,0.68,0.97,0.00,83.51
plotter1,60,2022-05-25 19:11:22,-1,15.82,0.00,0.68,0.57,0.00,82.92
plotter1,60,2022-05-25 19:12:22,-1,22.48,0.00,0.95,1.29,0.00,75.28
plotter1,60,2022-05-25 19:13:22,-1,11.49,0.00,0.67,1.31,0.00,86.54
plotter1,60,2022-05-25 19:14:22,-1,12.50,0.00,0.68,2.46,0.00,84.36
plotter1,60,2022-05-25 19:15:22,-1,21.85,0.00,0.86,0.98,0.00,76.31
plotter1,60,2022-05-25 19:16:22,-1,14.89,0.00,0.70,1.23,0.00,83.18
plotter1,60,2022-05-25 19:17:22,-1,12.63,0.00,0.62,1.62,0.00,85.13
plotter1,60,2022-05-25 19:18:22,-1,19.96,0.00,0.84,1.68,0.00,77.52
plotter1,60,2022-05-25 19:19:22,-1,23.10,0.00,0.94,1.64,0.00,74.31
plotter1,60,2022-05-25 19:20:22,-1,16.01,0.00,1.19,1.66,0.00,81.14
plotter1,60,2022-05-25 19:21:22,-1,11.59,0.00,1.13,1.35,0.00,85.93
plotter1,60,2022-05-25 19:22:22,-1,12.30,0.00,1.14,1.39,0.00,85.17
plotter1,60,2022-05-25 19:23:22,-1,16.33,0.00,1.43,0.81,0.00,81.43
plotter1,60,2022-05-25 19:24:22,-1,18.79,0.00,1.36,1.10,0.00,78.75
plotter1,60,2022-05-25 19:25:22,-1,18.86,0.00,1.27,1.15,0.00,78.71
plotter1,60,2022-05-25 19:26:22,-1,12.43,0.00,0.84,1.19,0.00,85.54
plotter1,60,2022-05-25 19:27:22,-1,17.09,0.00,1.32,1.06,0.00,80.54
plotter1,60,2022-05-25 19:28:22,-1,11.86,0.00,1.39,1.38,0.00,85.37
plotter1,60,2022-05-25 19:29:22,-1,10.24,0.00,1.17,1.86,0.00,86.73
plotter1,60,2022-05-25 19:30:22,-1,15.75,0.00,1.53,1.54,0.00,81.18
plotter1,60,2022-05-25 19:31:22,-1,16.02,0.00,1.46,1.01,0.00,81.50
plotter1,60,2022-05-25 19:32:22,-1,14.13,0.00,1.13,1.12,0.00,83.61
plotter1,60,2022-05-25 19:33:22,-1,17.26,0.00,1.36,1.31,0.00,80.07
plotter1,60,2022-05-25 19:34:22,-1,12.57,0.00,1.07,1.08,0.00,85.28
plotter1,60,2022-05-25 19:35:22,-1,10.68,0.00,0.93,0.72,0.00,87.68
plotter1,60,2022-05-25 19:36:22,-1,15.12,0.00,1.30,1.12,0.00,82.46
plotter1,60,2022-05-25 19:37:22,-1,16.47,0.00,1.44,0.93,0.00,81.16
plotter1,60,2022-05-25 19:38:22,-1,17.40,0.00,1.31,1.05,0.00,80.25
plotter1,60,2022-05-25 19:39:22,-1,8.43,0.00,0.84,1.22,0.00,89.50
plotter1,60,2022-05-25 19:40:22,-1,12.53,0.00,1.06,0.67,0.00,85.74
plotter1,60,2022-05-25 19:41:22,-1,15.27,0.00,1.35,1.09,0.00,82.29
plotter1,60,2022-05-25 19:42:22,-1,17.95,0.00,1.35,1.19,0.00,79.51
plotter1,60,2022-05-25 19:43:22,-1,17.53,0.00,1.38,1.19,0.00,79.89
plotter1,60,2022-05-25 19:44:22,-1,9.32,0.00,0.80,0.95,0.00,88.93
plotter1,60,2022-05-25 19:45:22,-1,4.09,0.00,0.49,1.18,0.00,94.25
plotter1,60,2022-05-25 19:46:22,-1,15.87,0.00,1.30,1.59,0.00,81.24
plotter1,60,2022-05-25 19:47:22,-1,18.30,0.00,1.45,1.68,0.00,78.57
plotter1,60,2022-05-25 19:48:22,-1,15.53,0.00,1.20,1.07,0.00,82.19
plotter1,60,2022-05-25 19:49:22,-1,18.26,0.00,1.43,1.21,0.00,79.10
plotter1,60,2022-05-25 19:50:22,-1,16.80,0.00,1.55,1.43,0.00,80.21
plotter1,60,2022-05-25 19:51:22,-1,15.91,0.00,1.50,1.37,0.00,81.22
plotter1,60,2022-05-25 19:52:22,-1,15.41,0.00,1.55,1.34,0.00,81.70
plotter1,60,2022-05-25 19:53:22,-1,14.46,0.00,1.51,1.41,0.00,82.62
plotter1,60,2022-05-25 19:54:22,-1,17.68,0.00,1.40,1.37,0.00,79.55
plotter1,60,2022-05-25 19:55:22,-1,17.54,0.00,1.53,1.59,0.00,79.34
plotter1,60,2022-05-25 19:56:22,-1,14.37,0.00,1.24,1.62,0.00,82.77
plotter1,60,2022-05-25 19:57:22,-1,14.49,0.00,1.08,1.20,0.00,83.23
plotter1,60,2022-05-25 19:58:22,-1,18.12,0.00,1.51,2.14,0.00,78.23
plotter1,60,2022-05-25 19:59:22,-1,17.35,0.00,1.36,1.23,0.00,80.06
plotter1,60,2022-05-25 20:00:22,-1,19.07,0.00,1.40,1.48,0.00,78.05
plotter1,60,2022-05-25 20:01:22,-1,17.80,0.00,1.35,1.09,0.00,79.76
plotter1,60,2022-05-25 20:02:22,-1,15.97,0.00,1.15,1.93,0.00,80.95
plotter1,60,2022-05-25 20:03:22,-1,9.58,0.00,0.83,1.27,0.00,88.33
plotter1,60,2022-05-25 20:04:22,-1,17.04,0.00,1.33,1.62,0.00,80.02
plotter1,60,2022-05-25 20:05:22,-1,18.45,0.00,1.25,0.96,0.00,79.34
plotter1,60,2022-05-25 20:06:22,-1,24.14,0.00,0.74,0.91,0.00,74.21
plotter1,60,2022-05-25 20:07:22,-1,19.61,0.00,1.26,1.15,0.00,77.98
plotter1,60,2022-05-25 20:08:22,-1,18.28,0.00,1.42,0.94,0.00,79.35
plotter1,60,2022-05-25 20:09:22,-1,14.89,0.00,1.15,0.72,0.00,83.24
plotter1,60,2022-05-25 20:10:22,-1,17.12,0.00,0.60,0.69,0.00,81.60
plotter1,60,2022-05-25 20:11:22,-1,18.17,0.00,1.45,1.51,0.00,78.87
plotter1,60,2022-05-25 20:12:22,-1,17.46,0.00,1.47,1.40,0.00,79.67
plotter1,60,2022-05-25 20:13:22,-1,18.07,0.00,1.47,1.62,0.00,78.83
plotter1,60,2022-05-25 20:14:22,-1,11.41,0.00,0.95,1.04,0.00,86.60
plotter1,60,2022-05-25 20:15:22,-1,9.25,0.00,0.80,0.94,0.00,89.01
plotter1,60,2022-05-25 20:16:22,-1,18.72,0.00,1.51,1.10,0.00,78.67
plotter1,60,2022-05-25 20:17:22,-1,13.97,0.00,1.20,0.57,0.00,84.25
plotter1,60,2022-05-25 20:18:22,-1,14.86,0.00,1.32,1.27,0.00,82.55
plotter1,60,2022-05-25 20:19:22,-1,17.90,0.00,1.02,0.88,0.00,80.20
plotter1,60,2022-05-25 20:20:22,-1,15.60,0.00,0.53,0.75,0.00,83.13
plotter1,60,2022-05-25 20:21:22,-1,24.84,0.00,0.60,0.90,0.00,73.66
plotter1,60,2022-05-25 20:22:22,-1,26.19,0.00,0.59,1.21,0.00,72.01
plotter1,60,2022-05-25 20:23:22,-1,23.49,0.00,0.55,1.51,0.00,74.45
plotter1,60,2022-05-25 20:24:22,-1,19.53,0.00,0.52,1.06,0.00,78.88
plotter1,60,2022-05-25 20:25:22,-1,20.55,0.00,0.60,0.82,0.00,78.03
plotter1,60,2022-05-25 20:26:22,-1,23.15,0.00,0.64,0.68,0.00,75.53
plotter1,60,2022-05-25 20:27:22,-1,17.16,0.00,1.42,1.37,0.00,80.05
plotter1,60,2022-05-25 20:28:22,-1,10.10,0.00,0.82,0.38,0.00,88.70
plotter1,60,2022-05-25 20:29:22,-1,17.78,0.00,1.33,0.74,0.00,80.15
plotter1,60,2022-05-25 20:30:22,-1,18.38,0.00,1.43,0.81,0.00,79.37
plotter1,60,2022-05-25 20:31:22,-1,15.87,0.00,1.30,1.01,0.00,81.82
plotter1,60,2022-05-25 20:32:22,-1,15.58,0.00,1.29,1.53,0.00,81.60
plotter1,60,2022-05-25 20:33:22,-1,18.20,0.00,1.45,1.21,0.00,79.13
plotter1,60,2022-05-25 20:34:22,-1,14.69,0.00,1.27,0.85,0.00,83.19
plotter1,60,2022-05-25 20:35:22,-1,18.66,0.00,1.47,0.95,0.00,78.93
plotter1,60,2022-05-25 20:36:22,-1,16.56,0.00,1.38,1.50,0.00,80.56
plotter1,60,2022-05-25 20:37:22,-1,7.58,0.00,0.75,1.00,0.00,90.68
plotter1,60,2022-05-25 20:38:22,-1,12.59,0.00,1.06,1.16,0.00,85.19
plotter1,60,2022-05-25 20:39:22,-1,16.40,0.00,1.26,1.04,0.00,81.30
plotter1,60,2022-05-25 20:40:22,-1,18.64,0.00,1.47,1.35,0.00,78.53
plotter1,60,2022-05-25 20:41:22,-1,14.06,0.00,1.09,0.85,0.00,84.00
plotter1,60,2022-05-25 20:42:22,-1,13.88,0.00,1.10,1.80,0.00,83.22
plotter1,60,2022-05-25 20:43:22,-1,19.28,0.00,1.48,1.22,0.00,78.02
plotter1,60,2022-05-25 20:44:22,-1,19.33,0.00,1.43,1.43,0.00,77.81
plotter1,60,2022-05-25 20:45:22,-1,15.43,0.00,1.27,1.52,0.00,81.77
plotter1,60,2022-05-25 20:46:22,-1,8.45,0.00,0.76,0.91,0.00,89.88
plotter1,60,2022-05-25 20:47:22,-1,10.45,0.00,0.92,0.81,0.00,87.83
plotter1,60,2022-05-25 20:48:22,-1,16.80,0.00,1.29,2.24,0.00,79.67
plotter1,60,2022-05-25 20:49:22,-1,15.13,0.00,1.17,1.29,0.00,82.41
plotter1,60,2022-05-25 20:50:22,-1,16.27,0.00,1.25,2.04,0.00,80.44
plotter1,60,2022-05-25 20:51:22,-1,15.20,0.00,1.19,1.42,0.00,82.19
plotter1,60,2022-05-25 20:52:22,-1,18.10,0.00,1.37,0.74,0.00,79.80
plotter1,60,2022-05-25 20:53:22,-1,16.19,0.00,1.24,1.18,0.00,81.39
plotter1,60,2022-05-25 20:54:22,-1,15.55,0.00,1.16,0.88,0.00,82.41
plotter1,60,2022-05-25 20:55:22,-1,11.41,0.00,0.92,0.97,0.00,86.70
plotter1,60,2022-05-25 20:56:22,-1,17.75,0.00,1.33,0.93,0.00,79.99
plotter1,60,2022-05-25 20:57:22,-1,13.64,0.00,1.07,1.14,0.00,84.15
plotter1,60,2022-05-25 20:58:22,-1,14.39,0.00,1.10,0.81,0.00,83.70
plotter1,60,2022-05-25 20:59:22,-1,17.13,0.00,1.25,1.23,0.00,80.39
plotter1,60,2022-05-25 21:00:22,-1,14.00,0.00,1.11,1.52,0.00,83.37
plotter1,60,2022-05-25 21:01:22,-1,8.03,0.00,0.70,0.73,0.00,90.53
plotter1,60,2022-05-25 21:02:22,-1,13.06,0.00,1.11,1.12,0.00,84.70
plotter1,60,2022-05-25 21:03:22,-1,18.06,0.00,0.89,1.50,0.00,79.55
plotter1,60,2022-05-25 21:04:22,-1,13.86,0.00,0.98,0.79,0.00,84.37
plotter1,60,2022-05-25 21:05:22,-1,17.48,0.00,1.34,1.33,0.00,79.84
plotter1,60,2022-05-25 21:06:22,-1,21.67,0.00,1.22,0.96,0.00,76.15
plotter1,60,2022-05-25 21:07:22,-1,19.13,0.00,1.45,1.82,0.00,77.61
plotter1,60,2022-05-25 21:08:22,-1,9.83,0.00,0.93,1.01,0.00,88.23
plotter1,60,2022-05-25 21:09:22,-1,10.55,0.00,0.88,0.67,0.00,87.90
plotter1,60,2022-05-25 21:10:22,-1,17.78,0.00,1.28,1.17,0.00,79.77
plotter1,60,2022-05-25 21:11:22,-1,17.01,0.00,1.31,1.48,0.00,80.21
plotter1,60,2022-05-25 21:12:22,-1,17.06,0.00,1.24,1.09,0.00,80.61
plotter1,60,2022-05-25 21:13:22,-1,6.86,0.00,0.64,0.68,0.00,91.81
plotter1,60,2022-05-25 21:14:22,-1,16.22,0.00,1.32,1.15,0.00,81.32
