# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-03 01:18:39,208.48,195.82,12.52,0.15,19603.87,248.40,33.33
plotter1,60,2022-01-03 01:19:39,175.30,169.98,5.32,0.00,17533.87,84.67,0.00
plotter1,60,2022-01-03 01:20:39,228.30,217.62,10.63,0.05,21937.70,345.07,4.40
plotter1,60,2022-01-03 01:21:39,185.17,177.75,7.42,0.00,18697.07,120.40,0.00
plotter1,60,2022-01-03 01:22:39,191.15,186.32,4.83,0.00,18794.33,87.07,0.00
plotter1,60,2022-01-03 01:23:39,157.97,153.23,4.73,0.00,15818.13,80.00,0.00
plotter1,60,2022-01-03 01:24:39,172.22,167.08,5.13,0.00,17442.13,90.00,0.00
plotter1,60,2022-01-03 01:25:39,224.95,216.67,8.28,0.00,21262.08,311.73,0.00
plotter1,60,2022-01-03 01:26:39,175.63,170.33,5.30,0.00,17528.40,84.40,0.00
plotter1,60,2022-01-03 01:27:39,161.48,156.03,5.45,0.00,16237.90,88.00,0.00
plotter1,60,2022-01-03 01:28:39,210.00,204.42,5.58,0.00,20814.43,88.27,0.00
plotter1,60,2022-01-03 01:29:39,214.67,209.03,5.63,0.00,21711.75,85.33,0.00
plotter1,60,2022-01-03 01:30:39,209.72,199.28,10.43,0.00,19109.28,338.67,0.00
plotter1,60,2022-01-03 01:31:39,175.42,167.32,8.10,0.00,17493.07,119.33,0.00
plotter1,60,2022-01-03 01:32:39,210.45,205.68,4.77,0.00,21533.75,80.80,0.00
plotter1,60,2022-01-03 01:33:39,162.42,160.08,2.33,0.00,16980.93,41.87,0.00
plotter1,60,2022-01-03 01:34:39,172.53,170.08,2.45,0.00,17470.40,42.53,0.00
plotter1,60,2022-01-03 01:35:39,200.98,195.30,5.68,0.00,18920.77,274.80,0.00
plotter1,60,2022-01-03 01:36:39,185.38,182.33,3.05,0.00,18630.13,57.73,0.00
plotter1,60,2022-01-03 01:37:39,168.65,165.47,3.18,0.00,17123.87,56.40,0.00
plotter1,60,2022-01-03 01:38:39,170.27,166.88,3.38,0.00,17351.20,63.20,0.00
plotter1,60,2022-01-03 01:39:39,166.05,162.57,3.48,0.00,16518.13,63.20,0.00
plotter1,60,2022-01-03 01:40:39,174.62,168.48,6.13,0.00,16022.10,285.07,0.00
plotter1,60,2022-01-03 01:41:39,174.93,171.32,3.62,0.00,17766.13,64.13,0.00
plotter1,60,2022-01-03 01:42:39,157.32,153.75,3.57,0.00,15473.05,74.67,0.00
plotter1,60,2022-01-03 01:43:39,205.83,201.38,4.45,0.00,20846.13,117.60,0.00
plotter1,60,2022-01-03 01:44:39,188.48,184.77,3.72,0.00,18993.20,72.80,0.00
plotter1,60,2022-01-03 01:45:39,202.77,195.63,7.13,0.00,18896.63,300.27,0.00
plotter1,60,2022-01-03 01:46:39,151.55,144.30,7.25,0.00,14578.67,402.27,0.00
plotter1,60,2022-01-03 01:47:39,169.43,165.60,3.83,0.00,17380.67,72.40,0.00
plotter1,60,2022-01-03 01:48:39,199.08,194.95,4.13,0.00,19827.60,74.27,0.00
plotter1,60,2022-01-03 01:49:39,193.23,188.52,4.72,0.00,19234.67,80.93,0.00
plotter1,60,2022-01-03 01:50:39,202.25,194.65,7.60,0.00,18104.90,309.20,0.00
plotter1,60,2022-01-03 01:51:39,182.20,176.92,5.28,0.00,18288.13,89.73,0.00
plotter1,60,2022-01-03 01:52:39,188.58,184.18,4.40,0.00,18840.57,83.73,0.00
plotter1,60,2022-01-03 01:53:39,142.43,140.10,2.33,0.00,14374.00,38.93,0.00
plotter1,60,2022-01-03 01:54:39,153.62,151.08,2.53,0.00,15200.93,44.27,0.00
plotter1,60,2022-01-03 01:55:39,200.27,194.75,5.52,0.00,18541.30,273.07,0.00
plotter1,60,2022-01-03 01:56:39,157.68,154.58,3.10,0.00,15631.60,57.33,0.00
plotter1,60,2022-01-03 01:57:39,176.57,172.83,3.73,0.00,17831.60,63.20,0.00
plotter1,60,2022-01-03 01:58:39,191.60,188.02,3.58,0.00,19312.13,63.73,0.00
plotter1,60,2022-01-03 01:59:39,163.98,159.88,4.10,0.00,16895.73,71.33,0.00
plotter1,60,2022-01-03 02:00:39,200.25,193.50,6.75,0.00,18979.70,291.47,0.00
plotter1,60,2022-01-03 02:01:39,171.78,164.75,7.03,0.00,16638.80,392.27,0.00
plotter1,60,2022-01-03 02:02:39,189.00,184.65,4.35,0.00,18698.42,88.13,0.00
plotter1,60,2022-01-03 02:03:39,169.50,164.82,4.68,0.00,17017.60,95.87,0.00
plotter1,60,2022-01-03 02:04:39,175.67,171.98,3.68,0.00,17938.80,70.53,0.00
plotter1,60,2022-01-03 02:05:39,200.77,193.82,6.95,0.00,18440.23,300.93,0.00
plotter1,60,2022-01-03 02:06:39,166.58,161.97,4.62,0.00,16286.80,82.40,0.00
plotter1,60,2022-01-03 02:07:39,188.80,184.75,4.05,0.00,19051.20,74.40,0.00
plotter1,60,2022-01-03 02:08:39,182.57,178.27,4.30,0.00,18442.40,76.80,0.00
plotter1,60,2022-01-03 02:09:39,173.38,168.88,4.50,0.00,17957.33,78.13,0.00
plotter1,60,2022-01-03 02:10:39,190.38,182.45,7.93,0.00,17086.63,314.13,0.00
plotter1,60,2022-01-03 02:11:39,193.68,188.52,5.17,0.00,19238.13,90.27,0.00
plotter1,60,2022-01-03 02:12:39,185.28,180.53,4.75,0.00,18583.67,83.87,0.00
plotter1,60,2022-01-03 02:13:39,177.98,175.75,2.23,0.00,18169.20,45.33,0.00
plotter1,60,2022-01-03 02:14:39,169.77,167.22,2.55,0.00,17067.87,44.27,0.00
plotter1,60,2022-01-03 02:15:39,172.95,167.23,5.72,0.00,15984.63,274.27,0.00
plotter1,60,2022-01-03 02:16:39,186.58,183.42,3.17,0.00,19137.73,60.27,0.00
plotter1,60,2022-01-03 02:17:39,186.92,184.08,2.83,0.00,18964.13,54.80,0.00
plotter1,60,2022-01-03 02:18:39,176.62,173.15,3.47,0.00,17349.20,59.87,0.00
plotter1,60,2022-01-03 02:19:39,193.33,190.22,3.12,0.00,19761.73,56.40,0.00
plotter1,60,2022-01-03 02:20:39,207.67,201.18,6.48,0.00,19211.83,288.13,0.00
plotter1,60,2022-01-03 02:21:39,172.30,168.97,3.33,0.00,17541.07,61.47,0.00
plotter1,60,2022-01-03 02:22:39,175.07,171.42,3.65,0.00,17304.57,64.53,0.00
plotter1,60,2022-01-03 02:23:39,190.82,187.30,3.52,0.00,19423.47,72.93,0.00
plotter1,60,2022-01-03 02:24:39,147.98,144.53,3.45,0.00,14963.87,69.07,0.00
plotter1,60,2022-01-03 02:25:39,203.62,196.52,7.10,0.00,18584.37,304.27,0.00
plotter1,60,2022-01-03 02:26:39,189.22,185.38,3.83,0.00,19533.07,74.13,0.00
plotter1,60,2022-01-03 02:27:39,154.77,150.35,4.42,0.00,15578.53,77.87,0.00
plotter1,60,2022-01-03 02:28:39,204.68,197.82,6.87,0.00,20287.33,362.13,0.00
plotter1,60,2022-01-03 02:29:39,151.50,146.98,4.52,0.00,15454.80,109.73,0.00
plotter1,60,2022-01-03 02:30:39,172.55,164.13,8.42,0.00,15713.57,322.80,0.00
plotter1,60,2022-01-03 02:31:39,169.52,164.30,5.22,0.00,16756.13,98.40,0.00
plotter1,60,2022-01-03 02:32:39,166.97,160.82,6.15,0.00,15876.52,102.53,0.00
plotter1,60,2022-01-03 02:33:39,190.43,186.10,4.33,0.00,19507.87,79.47,0.00
plotter1,60,2022-01-03 02:34:39,154.58,152.07,2.52,0.00,15993.33,44.00,0.00
plotter1,60,2022-01-03 02:35:39,182.78,177.05,5.73,0.00,16780.37,273.73,0.00
plotter1,60,2022-01-03 02:36:39,175.03,172.35,2.68,0.00,17673.60,49.73,0.00
plotter1,60,2022-01-03 02:37:39,182.80,179.65,3.15,0.00,18848.80,57.33,0.00
plotter1,60,2022-01-03 02:38:39,152.78,149.42,3.37,0.00,15022.00,60.00,0.00
plotter1,60,2022-01-03 02:39:39,152.28,146.88,5.35,0.05,15137.07,106.67,4.40
plotter1,60,2022-01-03 02:40:39,182.27,175.93,6.33,0.00,16701.03,287.60,0.00
plotter1,60,2022-01-03 02:41:39,180.18,176.62,3.57,0.00,18110.93,63.73,0.00
plotter1,60,2022-01-03 02:42:39,200.03,196.75,3.28,0.00,19734.42,64.53,0.00
plotter1,60,2022-01-03 02:43:39,169.42,166.05,3.37,0.00,16870.13,75.47,0.00
plotter1,60,2022-01-03 02:44:39,165.73,161.92,3.82,0.00,16508.53,79.73,0.00
plotter1,60,2022-01-03 02:45:39,206.10,199.28,6.82,0.00,19210.90,306.80,0.00
plotter1,60,2022-01-03 02:46:39,159.73,152.30,7.43,0.00,15740.93,408.13,0.00
plotter1,60,2022-01-03 02:47:39,164.87,160.38,4.48,0.00,16515.60,83.07,0.00
plotter1,60,2022-01-03 02:48:39,166.25,161.92,4.33,0.00,16436.40,84.27,0.00
plotter1,60,2022-01-03 02:49:39,186.50,181.73,4.77,0.00,18127.33,85.47,0.00
plotter1,60,2022-01-03 02:50:39,166.75,158.70,8.05,0.00,14864.90,318.93,0.00
plotter1,60,2022-01-03 02:51:39,173.48,167.15,6.33,0.00,16977.87,106.27,0.00
plotter1,60,2022-01-03 02:52:39,169.80,165.27,4.53,0.00,16937.93,81.87,0.00
plotter1,60,2022-01-03 02:53:39,174.03,169.45,4.58,0.00,17452.67,86.27,0.00
plotter1,60,2022-01-03 02:54:39,169.50,167.48,2.02,0.00,17013.47,42.13,0.00
plotter1,60,2022-01-03 02:55:39,186.65,181.50,5.15,0.00,17345.97,272.27,0.00
plotter1,60,2022-01-03 02:56:39,159.62,156.90,2.72,0.00,16040.27,53.47,0.00
plotter1,60,2022-01-03 02:57:39,171.48,168.27,3.22,0.00,17071.87,62.67,0.00
plotter1,60,2022-01-03 02:58:39,167.17,164.13,3.03,0.00,16845.87,62.40,0.00
plotter1,60,2022-01-03 02:59:39,178.43,175.53,2.90,0.00,18127.87,61.47,0.00
plotter1,60,2022-01-03 03:00:39,212.23,205.83,6.40,0.00,19480.77,293.73,0.00
plotter1,60,2022-01-03 03:01:39,182.28,178.97,3.32,0.00,18491.33,66.27,0.00
plotter1,60,2022-01-03 03:02:39,159.28,155.87,3.42,0.00,16120.33,66.80,0.00
plotter1,60,2022-01-03 03:03:39,180.18,176.73,3.45,0.00,18152.13,78.27,0.00
plotter1,60,2022-01-03 03:04:39,172.90,169.43,3.47,0.00,17469.60,75.20,0.00
plotter1,60,2022-01-03 03:05:39,183.62,176.68,6.93,0.00,17117.83,308.00,0.00
plotter1,60,2022-01-03 03:06:39,197.73,193.15,4.58,0.00,19494.80,83.47,0.00
plotter1,60,2022-01-03 03:07:39,187.58,183.37,4.22,0.00,18939.33,78.93,0.00
plotter1,60,2022-01-03 03:08:39,200.78,196.73,4.05,0.00,20312.40,76.40,0.00
plotter1,60,2022-01-03 03:09:39,133.18,128.70,4.48,0.00,13266.40,83.73,0.00
plotter1,60,2022-01-03 03:10:39,174.02,166.42,7.60,0.00,15940.90,310.67,0.00
plotter1,60,2022-01-03 03:11:39,165.92,161.12,4.80,0.00,17053.87,87.73,0.00
plotter1,60,2022-01-03 03:12:39,194.73,190.30,4.43,0.00,19264.47,83.47,0.00
plotter1,60,2022-01-03 03:13:39,157.62,150.35,7.27,0.00,15215.47,411.20,0.00
plotter1,60,2022-01-03 03:14:39,151.68,149.52,2.17,0.00,15464.67,41.07,0.00
plotter1,60,2022-01-03 03:15:39,186.22,180.82,5.40,0.00,17165.57,273.20,0.00
plotter1,60,2022-01-03 03:16:39,153.65,151.15,2.50,0.00,15305.87,51.60,0.00
plotter1,60,2022-01-03 03:17:39,145.52,142.92,2.60,0.00,14781.33,54.80,0.00
plotter1,60,2022-01-03 03:18:39,167.43,164.18,3.25,0.00,16907.07,62.27,0.00
plotter1,60,2022-01-03 03:19:39,147.33,144.10,3.23,0.00,14713.20,61.73,0.00
