# hostname,interval,timestamp,CPU,MHz
plotter1,60,2022-01-03 01:18:39,-1,3762.47
plotter1,60,2022-01-03 01:19:39,-1,3762.50
plotter1,60,2022-01-03 01:20:39,-1,3907.16
plotter1,60,2022-01-03 01:21:39,-1,4407.87
plotter1,60,2022-01-03 01:22:39,-1,4023.49
plotter1,60,2022-01-03 01:23:39,-1,4255.70
plotter1,60,2022-01-03 01:24:39,-1,4385.12
plotter1,60,2022-01-03 01:25:39,-1,3757.73
plotter1,60,2022-01-03 01:26:39,-1,4256.69
plotter1,60,2022-01-03 01:27:39,-1,4293.07
plotter1,60,2022-01-03 01:28:39,-1,3762.59
plotter1,60,2022-01-03 01:29:39,-1,3762.58
plotter1,60,2022-01-03 01:30:39,-1,3758.69
plotter1,60,2022-01-03 01:31:39,-1,4315.09
plotter1,60,2022-01-03 01:32:39,-1,3762.53
plotter1,60,2022-01-03 01:33:39,-1,4238.46
plotter1,60,2022-01-03 01:34:39,-1,4337.54
plotter1,60,2022-01-03 01:35:39,-1,3762.73
plotter1,60,2022-01-03 01:36:39,-1,4261.37
plotter1,60,2022-01-03 01:37:39,-1,4300.45
plotter1,60,2022-01-03 01:38:39,-1,3762.72
plotter1,60,2022-01-03 01:39:39,-1,4302.63
plotter1,60,2022-01-03 01:40:39,-1,3681.22
plotter1,60,2022-01-03 01:41:39,-1,4331.25
plotter1,60,2022-01-03 01:42:39,-1,3833.92
plotter1,60,2022-01-03 01:43:39,-1,3531.24
plotter1,60,2022-01-03 01:44:39,-1,4253.93
plotter1,60,2022-01-03 01:45:39,-1,3531.29
plotter1,60,2022-01-03 01:46:39,-1,3531.28
plotter1,60,2022-01-03 01:47:39,-1,4331.21
plotter1,60,2022-01-03 01:48:39,-1,4239.05
plotter1,60,2022-01-03 01:49:39,-1,4352.85
plotter1,60,2022-01-03 01:50:39,-1,3758.95
plotter1,60,2022-01-03 01:51:39,-1,4220.05
plotter1,60,2022-01-03 01:52:39,-1,4228.66
plotter1,60,2022-01-03 01:53:39,-1,3843.89
plotter1,60,2022-01-03 01:54:39,-1,4270.88
plotter1,60,2022-01-03 01:55:39,-1,4265.57
plotter1,60,2022-01-03 01:56:39,-1,4252.30
plotter1,60,2022-01-03 01:57:39,-1,4317.90
plotter1,60,2022-01-03 01:58:39,-1,3762.78
plotter1,60,2022-01-03 01:59:39,-1,4258.46
plotter1,60,2022-01-03 02:00:39,-1,3681.43
plotter1,60,2022-01-03 02:01:39,-1,3843.76
plotter1,60,2022-01-03 02:02:39,-1,4229.31
plotter1,60,2022-01-03 02:03:39,-1,3762.04
plotter1,60,2022-01-03 02:04:39,-1,3975.71
plotter1,60,2022-01-03 02:05:39,-1,3841.28
plotter1,60,2022-01-03 02:06:39,-1,3993.00
plotter1,60,2022-01-03 02:07:39,-1,3826.95
plotter1,60,2022-01-03 02:08:39,-1,3760.51
plotter1,60,2022-01-03 02:09:39,-1,4241.20
plotter1,60,2022-01-03 02:10:39,-1,3914.40
plotter1,60,2022-01-03 02:11:39,-1,4254.91
plotter1,60,2022-01-03 02:12:39,-1,3834.91
plotter1,60,2022-01-03 02:13:39,-1,4294.13
plotter1,60,2022-01-03 02:14:39,-1,3493.14
plotter1,60,2022-01-03 02:15:39,-1,4268.96
plotter1,60,2022-01-03 02:16:39,-1,3885.18
plotter1,60,2022-01-03 02:17:39,-1,4207.46
plotter1,60,2022-01-03 02:18:39,-1,3947.30
plotter1,60,2022-01-03 02:19:39,-1,4194.70
plotter1,60,2022-01-03 02:20:39,-1,3681.26
