# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-03 01:18:39,lo,20.82,20.82,11.47,11.47,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:18:39,enp6s0,676.13,993.88,356.91,1237.85,0.00,0.00,0.42,0.41
plotter1,60,2022-01-03 01:19:39,lo,6.60,6.60,5.01,5.01,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:19:39,enp6s0,793.35,1145.68,373.59,1335.69,0.00,0.00,0.40,0.44
plotter1,60,2022-01-03 01:20:39,lo,10.88,10.88,8.62,8.62,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:20:39,enp6s0,818.03,1343.40,304.14,1657.94,0.00,0.00,0.42,0.54
plotter1,60,2022-01-03 01:21:39,lo,6.47,6.47,7.11,7.11,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:21:39,enp6s0,718.50,1160.55,304.67,1425.56,0.00,0.00,0.42,0.47
plotter1,60,2022-01-03 01:22:39,lo,4.10,4.10,5.60,5.60,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:22:39,enp6s0,692.20,1100.43,294.58,1400.95,0.00,0.00,0.40,0.46
plotter1,60,2022-01-03 01:23:39,lo,4.10,4.10,5.77,5.77,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:23:39,enp6s0,642.82,1015.52,284.52,1235.84,0.00,0.00,0.42,0.40
plotter1,60,2022-01-03 01:24:39,lo,3.43,3.43,4.13,4.13,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:24:39,enp6s0,694.37,1093.80,281.15,1342.41,0.00,0.00,0.42,0.44
plotter1,60,2022-01-03 01:25:39,lo,4.03,4.03,5.69,5.69,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:25:39,enp6s0,798.33,1286.20,302.98,1615.38,0.00,0.00,0.42,0.53
plotter1,60,2022-01-03 01:26:39,lo,4.13,4.13,5.73,5.73,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:26:39,enp6s0,706.07,1078.52,304.30,1311.34,0.00,0.00,0.40,0.43
plotter1,60,2022-01-03 01:27:39,lo,3.53,3.53,4.54,4.54,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:27:39,enp6s0,661.33,1061.63,270.12,1295.76,0.00,0.00,0.42,0.42
plotter1,60,2022-01-03 01:28:39,lo,4.10,4.10,6.22,6.22,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:28:39,enp6s0,749.53,1243.42,285.16,1558.75,0.00,0.00,0.42,0.51
plotter1,60,2022-01-03 01:29:39,lo,3.90,3.90,5.70,5.70,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:29:39,enp6s0,782.98,1325.02,306.05,1674.42,0.00,0.00,0.42,0.55
plotter1,60,2022-01-03 01:30:39,lo,3.73,3.73,4.70,4.70,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:30:39,enp6s0,739.05,1172.47,305.27,1458.06,0.00,0.00,0.42,0.48
plotter1,60,2022-01-03 01:31:39,lo,4.23,4.23,6.54,6.54,0.00,0.00,0.00,0.00
plotter1,60,2022-01-03 01:31:39,enp6s0,689.17,1084.75,289.83,1334.61,0.00,0.00,0.42,0.44
plotter1,60,2022-01-03 01:32:39,lo,3.87,3.87,5.44,5.44,0.00,0.00,0.00,0.00
