# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-03 01:18:39,1,847,5.21,4.72,5.51,0
plotter1,60,2022-01-03 01:19:39,1,846,4.80,4.69,5.45,6
plotter1,60,2022-01-03 01:20:39,3,849,8.59,5.70,5.74,0
plotter1,60,2022-01-03 01:21:39,10,850,10.24,6.76,6.11,4
plotter1,60,2022-01-03 01:22:39,5,849,9.94,7.44,6.39,3
plotter1,60,2022-01-03 01:23:39,8,849,7.86,7.29,6.40,0
plotter1,60,2022-01-03 01:24:39,8,848,7.66,7.36,6.49,8
plotter1,60,2022-01-03 01:25:39,1,848,10.62,8.16,6.81,4
plotter1,60,2022-01-03 01:26:39,9,848,9.25,8.25,6.93,0
plotter1,60,2022-01-03 01:27:39,8,848,8.54,8.35,7.05,8
plotter1,60,2022-01-03 01:28:39,0,848,8.46,8.42,7.16,0
plotter1,60,2022-01-03 01:29:39,1,848,8.23,8.39,7.23,0
plotter1,60,2022-01-03 01:30:39,1,848,7.33,8.20,7.25,0
plotter1,60,2022-01-03 01:31:39,8,847,10.19,8.82,7.52,0
plotter1,60,2022-01-03 01:32:39,2,847,9.30,8.81,7.60,0
plotter1,60,2022-01-03 01:33:39,8,847,6.91,8.17,7.45,1
plotter1,60,2022-01-03 01:34:39,8,848,9.74,8.87,7.74,0
plotter1,60,2022-01-03 01:35:39,1,849,8.49,8.65,7.74,0
plotter1,60,2022-01-03 01:36:39,1,849,7.22,8.31,7.68,0
plotter1,60,2022-01-03 01:37:39,9,847,9.81,8.83,7.90,3
plotter1,60,2022-01-03 01:38:39,1,849,8.14,8.49,7.84,0
plotter1,60,2022-01-03 01:39:39,8,848,7.37,8.30,7.82,0
plotter1,60,2022-01-03 01:40:39,0,847,7.50,8.17,7.80,8
plotter1,60,2022-01-03 01:41:39,8,847,7.42,7.93,7.74,0
plotter1,60,2022-01-03 01:42:39,1,847,8.30,8.07,7.80,0
plotter1,60,2022-01-03 01:43:39,0,849,7.17,7.91,7.77,0
plotter1,60,2022-01-03 01:44:39,9,850,7.34,7.86,7.76,0
plotter1,60,2022-01-03 01:45:39,0,850,7.35,7.83,7.77,0
plotter1,60,2022-01-03 01:46:39,0,850,5.85,7.32,7.59,0
plotter1,60,2022-01-03 01:47:39,8,849,7.80,7.63,7.68,0
plotter1,60,2022-01-03 01:48:39,8,849,7.10,7.49,7.63,8
plotter1,60,2022-01-03 01:49:39,8,848,7.98,7.68,7.69,0
plotter1,60,2022-01-03 01:50:39,1,847,7.97,7.85,7.75,8
plotter1,60,2022-01-03 01:51:39,8,847,7.95,7.89,7.78,1
plotter1,60,2022-01-03 01:52:39,9,847,8.90,8.19,7.89,0
plotter1,60,2022-01-03 01:53:39,2,847,9.03,8.23,7.92,0
plotter1,60,2022-01-03 01:54:39,9,847,10.36,8.79,8.13,8
plotter1,60,2022-01-03 01:55:39,9,846,10.66,9.10,8.28,0
plotter1,60,2022-01-03 01:56:39,8,847,8.54,8.74,8.20,0
plotter1,60,2022-01-03 01:57:39,9,848,9.35,8.86,8.27,8
plotter1,60,2022-01-03 01:58:39,1,848,8.43,8.68,8.25,0
plotter1,60,2022-01-03 01:59:39,8,848,8.55,8.63,8.26,0
plotter1,60,2022-01-03 02:00:39,1,849,7.85,8.47,8.23,0
plotter1,60,2022-01-03 02:01:39,1,848,7.16,8.23,8.17,8
plotter1,60,2022-01-03 02:02:39,8,848,7.69,8.19,8.16,0
plotter1,60,2022-01-03 02:03:39,1,848,7.24,8.04,8.11,0
plotter1,60,2022-01-03 02:04:39,5,849,6.42,7.70,7.99,0
plotter1,60,2022-01-03 02:05:39,1,849,7.36,7.75,8.00,0
plotter1,60,2022-01-03 02:06:39,4,850,8.10,7.82,8.00,0
plotter1,60,2022-01-03 02:07:39,2,849,8.69,8.09,8.08,0
plotter1,60,2022-01-03 02:08:39,2,849,9.18,8.27,8.14,0
plotter1,60,2022-01-03 02:09:39,8,849,10.38,8.70,8.29,0
plotter1,60,2022-01-03 02:10:39,3,850,9.77,8.83,8.37,8
plotter1,60,2022-01-03 02:11:39,9,851,7.41,8.37,8.24,0
plotter1,60,2022-01-03 02:12:39,2,848,7.27,8.16,8.18,8
plotter1,60,2022-01-03 02:13:39,9,849,7.88,8.19,8.18,3
plotter1,60,2022-01-03 02:14:39,0,849,9.38,8.62,8.33,0
plotter1,60,2022-01-03 02:15:39,8,848,8.24,8.50,8.32,0
plotter1,60,2022-01-03 02:16:39,4,848,8.60,8.46,8.31,8
plotter1,60,2022-01-03 02:17:39,9,848,9.56,8.77,8.43,8
plotter1,60,2022-01-03 02:18:39,6,848,9.26,8.85,8.48,8
plotter1,60,2022-01-03 02:19:39,7,848,8.30,8.76,8.47,0
plotter1,60,2022-01-03 02:20:39,0,849,9.64,9.01,8.58,8
plotter1,60,2022-01-03 02:21:39,8,849,7.66,8.64,8.48,0
plotter1,60,2022-01-03 02:22:39,2,849,7.31,8.32,8.38,0
plotter1,60,2022-01-03 02:23:39,8,850,10.24,9.00,8.61,3
plotter1,60,2022-01-03 02:24:39,9,848,8.88,8.87,8.59,0
plotter1,60,2022-01-03 02:25:39,2,848,7.92,8.61,8.52,8
plotter1,60,2022-01-03 02:26:39,8,849,10.38,9.05,8.67,8
plotter1,60,2022-01-03 02:27:39,2,849,9.86,9.11,8.71,0
plotter1,60,2022-01-03 02:28:39,2,849,8.50,8.87,8.66,0
plotter1,60,2022-01-03 02:29:39,3,849,7.30,8.54,8.56,0
plotter1,60,2022-01-03 02:30:39,8,850,9.55,8.89,8.67,0
plotter1,60,2022-01-03 02:31:39,1,848,8.58,8.70,8.62,8
