# hostname,interval,timestamp,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
plotter1,60,2022-01-03 01:18:39,128010248,128841564,1298792,0.99,164676,727580,4520356,1.72,180668,1571868,92
plotter1,60,2022-01-03 01:19:39,127372708,128729992,1410872,1.07,166516,1252116,4476396,1.70,195988,2191368,200
plotter1,60,2022-01-03 01:20:39,126473156,128488264,1634288,1.24,167116,1927192,6039212,2.30,222404,3043796,4
plotter1,60,2022-01-03 01:21:39,125395924,127973020,2128156,1.62,168060,2509280,6074908,2.31,244340,4096452,4
plotter1,60,2022-01-03 01:22:39,124799756,127940288,2139244,1.62,169976,3092264,6101796,2.32,267828,4665588,132
plotter1,60,2022-01-03 01:23:39,124278032,127893888,2164156,1.64,171236,3587808,6130088,2.33,291136,5152000,100
plotter1,60,2022-01-03 01:24:39,123717228,127856404,2182920,1.66,172844,4127972,6153780,2.34,319428,5681836,12
plotter1,60,2022-01-03 01:25:39,123084432,127860252,2158836,1.64,173744,4784220,6179500,2.35,348692,6318276,104
plotter1,60,2022-01-03 01:26:39,122496072,127799048,2198524,1.67,173988,5332624,6208764,2.36,375360,6852224,208
plotter1,60,2022-01-03 01:27:39,121967056,127757316,2221260,1.69,177564,5835244,6236084,2.37,400976,7345208,120
plotter1,60,2022-01-03 01:28:39,121324828,127739704,2220144,1.69,186104,6470248,6259380,2.38,441108,7960596,4
plotter1,60,2022-01-03 01:29:39,120666412,127732756,2208024,1.68,190212,7136580,6284212,2.39,479836,8598596,112
plotter1,60,2022-01-03 01:30:39,120054848,127695404,2224512,1.69,191016,7730936,6311752,2.40,520472,9160028,124
plotter1,60,2022-01-03 01:31:39,119498248,127663724,2235164,1.70,191260,8276628,6338264,2.41,547964,9684568,8
plotter1,60,2022-01-03 01:32:39,118845776,127659180,2220672,1.69,191928,8942832,6362848,2.42,576896,10330276,8
plotter1,60,2022-01-03 01:33:39,118308372,127630536,2232436,1.70,192148,9468232,6383084,2.43,600688,10835440,8
plotter1,60,2022-01-03 01:34:39,117735552,127582752,2261136,1.72,192444,10011960,6416252,2.44,627512,11368564,56
plotter1,60,2022-01-03 01:35:39,117141276,127555956,2267392,1.72,192888,10599480,6443028,2.45,653604,11939040,80
plotter1,60,2022-01-03 01:36:39,116560396,127534320,2268632,1.72,193136,11178952,6469408,2.46,681832,12497700,52
plotter1,60,2022-01-03 01:37:39,116020508,127506388,2274800,1.73,193624,11711848,6494628,2.47,709492,13007800,144
plotter1,60,2022-01-03 01:38:39,115445524,127453760,2307784,1.75,193872,12254012,6523452,2.48,736988,13542696,84
plotter1,60,2022-01-03 01:39:39,114934740,127439716,2303236,1.75,194132,12768896,6545988,2.49,761636,14039612,0
plotter1,60,2022-01-03 01:40:39,114427400,127412308,2310124,1.75,194756,13268752,6572500,2.50,789400,14519552,136
plotter1,60,2022-01-03 01:41:39,113868568,127387156,2318472,1.76,195872,13818164,6594020,2.51,815012,15052408,68
plotter1,60,2022-01-03 01:42:39,113373244,127356172,2331104,1.77,200028,14296728,6617456,2.52,842680,15513728,80
plotter1,60,2022-01-03 01:43:39,112724820,127334300,2334776,1.77,200552,14940676,6640248,2.53,872396,16133304,100
plotter1,60,2022-01-03 01:44:39,112138816,127318204,2333440,1.77,200780,15527768,6663040,2.54,899600,16702660,188
plotter1,60,2022-01-03 01:45:39,111539988,127286128,2347696,1.78,201092,16112144,6686232,2.54,927156,17270500,192
plotter1,60,2022-01-03 01:46:39,111058960,127246984,2371068,1.80,201440,16569468,6709024,2.55,952544,17717392,80
plotter1,60,2022-01-03 01:47:39,110523860,127233420,2370612,1.80,201636,17104616,6726824,2.56,976004,18236124,92
plotter1,60,2022-01-03 01:48:39,109898652,127201972,2384016,1.81,201868,17716112,6750260,2.57,1003820,18827016,200
plotter1,60,2022-01-03 01:49:39,109303404,127185072,2380516,1.81,202108,18314660,6776384,2.58,1033032,19402776,200
plotter1,60,2022-01-03 01:50:39,108716224,127139996,2407492,1.83,202388,18874908,6813136,2.59,1061276,19952424,180
plotter1,60,2022-01-03 01:51:39,108130048,127103352,2424796,1.84,202624,19443632,6838232,2.60,1088768,20502996,104
plotter1,60,2022-01-03 01:52:39,107536080,127076680,2430808,1.85,202904,20031140,6863972,2.61,1117308,21076716,36
plotter1,60,2022-01-03 01:53:39,107078400,127050384,2435692,1.85,203156,20483760,6891764,2.62,1143380,21512324,108
plotter1,60,2022-01-03 01:54:39,106597396,127025504,2441632,1.85,203388,20958664,6915580,2.63,1167872,21970688,56
plotter1,60,2022-01-03 01:55:39,106011052,126995304,2450856,1.86,203780,21535324,6942608,2.64,1196576,22528088,124
plotter1,60,2022-01-03 01:56:39,105493736,126948232,2476892,1.88,203980,22025196,6970144,2.65,1222788,23000976,60
plotter1,60,2022-01-03 01:57:39,104933528,126927720,2476208,1.88,204212,22580804,6996528,2.66,1252092,23530976,68
plotter1,60,2022-01-03 01:58:39,104333236,126912440,2471260,1.88,204752,23180464,7022784,2.67,1282332,24109464,68
plotter1,60,2022-01-03 01:59:39,103772252,126863124,2499540,1.90,204968,23708232,7050576,2.68,1309884,24623928,52
plotter1,60,2022-01-03 02:00:39,103177028,126843360,2498848,1.90,205204,24298724,7075428,2.69,1339724,25193724,8
plotter1,60,2022-01-03 02:01:39,102611872,126782640,2539064,1.93,205424,24818776,7103664,2.70,1369416,25695696,80
plotter1,60,2022-01-03 02:02:39,102017700,126755116,2546452,1.93,205648,25400424,7128316,2.71,1398800,26253956,80
plotter1,60,2022-01-03 02:03:39,101496648,126750396,2537696,1.93,205848,25925180,7145240,2.72,1423128,26759468,8
plotter1,60,2022-01-03 02:04:39,100933684,126730512,2543188,1.93,206068,26477572,7164116,2.73,1449244,27291188,184
plotter1,60,2022-01-03 02:05:39,100347508,126702464,2554516,1.94,206308,27047252,7185020,2.73,1476968,27842224,108
plotter1,60,2022-01-03 02:06:39,99824632,126672484,2563352,1.95,206508,27556508,7212964,2.74,1505024,28337276,4
plotter1,60,2022-01-03 02:07:39,99201140,126626140,2588572,1.97,206740,28149124,7239864,2.75,1535080,28909032,104
plotter1,60,2022-01-03 02:08:39,98628264,126611648,2583020,1.96,206968,28722324,7265216,2.76,1563752,29460140,188
plotter1,60,2022-01-03 02:09:39,98054020,126581208,2592676,1.97,207196,29281936,7292576,2.77,1592480,30000544,188
plotter1,60,2022-01-03 02:10:39,97499520,126543780,2609588,1.98,207424,29814616,7318392,2.78,1621684,30510496,8
plotter1,60,2022-01-03 02:11:39,96856016,126482796,2652500,2.01,207648,30409576,7381212,2.81,1651344,31112056,8
plotter1,60,2022-01-03 02:12:39,96289096,126480100,2636044,2.00,207908,30987440,7366140,2.80,1678984,31647252,344
plotter1,60,2022-01-03 02:13:39,95709788,126449484,2648388,2.01,208116,31549372,7389172,2.81,1707340,32188308,128
plotter1,60,2022-01-03 02:14:39,95180844,126438924,2638636,2.00,208316,32083416,7416224,2.82,1735360,32703604,64
plotter1,60,2022-01-03 02:15:39,94664460,126406368,2652492,2.01,208540,32581480,7440644,2.83,1762956,33180572,60
plotter1,60,2022-01-03 02:16:39,94068488,126388788,2653552,2.01,208756,33171008,7461672,2.84,1791880,33746328,132
plotter1,60,2022-01-03 02:17:39,93463564,126358012,2662280,2.02,208952,33761748,7488872,2.85,1823148,34311168,140
plotter1,60,2022-01-03 02:18:39,92904932,126325680,2674392,2.03,209144,34303036,7514528,2.86,1852484,34830844,96
plotter1,60,2022-01-03 02:19:39,92279532,126298528,2682368,2.04,209344,34914844,7540732,2.87,1883092,35417568,80
plotter1,60,2022-01-03 02:20:39,91678060,126278540,2683228,2.04,209608,35509832,7563336,2.88,1913772,35987616,152
plotter1,60,2022-01-03 02:21:39,91093232,126225776,2715688,2.06,209812,36057388,7621060,2.90,1942196,36543928,100
plotter1,60,2022-01-03 02:22:39,90532948,126188412,2732932,2.08,209984,36595564,7647652,2.91,1972896,37061208,100
plotter1,60,2022-01-03 02:23:39,89930124,126174028,2728472,2.07,210160,37197668,7671012,2.92,2003636,37640324,96
plotter1,60,2022-01-03 02:24:39,89460032,126158448,2726132,2.07,210376,37665724,7694592,2.93,2029840,38087864,200
plotter1,60,2022-01-03 02:25:39,88882524,126142444,2723536,2.07,210612,38241084,7719208,2.94,2058920,38640588,176
plotter1,60,2022-01-03 02:26:39,88260688,126112340,2732332,2.07,210816,38848428,7746272,2.95,2090720,39221604,100
plotter1,60,2022-01-03 02:27:39,87755224,126078816,2748416,2.09,210992,39333392,7767812,2.96,2116496,39685792,100
plotter1,60,2022-01-03 02:28:39,87119488,126057188,2749960,2.09,211188,39961896,7796840,2.97,2148148,40291252,1072
plotter1,60,2022-01-03 02:29:39,86625324,126030980,2757192,2.09,211368,40444428,7818392,2.97,2175028,40752076,12
plotter1,60,2022-01-03 02:30:39,86131224,126012500,2757916,2.09,216808,40928168,7848412,2.99,2207344,41216944,140
plotter1,60,2022-01-03 02:31:39,85611188,125998896,2751560,2.09,217476,41449484,7866912,2.99,2243916,41703004,108
plotter1,60,2022-01-03 02:32:39,85102392,125971820,2760268,2.10,217736,41944988,7898944,3.01,2271856,42175748,184
plotter1,60,2022-01-03 02:33:39,84488480,125946508,2767660,2.10,218000,42546028,7922552,3.01,2302076,42752644,72
plotter1,60,2022-01-03 02:34:39,83976928,125919184,2776720,2.11,218204,43044172,7945348,3.02,2329264,43229148,68
plotter1,60,2022-01-03 02:35:39,83446244,125895964,2779684,2.11,218448,43566976,7971404,3.03,2358920,43727144,72
plotter1,60,2022-01-03 02:36:39,82892168,125877076,2781244,2.11,218648,44114652,7994264,3.04,2386304,44253060,140
plotter1,60,2022-01-03 02:37:39,82307240,125862820,2775400,2.11,218844,44700204,8019868,3.05,2416460,44815848,104
plotter1,60,2022-01-03 02:38:39,81824840,125835208,2784092,2.11,219004,45169792,8044948,3.06,2444580,45262532,88
plotter1,60,2022-01-03 02:39:39,81047652,125516548,3070596,2.33,224832,45650516,8294260,3.16,2481296,45996192,136
plotter1,60,2022-01-03 02:40:39,80482048,125457256,3119640,2.37,225048,46162368,8321908,3.17,2509784,46518700,136
plotter1,60,2022-01-03 02:41:39,79803048,125324892,3237964,2.46,225288,46718300,8508816,3.24,2540876,47162596,108
plotter1,60,2022-01-03 02:42:39,79287864,125408584,3137304,2.38,225460,47328788,8366452,3.18,2574376,47635204,148
plotter1,60,2022-01-03 02:43:39,78766736,125398208,3130220,2.38,225656,47852232,8387700,3.19,2602024,48134240,200
plotter1,60,2022-01-03 02:44:39,78223096,125355432,3154492,2.40,225852,48367000,8413228,3.20,2633252,48625252,120
plotter1,60,2022-01-03 02:45:39,77626828,125340412,3151712,2.39,226036,48960964,8437104,3.21,2665616,49194252,228
plotter1,60,2022-01-03 02:46:39,77133980,125324112,3149984,2.39,226212,49451128,8462724,3.22,2694952,49661532,92
plotter1,60,2022-01-03 02:47:39,76603572,125293520,3160916,2.40,226380,49965920,8490256,3.23,2725188,50153916,88
plotter1,60,2022-01-03 02:48:39,76074632,125262552,3173068,2.41,226568,50478068,8514520,3.24,2754496,50643248,192
plotter1,60,2022-01-03 02:49:39,75489136,125225484,3191608,2.42,226788,51040060,8540408,3.25,2785744,51180904,4
plotter1,60,2022-01-03 02:50:39,75013304,125199836,3198512,2.43,227000,51504948,8566416,3.26,2813024,51626224,4
plotter1,60,2022-01-03 02:51:39,74479532,125180012,3199836,2.43,227176,52032744,8593296,3.27,2844316,52131676,16
plotter1,60,2022-01-03 02:52:39,73959060,125172272,3190244,2.42,227336,52558256,8620260,3.28,2873736,52636732,76
plotter1,60,2022-01-03 02:53:39,73373780,125113292,3232956,2.45,227540,53096208,8639364,3.29,2903156,53148848,20
plotter1,60,2022-01-03 02:54:39,72819440,125072836,3254228,2.47,227708,53624436,8665948,3.30,2933608,53655356,8
plotter1,60,2022-01-03 02:55:39,72307720,125087124,3221188,2.45,227920,54164580,8692664,3.31,2965272,54169820,44
plotter1,60,2022-01-03 02:56:39,71774476,125039552,3250036,2.47,228112,54664668,8717956,3.32,2994176,54649432,136
plotter1,60,2022-01-03 02:57:39,71233992,125015856,3260436,2.48,228304,55190168,8739464,3.33,3021772,55155308,0
plotter1,60,2022-01-03 02:58:39,70702496,124994364,3259948,2.48,228512,55717592,8771208,3.34,3053336,55661168,16
plotter1,60,2022-01-03 02:59:39,70130316,124970868,3261192,2.48,228676,56283400,8802696,3.35,3087120,56202284,140
plotter1,60,2022-01-03 03:00:39,69519724,124950940,3259340,2.47,228892,56890656,8838168,3.36,3121924,56788572,72
plotter1,60,2022-01-03 03:01:39,68906432,124897456,3288388,2.50,229072,57469612,8878200,3.38,3159732,57346288,108
plotter1,60,2022-01-03 03:02:39,68399948,124879020,3285384,2.49,229232,57974748,8912528,3.39,3190296,57834812,8
plotter1,60,2022-01-03 03:03:39,67768468,124797084,3344880,2.54,229420,58541900,8986016,3.42,3226448,58415172,88
plotter1,60,2022-01-03 03:04:39,67193464,124752136,3364824,2.55,229604,59092148,9030816,3.44,3263484,58949228,212
plotter1,60,2022-01-03 03:05:39,66603956,124680664,3413200,2.59,229980,59628288,9071352,3.45,3299260,59467364,156
plotter1,60,2022-01-03 03:06:39,65988524,124655392,3414004,2.59,230204,60237704,9120760,3.47,3336176,60065884,80
plotter1,60,2022-01-03 03:07:39,65364960,124605176,3440468,2.61,230384,60829436,9161720,3.49,3375520,60637248,104
plotter1,60,2022-01-03 03:08:39,64701760,124556808,3465892,2.63,230604,61461836,9203448,3.50,3413936,61247336,196
plotter1,60,2022-01-03 03:09:39,64265128,124521816,3477792,2.64,230776,61882856,9242104,3.52,3445612,61652804,116
plotter1,60,2022-01-03 03:10:39,63743652,124482628,3492792,2.65,231000,62384936,9284088,3.53,3480564,62138436,176
