# hostname,interval,timestamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
plotter1,60,2022-01-03 01:18:39,-1,5.96,0.00,0.36,7.48,0.00,86.20
plotter1,60,2022-01-03 01:19:39,-1,5.37,0.00,0.25,7.89,0.00,86.49
plotter1,60,2022-01-03 01:20:39,-1,32.95,0.00,0.36,9.13,0.00,57.56
plotter1,60,2022-01-03 01:21:39,-1,35.92,0.00,0.30,7.21,0.00,56.57
plotter1,60,2022-01-03 01:22:39,-1,36.12,0.00,0.31,7.69,0.00,55.88
plotter1,60,2022-01-03 01:23:39,-1,35.55,0.00,0.30,6.11,0.00,58.04
plotter1,60,2022-01-03 01:24:39,-1,31.77,0.00,0.29,6.91,0.00,61.04
plotter1,60,2022-01-03 01:25:39,-1,34.26,0.00,0.34,8.76,0.00,56.64
plotter1,60,2022-01-03 01:26:39,-1,36.06,0.00,0.28,6.94,0.00,56.72
plotter1,60,2022-01-03 01:27:39,-1,31.70,0.00,0.27,6.80,0.00,61.23
plotter1,60,2022-01-03 01:28:39,-1,32.00,0.00,0.30,8.26,0.00,59.43
plotter1,60,2022-01-03 01:29:39,-1,32.36,0.00,0.30,8.08,0.00,59.25
plotter1,60,2022-01-03 01:30:39,-1,35.31,0.00,0.33,8.05,0.00,56.30
plotter1,60,2022-01-03 01:31:39,-1,34.96,0.00,0.28,7.74,0.00,57.02
plotter1,60,2022-01-03 01:32:39,-1,33.49,0.00,0.31,7.62,0.00,58.58
plotter1,60,2022-01-03 01:33:39,-1,26.49,0.00,0.27,7.18,0.00,66.06
plotter1,60,2022-01-03 01:34:39,-1,33.00,0.00,0.29,6.92,0.00,59.79
plotter1,60,2022-01-03 01:35:39,-1,34.35,0.00,0.33,8.08,0.00,57.24
plotter1,60,2022-01-03 01:36:39,-1,33.73,0.00,0.29,6.85,0.00,59.13
plotter1,60,2022-01-03 01:37:39,-1,35.50,0.00,0.30,7.27,0.00,56.93
plotter1,60,2022-01-03 01:38:39,-1,34.26,0.00,0.30,7.01,0.00,58.43
plotter1,60,2022-01-03 01:39:39,-1,30.94,0.00,0.27,6.84,0.00,61.95
plotter1,60,2022-01-03 01:40:39,-1,34.40,0.00,0.34,7.09,0.00,58.17
plotter1,60,2022-01-03 01:41:39,-1,29.45,0.00,0.28,6.86,0.00,63.41
plotter1,60,2022-01-03 01:42:39,-1,30.39,0.00,0.30,6.15,0.00,63.16
plotter1,60,2022-01-03 01:43:39,-1,30.72,0.00,0.30,8.48,0.00,60.50
plotter1,60,2022-01-03 01:44:39,-1,28.95,0.00,0.29,7.30,0.00,63.45
plotter1,60,2022-01-03 01:45:39,-1,30.21,0.00,0.36,8.24,0.00,61.19
plotter1,60,2022-01-03 01:46:39,-1,27.86,0.00,0.49,5.43,0.00,66.22
