# hostname,interval,timestamp,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad
plotter1,60,2022-01-10 10:59:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:00:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:01:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:02:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:03:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:04:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:05:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:06:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:07:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:08:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:09:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:10:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:11:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:12:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:13:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:14:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:15:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:16:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:17:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:18:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:19:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:20:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:21:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:22:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:23:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:24:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:25:06,130846456,291072,0.22,9548,3.28
plotter1,60,2022-01-10 11:26:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:27:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:28:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:29:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:30:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:31:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:32:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:33:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:34:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:35:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:36:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:37:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:38:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:39:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:40:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:41:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:42:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:43:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:44:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:45:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:46:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:47:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:48:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:49:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:50:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:51:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:52:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:53:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:54:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:55:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:56:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:57:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:58:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 11:59:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:00:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:01:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:02:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:03:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:04:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:05:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:06:06,130846456,291072,0.22,9556,3.28
plotter1,60,2022-01-10 12:07:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:08:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:09:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:10:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:11:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:12:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:13:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:14:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:15:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:16:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:17:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:18:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:19:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:20:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:21:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:22:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:23:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:24:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:25:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:26:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:27:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:28:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:29:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:30:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:31:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:32:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:33:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:34:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:35:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:36:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:37:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:38:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:39:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:40:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:41:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:42:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:43:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:44:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:45:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:46:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:47:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:48:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:49:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:50:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:51:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:52:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:53:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:54:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:55:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:56:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:57:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:58:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 12:59:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 13:00:06,130846712,290816,0.22,9608,3.30
plotter1,60,2022-01-10 13:01:06,130846712,290816,0.22,9608,3.30
