# hostname,interval,timestamp,tps,rtps,wtps,dtps,bread/s,bwrtn/s,bdscd/s
plotter1,60,2022-01-10 10:59:06,215.25,205.68,9.42,0.15,17408.40,248.80,22.53
plotter1,60,2022-01-10 11:00:06,185.50,180.12,5.33,0.05,15812.23,126.27,4.40
plotter1,60,2022-01-10 11:01:06,188.40,183.05,5.35,0.00,14804.37,223.87,0.00
plotter1,60,2022-01-10 11:02:06,193.83,190.05,3.78,0.00,16218.75,65.07,0.00
plotter1,60,2022-01-10 11:03:06,163.28,159.77,3.52,0.00,14919.47,47.47,0.00
plotter1,60,2022-01-10 11:04:06,180.07,175.08,4.98,0.00,16052.93,100.80,0.00
plotter1,60,2022-01-10 11:05:06,200.28,194.68,5.60,0.00,17378.47,112.67,0.00
plotter1,60,2022-01-10 11:06:06,192.58,187.40,5.18,0.00,16256.53,213.73,0.00
plotter1,60,2022-01-10 11:07:06,174.17,169.90,4.27,0.00,15438.00,72.67,0.00
plotter1,60,2022-01-10 11:08:06,166.88,161.42,5.47,0.00,14757.07,100.67,0.00
plotter1,60,2022-01-10 11:09:06,182.32,177.13,5.18,0.00,15570.40,84.13,0.00
plotter1,60,2022-01-10 11:10:06,178.57,172.63,5.93,0.00,14803.97,118.27,0.00
plotter1,60,2022-01-10 11:11:06,173.28,165.80,7.48,0.00,14251.70,253.47,0.00
plotter1,60,2022-01-10 11:12:06,150.65,145.18,5.47,0.00,12858.13,87.73,0.00
plotter1,60,2022-01-10 11:13:06,146.83,142.73,4.10,0.00,13155.60,57.33,0.00
plotter1,60,2022-01-10 11:14:06,224.90,217.97,6.93,0.00,20378.13,117.47,0.00
plotter1,60,2022-01-10 11:15:06,168.58,163.52,5.07,0.00,13720.48,95.73,0.00
plotter1,60,2022-01-10 11:16:06,179.92,169.13,10.78,0.00,14391.32,320.93,0.00
plotter1,60,2022-01-10 11:17:06,169.78,166.88,2.90,0.00,14875.47,42.00,0.00
