# hostname,interval,timestamp,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
plotter1,60,2022-01-10 10:59:06,lo,49.63,49.63,6.09,6.09,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 10:59:06,enp9s0,702.63,1038.75,342.02,1302.47,0.00,0.00,0.40,0.43
plotter1,60,2022-01-10 11:00:06,lo,21.27,21.27,76.64,76.64,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:00:06,enp9s0,605.33,1030.50,216.10,1332.08,0.00,0.00,0.42,0.44
plotter1,60,2022-01-10 11:01:06,lo,31.05,31.05,7.74,7.74,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:01:06,enp9s0,592.05,986.28,194.94,1254.61,0.00,0.00,0.40,0.41
plotter1,60,2022-01-10 11:02:06,lo,2.53,2.53,3.29,3.29,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:02:06,enp9s0,622.95,1075.90,207.56,1412.84,0.00,0.00,0.42,0.46
plotter1,60,2022-01-10 11:03:06,lo,3.90,3.90,4.78,4.78,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:03:06,enp9s0,632.72,962.97,284.33,1223.40,0.00,0.00,0.47,0.40
plotter1,60,2022-01-10 11:04:06,lo,3.60,3.60,5.09,5.09,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:04:06,enp9s0,626.03,1023.35,232.95,1324.71,0.00,0.00,0.42,0.43
plotter1,60,2022-01-10 11:05:06,lo,8.57,8.57,72.93,72.93,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:05:06,enp9s0,694.62,1146.02,289.00,1479.68,0.00,0.00,0.43,0.48
plotter1,60,2022-01-10 11:06:06,lo,3.20,3.20,4.38,4.38,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:06:06,enp9s0,617.00,1041.52,230.14,1354.83,0.00,0.00,0.40,0.44
plotter1,60,2022-01-10 11:07:06,lo,3.93,3.93,4.99,4.99,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:07:06,enp9s0,639.70,1023.23,272.50,1313.65,0.00,0.00,0.42,0.43
plotter1,60,2022-01-10 11:08:06,lo,4.00,4.00,5.43,5.43,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:08:06,enp9s0,622.77,987.62,273.95,1251.93,0.00,0.00,0.40,0.41
plotter1,60,2022-01-10 11:09:06,lo,3.80,3.80,5.29,5.29,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:09:06,enp9s0,653.00,1050.02,263.20,1352.28,0.00,0.00,0.40,0.44
plotter1,60,2022-01-10 11:10:06,lo,10.43,10.43,99.58,99.58,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:10:06,enp9s0,658.33,1065.55,276.44,1369.95,0.00,0.00,0.42,0.45
plotter1,60,2022-01-10 11:11:06,lo,3.93,3.93,5.14,5.14,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:11:06,enp9s0,615.53,984.60,264.61,1258.71,0.00,0.00,0.40,0.41
plotter1,60,2022-01-10 11:12:06,lo,3.83,3.83,5.05,5.05,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:12:06,enp9s0,575.65,884.63,264.53,1115.10,0.00,0.00,0.42,0.37
plotter1,60,2022-01-10 11:13:06,lo,3.67,3.67,5.01,5.01,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:13:06,enp9s0,558.08,852.15,240.04,1078.77,0.00,0.00,0.42,0.35
plotter1,60,2022-01-10 11:14:06,lo,4.10,4.10,5.46,5.46,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:14:06,enp9s0,767.78,1292.53,297.93,1690.14,0.00,0.00,0.42,0.55
plotter1,60,2022-01-10 11:15:06,lo,3.97,3.97,5.19,5.19,0.00,0.00,0.00,0.00
plotter1,60,2022-01-10 11:15:06,enp9s0,614.13,980.68,263.71,1253.95,0.00,0.00,0.40,0.41
plotter1,60,2022-01-10 11:16:06,lo,8.97,8.97,79.15,79.15,0.00,0.00,0.00,0.00
