# hostname,interval,timestamp,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked
plotter1,60,2022-01-10 10:59:06,2,860,3.70,3.70,5.06,0
plotter1,60,2022-01-10 11:00:06,4,875,7.29,4.68,5.31,1
plotter1,60,2022-01-10 11:01:06,1,867,6.61,4.90,5.34,0
plotter1,60,2022-01-10 11:02:06,8,867,5.70,4.96,5.33,1
plotter1,60,2022-01-10 11:03:06,7,867,6.68,5.44,5.48,8
plotter1,60,2022-01-10 11:04:06,1,866,6.99,5.63,5.54,0
plotter1,60,2022-01-10 11:05:06,1,872,8.77,6.35,5.79,1
plotter1,60,2022-01-10 11:06:06,8,865,9.43,6.91,6.01,0
plotter1,60,2022-01-10 11:07:06,8,865,10.68,7.72,6.35,0
plotter1,60,2022-01-10 11:08:06,2,865,10.46,8.18,6.59,8
plotter1,60,2022-01-10 11:09:06,8,863,8.65,8.08,6.66,0
plotter1,60,2022-01-10 11:10:06,11,870,8.46,8.16,6.78,0
plotter1,60,2022-01-10 11:11:06,8,863,7.21,7.94,6.79,0
plotter1,60,2022-01-10 11:12:06,9,863,9.16,8.39,7.02,0
plotter1,60,2022-01-10 11:13:06,8,863,9.72,8.71,7.22,0
plotter1,60,2022-01-10 11:14:06,8,863,8.36,8.51,7.25,8
plotter1,60,2022-01-10 11:15:06,8,869,7.76,8.43,7.31,1
plotter1,60,2022-01-10 11:16:06,8,865,9.42,8.83,7.52,0
plotter1,60,2022-01-10 11:17:06,9,865,8.18,8.57,7.51,0
plotter1,60,2022-01-10 11:18:06,8,865,7.87,8.32,7.49,0
plotter1,60,2022-01-10 11:19:06,9,865,6.07,7.75,7.34,0
plotter1,60,2022-01-10 11:20:06,8,871,8.53,8.17,7.52,2
plotter1,60,2022-01-10 11:21:06,9,865,10.88,8.82,7.78,0
plotter1,60,2022-01-10 11:22:06,5,864,8.73,8.59,7.76,8
plotter1,60,2022-01-10 11:23:06,10,864,8.92,8.69,7.85,8
plotter1,60,2022-01-10 11:24:06,2,864,10.35,9.09,8.04,0
plotter1,60,2022-01-10 11:25:06,1,871,8.71,8.80,8.00,1
plotter1,60,2022-01-10 11:26:06,1,866,7.95,8.66,8.01,0
plotter1,60,2022-01-10 11:27:06,9,865,7.78,8.43,7.97,0
plotter1,60,2022-01-10 11:28:06,2,864,9.55,8.90,8.16,0
plotter1,60,2022-01-10 11:29:06,1,864,8.83,8.82,8.19,0
plotter1,60,2022-01-10 11:30:06,9,870,8.68,8.79,8.22,1
plotter1,60,2022-01-10 11:31:06,0,864,8.28,8.77,8.25,0
plotter1,60,2022-01-10 11:32:06,8,864,7.55,8.51,8.20,0
plotter1,60,2022-01-10 11:33:06,0,864,8.64,8.64,8.26,0
plotter1,60,2022-01-10 11:34:06,8,864,7.51,8.42,8.22,0
plotter1,60,2022-01-10 11:35:06,1,871,6.77,8.10,8.12,1
plotter1,60,2022-01-10 11:36:06,7,866,6.97,7.93,8.06,0
plotter1,60,2022-01-10 11:37:06,7,865,7.86,7.94,8.06,0
plotter1,60,2022-01-10 11:38:06,2,865,8.08,8.06,8.09,0
plotter1,60,2022-01-10 11:39:06,1,865,8.98,8.39,8.21,7
plotter1,60,2022-01-10 11:40:06,8,870,9.00,8.48,8.25,1
plotter1,60,2022-01-10 11:41:06,10,865,9.12,8.61,8.31,0
plotter1,60,2022-01-10 11:42:06,8,864,8.54,8.52,8.29,0
plotter1,60,2022-01-10 11:43:06,1,863,7.41,8.26,8.22,0
plotter1,60,2022-01-10 11:44:06,2,864,8.23,8.38,8.27,0
plotter1,60,2022-01-10 11:45:06,1,870,8.01,8.28,8.24,1
plotter1,60,2022-01-10 11:46:06,9,864,9.69,8.75,8.41,0
plotter1,60,2022-01-10 11:47:06,9,865,7.60,8.42,8.32,0
plotter1,60,2022-01-10 11:48:06,2,864,7.83,8.30,8.29,0
plotter1,60,2022-01-10 11:49:06,9,864,7.04,7.95,8.16,0
plotter1,60,2022-01-10 11:50:06,1,870,6.43,7.62,8.04,9
plotter1,60,2022-01-10 11:51:06,0,864,7.13,7.78,8.08,0
plotter1,60,2022-01-10 11:52:06,2,865,7.12,7.59,7.99,3
plotter1,60,2022-01-10 11:53:06,9,864,7.46,7.59,7.97,0
plotter1,60,2022-01-10 11:54:06,1,864,5.57,7.04,7.75,0
plotter1,60,2022-01-10 11:55:06,9,870,5.64,6.82,7.64,0
plotter1,60,2022-01-10 11:56:06,8,864,8.33,7.41,7.79,0
plotter1,60,2022-01-10 11:57:06,9,865,9.25,7.81,7.90,0
plotter1,60,2022-01-10 11:58:06,8,864,9.31,8.07,7.99,0
plotter1,60,2022-01-10 11:59:06,9,864,8.93,8.04,7.97,8
plotter1,60,2022-01-10 12:00:06,2,870,9.57,8.40,8.11,1
plotter1,60,2022-01-10 12:01:06,8,863,8.21,8.22,8.06,0
plotter1,60,2022-01-10 12:02:06,8,864,7.69,8.00,7.99,0
plotter1,60,2022-01-10 12:03:06,0,864,8.82,8.23,8.07,0
plotter1,60,2022-01-10 12:04:06,1,864,8.75,8.22,8.07,0
plotter1,60,2022-01-10 12:05:06,1,870,11.73,8.82,8.27,1
plotter1,60,2022-01-10 12:06:06,8,864,10.02,8.92,8.34,0
plotter1,60,2022-01-10 12:07:06,8,865,8.70,8.76,8.32,0
plotter1,60,2022-01-10 12:08:06,8,863,8.28,8.58,8.29,0
plotter1,60,2022-01-10 12:09:06,9,864,7.70,8.37,8.23,0
plotter1,60,2022-01-10 12:10:06,6,870,9.25,8.70,8.35,1
plotter1,60,2022-01-10 12:11:06,0,864,9.38,8.86,8.43,1
plotter1,60,2022-01-10 12:12:06,0,865,7.95,8.55,8.35,3
plotter1,60,2022-01-10 12:13:06,8,864,8.76,8.69,8.41,0
plotter1,60,2022-01-10 12:14:06,1,863,9.33,8.86,8.49,0
plotter1,60,2022-01-10 12:15:06,8,870,9.34,9.05,8.59,1
plotter1,60,2022-01-10 12:16:06,2,864,8.44,8.88,8.56,0
plotter1,60,2022-01-10 12:17:06,8,864,7.72,8.57,8.47,0
plotter1,60,2022-01-10 12:18:06,9,865,6.48,8.11,8.32,0
plotter1,60,2022-01-10 12:19:06,8,865,8.19,8.26,8.36,0
plotter1,60,2022-01-10 12:20:06,3,870,8.53,8.42,8.42,7
plotter1,60,2022-01-10 12:21:06,9,865,8.76,8.53,8.46,0
plotter1,60,2022-01-10 12:22:06,8,865,8.87,8.59,8.48,0
plotter1,60,2022-01-10 12:23:06,1,866,8.34,8.60,8.50,0
plotter1,60,2022-01-10 12:24:06,1,865,5.95,7.83,8.24,8
plotter1,60,2022-01-10 12:25:06,1,870,5.56,7.33,8.03,1
plotter1,60,2022-01-10 12:26:06,1,863,4.93,6.86,7.83,0
plotter1,60,2022-01-10 12:27:06,8,864,5.97,6.70,7.71,0
plotter1,60,2022-01-10 12:28:06,8,865,5.98,6.57,7.60,0
plotter1,60,2022-01-10 12:29:06,6,865,6.81,6.71,7.58,0
plotter1,60,2022-01-10 12:30:06,8,871,7.26,6.95,7.62,1
plotter1,60,2022-01-10 12:31:06,3,865,8.00,7.14,7.64,3
plotter1,60,2022-01-10 12:32:06,6,865,8.06,7.31,7.67,0
plotter1,60,2022-01-10 12:33:06,1,865,7.87,7.46,7.70,0
plotter1,60,2022-01-10 12:34:06,8,864,8.11,7.57,7.72,3
plotter1,60,2022-01-10 12:35:06,2,870,6.65,7.33,7.63,1
plotter1,60,2022-01-10 12:36:06,2,864,6.78,7.24,7.58,0
plotter1,60,2022-01-10 12:37:06,8,864,7.18,7.38,7.61,0
plotter1,60,2022-01-10 12:38:06,2,865,6.96,7.25,7.55,6
plotter1,60,2022-01-10 12:39:06,9,863,8.16,7.40,7.58,0
plotter1,60,2022-01-10 12:40:06,1,869,8.21,7.54,7.61,1
plotter1,60,2022-01-10 12:41:06,1,863,6.81,7.35,7.55,0
plotter1,60,2022-01-10 12:42:06,1,863,7.31,7.46,7.58,0
plotter1,60,2022-01-10 12:43:06,8,865,8.14,7.60,7.62,0
plotter1,60,2022-01-10 12:44:06,1,864,8.24,7.80,7.69,0
plotter1,60,2022-01-10 12:45:06,9,871,9.89,8.21,7.83,9
plotter1,60,2022-01-10 12:46:06,9,865,7.34,7.82,7.72,8
plotter1,60,2022-01-10 12:47:06,1,865,10.19,8.62,8.01,0
plotter1,60,2022-01-10 12:48:06,2,864,9.78,8.73,8.08,3
plotter1,60,2022-01-10 12:49:06,7,865,7.98,8.40,8.00,0
plotter1,60,2022-01-10 12:50:06,1,869,9.29,8.60,8.10,4
plotter1,60,2022-01-10 12:51:06,1,865,7.23,8.19,7.99,0
plotter1,60,2022-01-10 12:52:06,1,865,6.88,7.81,7.86,0
plotter1,60,2022-01-10 12:53:06,2,865,6.92,7.57,7.77,6
plotter1,60,2022-01-10 12:54:06,8,866,8.97,7.93,7.88,0
plotter1,60,2022-01-10 12:55:06,1,871,8.08,7.84,7.85,9
plotter1,60,2022-01-10 12:56:06,8,864,8.46,7.92,7.87,0
plotter1,60,2022-01-10 12:57:06,8,863,9.96,8.41,8.04,1
plotter1,60,2022-01-10 12:58:06,1,863,9.06,8.41,8.06,0
plotter1,60,2022-01-10 12:59:06,1,864,12.46,9.17,8.33,0
plotter1,60,2022-01-10 13:00:06,11,869,9.59,8.84,8.26,0
plotter1,60,2022-01-10 13:01:06,8,863,10.51,9.06,8.36,0
plotter1,60,2022-01-10 13:02:06,1,863,7.57,8.46,8.20,0
plotter1,60,2022-01-10 13:03:06,8,863,8.07,8.44,8.21,0
plotter1,60,2022-01-10 13:04:06,1,866,7.22,8.09,8.10,0
plotter1,60,2022-01-10 13:05:06,0,871,6.10,7.55,7.91,9
plotter1,60,2022-01-10 13:06:06,1,865,5.17,7.06,7.72,0
plotter1,60,2022-01-10 13:07:06,8,865,5.01,6.70,7.56,0
plotter1,60,2022-01-10 13:08:06,2,865,6.04,6.68,7.49,0
plotter1,60,2022-01-10 13:09:06,1,864,5.60,6.51,7.39,0
plotter1,60,2022-01-10 13:10:06,8,870,7.60,6.87,7.45,3
plotter1,60,2022-01-10 13:11:06,9,864,8.73,7.33,7.58,0
plotter1,60,2022-01-10 13:12:06,8,864,8.70,7.47,7.60,0
plotter1,60,2022-01-10 13:13:06,8,864,8.84,7.83,7.72,0
plotter1,60,2022-01-10 13:14:06,1,865,7.17,7.50,7.62,0
plotter1,60,2022-01-10 13:15:06,1,869,6.88,7.37,7.56,1
plotter1,60,2022-01-10 13:16:06,9,863,7.09,7.43,7.58,0
plotter1,60,2022-01-10 13:17:06,0,863,5.89,7.03,7.43,0
plotter1,60,2022-01-10 13:18:06,1,864,7.47,7.28,7.49,0
plotter1,60,2022-01-10 13:19:06,8,864,7.29,7.30,7.49,8
plotter1,60,2022-01-10 13:20:06,8,871,6.31,7.03,7.38,1
plotter1,60,2022-01-10 13:21:06,1,864,6.74,7.14,7.41,0
plotter1,60,2022-01-10 13:22:06,2,864,7.13,7.12,7.38,0
plotter1,60,2022-01-10 13:23:06,1,863,8.25,7.51,7.50,0
plotter1,60,2022-01-10 13:24:06,8,863,7.01,7.34,7.44,6
plotter1,60,2022-01-10 13:25:06,1,870,6.12,6.96,7.30,1
plotter1,60,2022-01-10 13:26:06,1,864,6.66,7.05,7.32,8
plotter1,60,2022-01-10 13:27:06,1,864,9.05,7.64,7.50,0
plotter1,60,2022-01-10 13:28:06,1,864,6.65,7.22,7.37,0
plotter1,60,2022-01-10 13:29:06,1,864,6.75,7.13,7.33,0
plotter1,60,2022-01-10 13:30:06,7,871,8.40,7.50,7.44,4
plotter1,60,2022-01-10 13:31:06,2,863,7.80,7.45,7.42,0
plotter1,60,2022-01-10 13:32:06,2,863,7.94,7.61,7.48,0
plotter1,60,2022-01-10 13:33:06,2,863,7.83,7.64,7.50,8
plotter1,60,2022-01-10 13:34:06,10,867,7.62,7.67,7.53,0
plotter1,60,2022-01-10 13:35:06,4,872,6.81,7.47,7.47,1
plotter1,60,2022-01-10 13:36:06,1,865,7.50,7.56,7.50,0
plotter1,60,2022-01-10 13:37:06,8,865,7.60,7.57,7.51,0
plotter1,60,2022-01-10 13:38:06,8,865,9.29,8.09,7.69,1
plotter1,60,2022-01-10 13:39:06,1,865,7.72,7.87,7.64,0
plotter1,60,2022-01-10 13:40:06,7,871,7.11,7.59,7.56,1
plotter1,60,2022-01-10 13:41:06,4,864,6.11,7.35,7.48,8
plotter1,60,2022-01-10 13:42:06,6,864,7.21,7.46,7.52,6
plotter1,60,2022-01-10 13:43:06,1,865,6.61,7.29,7.46,0
plotter1,60,2022-01-10 13:44:06,2,864,9.17,7.82,7.62,0
plotter1,60,2022-01-10 13:45:06,1,872,6.79,7.35,7.47,1
plotter1,60,2022-01-10 13:46:06,8,866,7.30,7.45,7.50,0
plotter1,60,2022-01-10 13:47:06,1,866,6.81,7.29,7.44,0
plotter1,60,2022-01-10 13:48:06,8,865,7.40,7.51,7.52,8
plotter1,60,2022-01-10 13:49:06,8,865,6.88,7.38,7.47,0
plotter1,60,2022-01-10 13:50:06,4,870,6.86,7.31,7.45,0
plotter1,60,2022-01-10 13:51:06,1,865,8.82,7.85,7.63,0
plotter1,60,2022-01-10 13:52:06,7,864,8.13,7.85,7.64,0
plotter1,60,2022-01-10 13:53:06,3,864,6.75,7.52,7.54,0
plotter1,60,2022-01-10 13:54:06,1,864,7.08,7.41,7.50,0
plotter1,60,2022-01-10 13:55:06,3,870,7.61,7.44,7.50,8
plotter1,60,2022-01-10 13:56:06,1,865,5.69,7.03,7.36,0
plotter1,60,2022-01-10 13:57:06,1,863,6.16,6.95,7.32,8
plotter1,60,2022-01-10 13:58:06,8,863,4.33,6.30,7.07,0
plotter1,60,2022-01-10 13:59:06,1,863,5.71,6.47,7.09,0
plotter1,60,2022-01-10 14:00:06,8,869,6.98,6.80,7.17,9
plotter1,60,2022-01-10 14:01:06,4,864,6.95,6.84,7.16,0
plotter1,60,2022-01-10 14:02:06,8,864,7.61,7.07,7.22,0
plotter1,60,2022-01-10 14:03:06,3,865,6.57,6.84,7.13,0
plotter1,60,2022-01-10 14:04:06,0,865,6.49,6.77,7.09,0
plotter1,60,2022-01-10 14:05:06,8,871,8.29,7.24,7.23,9
plotter1,60,2022-01-10 14:06:06,8,866,7.04,7.06,7.17,0
plotter1,60,2022-01-10 14:07:06,9,865,7.67,7.34,7.26,8
plotter1,60,2022-01-10 14:08:06,1,864,7.38,7.28,7.25,0
plotter1,60,2022-01-10 14:09:06,0,864,9.23,7.72,7.39,0
plotter1,60,2022-01-10 14:10:06,1,870,8.16,7.62,7.37,1
plotter1,60,2022-01-10 14:11:06,1,865,6.85,7.35,7.30,0
plotter1,60,2022-01-10 14:12:06,8,864,6.95,7.26,7.27,0
plotter1,60,2022-01-10 14:13:06,1,864,6.09,7.03,7.19,0
plotter1,60,2022-01-10 14:14:06,9,864,7.80,7.31,7.27,0
plotter1,60,2022-01-10 14:15:06,7,870,6.73,7.19,7.24,7
plotter1,60,2022-01-10 14:16:06,0,866,6.76,7.06,7.19,0
plotter1,60,2022-01-10 14:17:06,8,865,7.58,7.21,7.23,0
plotter1,60,2022-01-10 14:18:06,9,865,6.94,7.16,7.22,0
plotter1,60,2022-01-10 14:19:06,0,865,7.49,7.20,7.22,0
plotter1,60,2022-01-10 14:20:06,11,871,5.96,6.74,7.06,7
plotter1,60,2022-01-10 14:21:06,1,864,6.58,6.70,7.02,0
plotter1,60,2022-01-10 14:22:06,3,865,6.75,6.71,7.00,8
plotter1,60,2022-01-10 14:23:06,1,864,6.24,6.56,6.94,0
plotter1,60,2022-01-10 14:24:06,1,864,6.09,6.51,6.89,0
plotter1,60,2022-01-10 14:25:06,9,870,7.99,7.00,7.04,4
plotter1,60,2022-01-10 14:26:06,0,863,6.22,6.70,6.94,3
plotter1,60,2022-01-10 14:27:06,8,865,6.22,6.53,6.86,0
plotter1,60,2022-01-10 14:28:06,1,864,7.56,6.85,6.95,0
plotter1,60,2022-01-10 14:29:06,0,864,8.12,7.21,7.07,0
plotter1,60,2022-01-10 14:30:06,1,870,8.23,7.41,7.15,1
plotter1,60,2022-01-10 14:31:06,8,864,6.64,7.13,7.07,0
plotter1,60,2022-01-10 14:32:06,2,865,8.29,7.47,7.19,0
plotter1,60,2022-01-10 14:33:06,8,865,7.57,7.35,7.17,0
plotter1,60,2022-01-10 14:34:06,2,865,7.83,7.42,7.20,0
plotter1,60,2022-01-10 14:35:06,1,871,6.65,7.20,7.14,1
plotter1,60,2022-01-10 14:36:06,7,865,7.82,7.42,7.22,0
plotter1,60,2022-01-10 14:37:06,8,865,7.07,7.30,7.19,0
plotter1,60,2022-01-10 14:38:06,8,863,7.80,7.44,7.24,0
plotter1,60,2022-01-10 14:39:06,1,863,7.44,7.51,7.29,0
